[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 针对访问过程当中
[25:09] 现在三星虽然距离罢工时间线
[25:11] 似乎受到法院的判决开始延后了
[25:13] 但是这足以说明着
[25:15] 三星这一次
[25:17] 你看李在荣特别放下身段来道歉
[25:19] 来希望员工不要罢工
[25:22] 这件事情就足以说明着
[25:23] 韩国市场处于高度劳动力人口稀缺
[25:26] 日本也是如此
[25:27] 这几年台日韩因为缺工问题越来越严重
[25:30] 很多餐厅都开始逐步倒闭
[25:32] 我们举例来说
[25:33] 现在根据日经的数据
[25:35] 日本因为人手不足
[25:36] 导致中大企业倒闭的数量
[25:39] 在2024年已经达到历史新高
[25:41] 就它倒闭
[25:43] 不是因为生意不好
[25:44] 不是因为没有人去吃不是因为没有客户是因为里面没有人所以这就代表着即便薪资增长在日本也很难有效的吸引劳动力这个大概翻了接近有三倍左右
[25:56] 现在年轻人可能宁愿送Uber
[25:59] 也不愿意被老板给盯着
[26:00] 日本的一国料理店
[26:02] 目前也在大量的消失
[26:03] 除了刚才讲到的人力稀缺以外
[26:06] 另外一个就是日本政府
[26:07] 在高市上台以后
[26:08] 进行高强度的强化
[26:10] 外国人经营和签证的管理制度
[26:13] 我们知道高市一直以来
[26:14] 都是对于移民政策
[26:16] 相对来看比较谨慎的
[26:17] 那过去讲说
[26:18] 叫做3000万日元门槛
[26:20] 进行高强度的执法
[26:22] 简单来讲
[26:22] 就是对于很多外国移民来说
[26:24] 到日本决定要做吃的
[26:26] 开一家小店
[26:27] 到当地生活去养家
[26:29] 但现在首先
[26:30] 在外国人的签证过程当中
[26:33] 你的资本额必须额度调高
[26:35] 第二要开始跑行政流程
[26:37] 第三你到一定程度以后
[26:39] 就必须要开始缴纳大量税额
[26:41] 那很多你知道日本人
[26:44] 现在因为高度缺工
[26:45] 那一边又对外国人
[26:46] 抱持着高度的制度门槛
[26:48] 那很多人觉得
[26:49] 在日本做生意的确不是很划算
[26:51] 来台湾吧
[26:52] 最后就导致了
[26:53] 我们看到日本的异国料理店
[26:55] 现在正在大量消失当中
[26:57] 那这当然就是一个
[26:58] 强制执法所形成的后果
[27:00] 日本本土而言也是如此
[27:03] 我们看在最近
[27:04] 很多人去日本旅游
[27:06] 对于风俗产业
[27:07] 一直都是抱持着那种
[27:09] 文化体验的观光形态
[27:11] 可是我们看到福商社的报道
[27:13] 就很多人可能画面想的都是日剧
[27:16] 或者动漫
[27:17] 或者招和那种歌舞伎听
[27:20] 那种浓浓的日式的服务感
[27:21] 现在日本风俗业都开始出现了
[27:24] 严重的缺工
[27:25] 少子化还有高龄化的迹象
[27:27] 导致非常多的店大量依赖外籍从业人员
[27:31] 包含中国印尼越南等族群
[27:34] 很多外国观光客
[27:35] 前阵子去看WBC
[27:37] 高价进店以后
[27:39] 结果发现服务自己的甚至不是日本人
[27:42] 整间店都已经国际化了
[27:44] 那本来在门口啊
[27:45] 跟你Ohio
[27:47] 你也跟着Ohio嘛
[27:48] 一进去之后
[27:49] 他跟你讲Sawadika
[27:50] 就这种感觉
[27:51] 这就说明着
[27:53] 整个缺工的现象
[27:54] 在日本各地已经逐步的展现
[27:56] 所以现在市场压力来得越来越大
[27:58] 那台湾就更不用讲了
[28:00] 我们回过头说
[28:01] 先看一下韩国
[28:02] 韩国现在缺工问题也很严重
[28:04] 有几个韩国朋友都跟我聊到了
[28:06] 韩国现在
[28:07] 虽然已经进入了超高龄社会
[28:09] 65岁以上人口突破20%
[28:11] 但整体而言
[28:12] 整个韩国市场
[28:14] 正在进行高强度的产业升级
[28:17] 而现在甚至缺工问题都还无法缓解
[28:20] 你说韩国已经做什么事情
[28:21] 张图表示我们看到
[28:23] 这个市营所根据当前全球
[28:27] 工业机器人命度最高的国家
[28:29] 每千名制造业的员工
[28:32] 平均拥有122台的工业机器人
[28:35] 韩国是位居全球第一
[28:37] 这说明南韩制造业已经高度自动化了
[28:40] 尤其在半导体面板汽车电池零组件
[28:43] 结果现在还是劳动力不足
[28:45] 这些事情都意味着
[28:47] 日韩之间的劳动力压力来得越来越大
[28:50] 最后再回过头来看一下台湾
[28:51] 台湾的缺工
[28:53] 也不是说单纯没有人
[28:54] 是整个人口结构
[28:57] 你只要薪资太低
[28:58] 根本没有人愿意去做
[28:59] 我们从104的人力银行最新统计
[29:02] 台湾的有效值缺额度
[29:04] 已经来到112.5万
[29:06] 创下历史新高
[29:07] 现在企业平均找人的时间
[29:10] 大概是要两个月
[29:11] 这其实蛮长的
[29:13] 你光是找一个服务生
[29:14] 两个月都不一定找得到的
[29:16] 现在很多
[29:17] 我们看到百货公司的员工
[29:19] 起薪如果没有4.2 4.3万
[29:21] 其实4.2 4.3万都不一定找得到人
[29:23] 这原因很简单
[29:25] 就是现在
[29:26] 从最缺人的餐饮业
[29:28] 到零售到制造
[29:29] 到营建到半导体
[29:30] 几乎全面沦陷
[29:32] 这当然
[29:33] 在各国移民的开放过程当中
[29:36] 就会形成压力
[29:37] 为什么
[29:37] 因为我们知道
[29:38] 虽然台湾人均GDP是比较高
[29:39] 可是台湾平均业薪是比较低的
[29:41] 韩国大概是五万九千块
[29:43] 日本是四万一千块
[29:45] 台湾是三万二
[29:46] 我们讲的是外籍移工的
[29:48] 整体制造业的移工月薪
[29:50] 我们讲不是台湾本土
[29:51] 我们讲是对移工来看的话
[29:53] 那去台湾为什么不去韩国算了
[29:56] 不去日本算了
[29:57] 这就导致台湾未来的移工压力
[29:59] 来得越来越大
[30:00] 因为日韩所开出的薪资
[30:02] 还是比较高
[30:02] 你像我家附近夜市
[30:04] 我发现很多店员现在都外劳
[30:07] 而且都是年轻人
[30:08] 这件事情其实就意味着
[30:09] 整个东亚各地都在进入到缺人的迹象
[30:12] 一个最直观的就是什么
[30:14] 就是最近大家有观察到教师黄
[30:16] 今年教生的录取率大幅飙升
[30:19] 各县市的正式教师的区额全面暴增
[30:23] 现在南投暴增188%
[30:26] 台北国中暴增4成
[30:28] 新北国小一次开出600个职区
[30:31] 而且现在最缺人的缺在哪里
[30:33] 缺理化缺资讯科技理工科系的老师
[30:37] 原因很简单
[30:38] 现在我都能够当上理化老师
[30:41] 我干嘛不去台积电
[30:42] 可能工作还比较轻松一点
[30:46] 而且社会认知感受度相对而言
[30:50] 贷款可能不输给公家部门
[30:52] 这件事情都意味着
[30:54] 整个台湾的教育体系
[30:55] 和产业的薪资结构
[30:57] 都在出现落差
[30:58] 未来不只是学工
[30:59] 连培养下一代的科技人才的老师
[31:02] 现在都开始变成了稀缺资源
[31:04] 其他一系列的
[31:05] 我们看到像是护理师
[31:07] 目前离职率仍然居高不下
[31:09] 国军的缺员情况
[31:11] 目前边线比只剩下77%
[31:13] 正常来讲至少85%以上
[31:15] 才能够保持国军的稳定发展
[31:18] 其他我们像是在公务门的部分
[31:20] 目前报考人数创下历史新低
[31:23] 入取率创下历史新高
[31:25] 地方政府的缺额率
[31:26] 100个人
[31:27] 大概就有15个工作室缺乏的
[31:30] 中央的部分大概是12个
[31:32] 台北市
[31:32] 你不要看台北市人口多
[31:34] 台北市目前
[31:35] 是全台湾缺额人数来的最多的
[31:38] 一个局处
[31:39] 一个税捐基增处
[31:41] 现在就缺120个人
[31:43] 公务局就缺了80个人
[31:45] 捷运工程局就缺了60个人
[31:47] 整体而言
[31:48] 中央部会外交部
[31:49] 缺额率是42.8%
[31:51] 大陆委员会是18%
[31:53] 台北市平均缺额率22%
[31:56] 基隆市缺额率18.4%
[31:58] 没有人要去公家部门
[32:00] 所以这件事情就告诉我们
[32:01] 台湾的挑战是GDP越来越高
[32:03] 股市也越来越强
[32:05] 出口也在创新高
[32:06] 但另外一边
[32:07] 教育在缺人
[32:08] 医疗在缺人
[32:10] 公部门在缺人
[32:11] 国防部在缺人
[32:12] AI不只是在重组
[32:14] 整个社会的人才流向
[32:15] 你只要跟AI半导体有关的
[32:18] 薪资和资源
[32:19] 就会持续往上集中
[32:20] 但其他维持整个
[32:22] 社会正常运作的职业
[32:24] 就会越来越难留住人
[32:25] 所以未来台湾能不能
[32:27] 从科技岛
[32:28] 变成更高附加价值的
[32:30] 国家社会
[32:30] 关键就是我们能不能
[32:32] 把本波的AI红利
[32:33] 开始转化成
[32:34] 更为显著的产业升级
[32:36] 你必须让市场意识到
[32:38] 如果我们的GDP越高
[32:39] 我们的股市越高
[32:40] 但我们没办法继续维持
[32:44] 接下来的医疗体系
[32:45] 我们会失去国防能力
[32:46] 这个时候
[32:47] 这个社会还剩下什么呢
[32:49] 这个也是台日韩三国
[32:51] 现在陆续所面临到的一个问题
[32:52] 有些产业好得不得了
[32:54] 把资源都吸过去了
[32:55] 好我们今天聊的范围很广
[32:56] 我们今天主要是聊
[32:58] 缺油缺电还有缺人
[33:01] 世界各地都在缺
[33:03] 那从广泛角度而言
[33:05] 由于什么都在缺
[33:07] 所以按照现在角度而言
[33:08] 算力一定会跟着缺
[33:10] 因为算力没有足够的电
[33:12] 没有足够的人
[33:13] 没有足够的能源
[33:14] 它就一定会缺乏
[33:15] 当算力缺乏的时候
[33:17] 它就很难形成泡沫破灭
[33:19] 它就变成了第一个结论
[33:20] 今年的确还有持续估值回调的可能
[33:23] 但是没有泡沫破灭的风险
[33:25] 那第二件事情呢
[33:27] 由于现在市场上什么都在缺
[33:30] 而这个缺
[33:31] 它恰恰就形成了估值回调的理由
[33:33] 全能源所导致的能源成本上涨
[33:36] 导致十年期公债殖率的飙升
[33:38] 进一步的去压抑到股票市场的估值
[33:41] 这个就是估值回调的理由
[33:42] 当然第三件事情
[33:44] 我们也要意识到
[33:45] 整个台日韩在这几年进行的
[33:47] 比较高强度的经济突变
[33:49] 但是在转型之后
[33:51] 我们要如何守住原本既有的体系
[33:54] 医疗体系
[33:55] 国防体系
[33:56] 这个就是AI所得再分配的一环了
[33:59] 这也是政府的责任
[34:00] 也给投资朋友做一些参考
[34:01] 好我们看台股收平盘了
[34:03] 收在40894点
[34:04] 波动并不是特别大
[34:06] 那我们就后续再来观察
[34:07] 这个台股的回补力度
[34:09] 外资到底何时回来
[34:11] 永远都不愿意回补的吗
[34:13] NACA全中都开始调升了
[34:15] 那我们要如何来看待
[34:16] 台湾跟市场的连接
[34:18] 后续再来跟投资朋友做一些追踪
[34:19] 如果喜欢我们节目
[34:20] 记得帮我们订阅按赞加分享
[34:21] 我们就明天早上八点半
[34:23] 早晨财经速写图再相见
[34:25] 祝各位投资朋友看完顺利
[34:26] 操盘愉快
