[00:00] 投资编欢迎收听早晨财经速解读
[25:51] 他说在短期国际赛当中
[25:53] 球员都必须在有限时间内调整状况
[25:57] 所以休息是很重要的
[25:58] 因为现在春训时间
[26:00] 然后大部分球员很难达到百分之百的状态
[26:02] 有休息的勇气是非常重要的
[26:05] 台湾很多产业就不一样
[26:07] 合理的要求是训练
[26:08] 不合理的要求是磨练
[26:10] 全副武装跑五千动作
[26:12] 但是他就告诉你休息很重要
[26:14] 所以你看大谷最令人惊叹的能力是什么
[26:17] 除了运动天赋以外
[26:20] 在于他在比赛过程当中
[26:22] 自我调控的能力
[26:23] 那你说那是一种技术
[26:25] 更像是一种心性的管理能力
[26:28] 就是对照一般人
[26:30] 你能够透过休假或者暂停工作
[26:33] 才能够重新回到整理状态
[26:35] 那最后才能够保持良好的表现
[26:38] 那大股就是能够一边上班
[26:40] 一边又能够把节奏重新校准
[26:43] 随时那个心态都是放松的
[26:45] 随时放大炮
[26:46] 所以如果我们细看
[26:48] 股票市场现在的休息
[26:49] 其实也是如此
[26:50] 而且大国之前讲过
[26:52] 因为他每天要睡十个小时
[26:54] 休息太多
[26:56] 身体会过度放松
[26:57] 那你可能对于身体也不太好
[27:00] 所以你必须在假期的时候
[27:01] 要维持适度的训练
[27:03] 避免松掉
[27:04] 从生理机制来看
[27:06] 他其实拥有的一个神迹
[27:08] 就是我们讲说在生物学上
[27:11] 叫交感神经和副交感神经的
[27:14] 瞬间切换
[27:15] 就是他可以在高度专注的时候
[27:18] 进入到战争模式
[27:19] 战斗模式
[27:20] 也可以在
[27:21] 立即需要恢复的时候
[27:23] 进入到休息模式
[27:24] 所以他说休息很重要
[27:25] 听说他入睡的速度
[27:27] 非常非常快
[27:29] 任何环境
[27:29] 因为他随时带着他枕头
[27:31] 一天睡10到13小时
[27:32] 都很正常
[27:33] 这也意味着
[27:34] 加上他又是二刀流的训练
[27:37] 交感神经和副交感神经的
[27:40] 持续交错
[27:41] 会让他同时
[27:42] 从打击的资讯来做吸收
[27:45] 投球的资讯也随时吸收
[27:47] 等于同一个时间
[27:49] 同一个选手
[27:50] 他比其他专职选手
[27:52] 吸收了更多的讯息
[27:54] 像我也是二刀流
[27:56] 我有时候是左手拿滑鼠
[27:58] 有时候也是右手拿滑鼠
[28:00] 都很顺
[28:01] 所以我也是有时候左右手
[28:03] 我都会互相训练
[28:04] 但是我讲说
[28:04] 一个人的输率量是数倍
[28:06] 而且他还有这种
[28:07] 对于休息的坚持
[28:09] 休息的思考
[28:10] 他最后的资产征服
[28:12] 就会非常惊人
[28:13] 所以股市该做的是什么
[28:14] 你要懂得休息
[28:16] 现在就是休息的时刻
[28:17] 很明显
[28:18] 所以与其说是睡公园
[28:20] 我们只是到公园稍微休息一下
[28:22] 给投资朋友做一些思考
[28:23] 事实上
[28:24] 整个AI行情对于生产力的提升
[28:26] 它是在逐步的涌现当中
[28:28] 但是短期内
[28:29] 总会受到固执的回调
[28:31] 软底股的挫杀
[28:32] 或者市场针对AI的恐慌
[28:34] 所造成的价格回跌
[28:35] 可是在这场战事当中
[28:37] 你有没有发现
[28:38] AI投入到其中的幅度
[28:40] 其实越来越多了
[28:41] 我们看一下在最近
[28:43] 彭博社的报道
[28:44] 美军在这次伊朗军事行动当中
[28:46] 就使用了大量的人工智慧
[28:48] 来处理庞大的战场资讯
[28:50] 上礼拜五我们有提到
[28:52] 这次美国中央司令部已经提到了
[28:53] AI其实主要负责大量数据的
[28:56] 进行初步筛选和整理
[28:58] Parenty所开发的系统
[29:00] 帮助美军在伊朗战场当中
[29:03] 找到关键目标
[29:04] 在这样效果底下
[29:05] 等同于伊朗
[29:06] 伊朗它也是有好几千万人
[29:08] 国土面积这么大
[29:09] 你总是需要从这些资讯当中
[29:12] 去找到适合的攻击目标
[29:13] 而AI就在帮助你
[29:15] 事实上我们看到
[29:16] 美国和中东目前也在持续来采购
[29:20] 乌克兰的反无人机
[29:21] 来低成本的去拦截伊朗的见证者
[29:24] 之前我们讲的伊朗的SHED
[29:26] 就是攻击型无人机
[29:28] 因为每架成本也不贵
[29:29] 它一直攻击到海湾各大国家
[29:32] 所以造成的结果就是不对称性战争
[29:34] 伊朗的优势放大
[29:36] 就是它也打不赢
[29:37] 可是美军还有波斯湾国家
[29:40] 为了每天要应付这些无人机
[29:42] 所消耗的成本是庞大的
[29:44] 所以如何去大面积的
[29:46] 让美军同盟
[29:48] 能够有更进一步的
[29:49] 低成本的无人机体系
[29:51] 市场上也会更进一步的关注
[29:53] 这个叫不对阵性战争
[29:55] 你知道第二次世界大战末期的时候
[29:57] 当时第23司令部的
[29:59] 直属特种部队
[30:00] 里面其实就是呈现这样的效果
[30:02] 就是那个部队里面都是演员
[30:04] 音效师
[30:05] 画家或者作家
[30:07] 广告人
[30:08] 他们做什么
[30:08] 他们的武器就是每天做橡胶
[30:11] 做的充气坦克
[30:12] 然后大功率的扩音机
[30:14] 还有假的无线电的发报
[30:16] 原因很简单
[30:17] 就是盟军只要部队一转移
[30:20] 那这支幽灵部队
[30:21] 就会立刻接管阵地
[30:22] 来吓德军
[30:23] 让德军以为
[30:24] 这怎么那么多装甲师
[30:26] 那最后德军的装甲师
[30:28] 也被死守在防线上
[30:30] 动弹不得
[30:30] 所以德国人就消耗了
[30:32] 大量的海量弹药
[30:34] 后勤和兵力
[30:35] 去防一个
[30:36] 一个大概就只有几十美元的
[30:39] 橡胶气球
[30:40] 那与此同时
[30:41] 真正的盟军主力
[30:42] 早就在其他地方去撕开了
[30:44] 德军的防线
[30:45] 所以这个在战争
[30:47] 和在商业当中
[30:48] 它基本上就是我们讲的
[30:49] 信息不推称性
[30:50] 藉由AI的帮助
[30:52] 藉由无人机的帮助
[30:53] 来尝试的打一场
[30:55] 不推称性战争
[30:56] 美方也要想办法
[30:57] 降低自己战争的成本
[30:59] 才可以跟伊朗持续的来回
[31:01] 而台北股市下跌了2000点
[31:03] 收在31675
[31:04] 这很难想象
[31:05] 台股股市重挫2000点
[31:08] 锁在31000点左右
[31:10] 台股什么时候涨这么高了
[31:12] 连2000点
[31:13] 好像都算正常波动
[31:14] 台股下跌是5.67%
[31:16] 我们今天稍微聊不完
[31:19] 因为礼拜一讯息比较多
[31:20] 但我们把整个事件拉长时间来看
[31:23] 市场上现在面对的
[31:24] 是三股力量的同时交汇
[31:26] 第一个是地缘争执把油价推高
[31:28] 经济数据开始降温
[31:29] 货币政策也陷入到两难
[31:31] 但历史经验告诉我们
[31:32] 能够决定长期方向的
[31:34] 看起来更多是经济和产业的基本面
[31:36] 而并不是短期冲突
[31:38] 你反而要小心白宫的随时介入
[31:40] 第二是油价多半在局势缓和之后
[31:43] 会回落
[31:43] 但科技的进步
[31:45] AI投资
[31:46] 以及全球资本性循环
[31:47] 它反而是不可逆的
[31:48] 对于投资人来说
[31:50] 市场上很明显在重新定价
[31:52] 也把过度乐观的情绪给洗掉
[31:54] 如果你试图的去预测
[31:56] 每一次的波动
[31:57] 那你不如看清楚
[31:58] 哪些是外部性冲击
[32:00] 哪些是长期趋势
[32:01] 有时候用这样的一个角度
[32:02] 你才能够为下一段行情
[32:04] 来重新铺路
[32:05] 我们过去一直提过
[32:06] 左侧不悲观
[32:08] 右侧也不会过度乐观
[32:10] 那现在随着左侧的产生
[32:12] 那就开始有了机会
[32:13] 本一笔的回调
[32:14] 也在此时当中
[32:15] 给投资朋友做一些思考
[32:17] 最最最最最重要的
[32:18] 就是要告诉大家
[32:19] 其实大股说的是对的
[32:22] 休息是很重要的
[32:24] 大部分的时间
[32:25] 投资股市买入之后
[32:28] 你当然要有浪漫的想象力
[32:30] 你卖出时
[32:31] 当然会有理性和现实
[32:32] 那中间呢
[32:33] 中间要睡觉嘛
[32:35] 大股经常说的
[32:36] 人没事就要多睡觉
[32:38] 休息是很重要的
[32:39] 提供给我们的投资朋友
[32:42] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[33:12] 优优独播剧场——YoYo Television Series Exclusive
[33:42] Zither Harp
