[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 但大多數個人的實際觀點
[25:40] 已經讓整個賬上高達三兆美元的資金
[25:44] 也就是說
[25:45] 這個三兆美元是什麼意思
[25:46] 這個三兆美元是去年
[25:49] 我們講說年底的時候
[25:52] 相對於2024年當時選舉
[25:56] 接近已經翻倍了
[25:57] 現在的錢多到滿出來
[26:00] 川普根本就不用愁錢的問題
[26:02] 他只要把政策牛肉給端出來就好了
[26:05] 所以川普在近期
[26:06] 其實本週宣佈的內政訊息遠遠比外在訊息還要來得多內政訊息有哪一些呢比如說川普在本週正式宣佈兒童不用再打這麼多疫苗了白宮宣佈調整兒童疫苗的接種時程
[26:20] 全面建議的接種疾病數量大幅縮減
[26:23] 以後兒童一生中接受的數十針的疫苗
[26:26] 不用再打這麼多
[26:27] 而是聚焦到核心專案
[26:29] 川普也強調沒有說要禁止疫苗
[26:31] 而是把全面建議跟家長自主選擇分開
[26:35] CDC後續也公佈
[26:36] 原本要打14個疫苗
[26:38] 縮減為8種
[26:39] 包括流感
[26:40] 輪狀病毒
[26:41] A型肝炎
[26:42] 腦膜炎疫苗
[26:43] 都不再列為全面建議
[26:44] 沒必要就不用打
[26:46] 這個是第一個
[26:47] 我們看到政策的搜尋
[26:48] 川普說
[26:49] 因為美國的小孩子
[26:50] 要打72針
[26:51] 歐洲才打11針
[26:53] 我們幹嘛打那麼多
[26:54] 而且打疫苗
[26:54] 也不確定是不是一定有好處
[26:56] 不過這當然
[26:57] 後續引發了公共衛生的信任
[26:59] 包括美國額科醫學會
[27:01] 也公開反對
[27:02] 認為這種政策的隨便轉向
[27:04] 會讓家長很混亂
[27:05] 削弱整體對於疫苗的信心
[27:07] 那另外一方面
[27:08] 川普追求那種
[27:11] 市場上反DEI政策陸續發酵
[27:13] 美國國土安全部
[27:14] 甚至在X上直接公開一封電郵
[27:17] 來指控明尼阿波利斯附近
[27:19] 有一家西爾頓迪夏的飯店
[27:21] 對聯邦執法人員
[27:24] 打擊非法移民行動期間
[27:26] 取消了政府人員的訂房
[27:27] 這個不是就是誤會嗎
[27:29] 他把人家的信給公開出來
[27:31] 說西爾頓取消了
[27:32] 聯邦政府僱員的訂房
[27:34] 所以導致我們打擊非法移民
[27:36] 造成極大難關
[27:37] 那保守派引發怒火
[27:39] 大家就呼籲要抵制希爾頓
[27:41] 不過最近希爾頓出來道歉
[27:43] 說該飯店是獨立持有運營
[27:46] 不代表集團的價值
[27:48] 希爾頓是全力支援川普政府的
[27:51] 非法移民的清除行動
[27:52] 這些事情其實都陸續看得出來
[27:55] 整個中期選舉當中的氛圍
[27:57] 內政論調相對於海外的外交政策
[28:01] 其實還來得更為重要
[28:02] 我們先回過頭看一下
[28:03] 沒有股市是大指數表現
[28:04] 道瓊下跌466點
[28:06] 0.94%
[28:07] 刷48996點
[28:08] 標普下跌23點
[28:10] 0.34%
[28:10] 刷6920點
[28:12] 納指上漲37點
[28:13] 0.16%
[28:14] 刷23584點
[28:15] 費辦下跌76點
[28:17] 0.99%
[28:18] 刷7574點
[28:19] 那在企業新聞當中
[28:21] 昨天主要是英特爾在上漲
[28:23] 這一次我們看到新一代的AIPC處理器
[28:26] 的確獲得市場上的極度認可
[28:28] 當然股價也跌很久了
[28:30] 重點在於
[28:31] Google Alphabet昨天大漲了2.5%
[28:34] 市值來到3.89兆
[28:36] Alphabet的市值終於超過蘋果了
[28:40] 成為僅次於輝達全球的第二大市值公司
[28:44] 所以你看這過去幾年
[28:46] 現在市值最高的是輝達
[28:47] 再來是Google
[28:48] Apple
[28:49] Microsoft
[28:49] Amazon
[28:50] 臺積電
[28:51] Meta
[28:51] 博通
[28:52] 沙爾迪阿美
[28:53] 特斯拉
[28:53] 回過頭看美國股市的排行榜
[28:56] 其實你會發現
[28:58] 重點不是誰第一
[28:59] 是那個位置變動本身
[29:01] 在疫情之前
[29:03] 多數人其實很難相信
[29:05] 消費性電子霸主的蘋果會被撼動
[29:08] 另外一方面
[29:09] 當時市場認為
[29:10] 一度能夠接棒的應該是微軟
[29:12] 想不到現在變輝達和Google
[29:14] 甚至在往前推前幾年
[29:16] 當時沙爾地阿美
[29:17] 常年都是穩居全球第二
[29:19] 想不到能源本來是終極護城河
[29:22] 才五年的迴圈
[29:24] 就已經完全被拋在腦後了
[29:26] 現在快要掉到前十名以外了
[29:28] 真正改寫排名的是
[29:30] 輝達和阿巴貝
[29:30] 一個支下AI算力
[29:32] 一個掌握資料和演演算法
[29:34] 產業的重心已經悄悄改變了
[29:36] 所以有時候我們在講說
[29:38] 這個再強的單一產業
[29:40] 再穩的龍頭
[29:40] 都敵不過這種結構性的轉折
[29:43] 那有時候分散風險
[29:44] 不是為了跑輸
[29:45] 而是為了在下一次
[29:46] 主流更換的時候
[29:47] 還能夠站在牌桌上
[29:48] 有時候我們覺得
[29:49] 覺得自己已經很分散了
[29:51] 事實上只是把資金
[29:52] 換了一個名字而已
[29:53] 就有時候也會這樣子
[29:54] 就我們持有科技
[29:55] 消費能源
[29:56] 不同國家的大型全資股
[29:58] 看起來種類很多
[29:59] 其實你會發現
[30:01] 我們儘量分散
[30:02] 已經跟上大盤了
[30:03] 可是我們本質上
[30:05] 也沒有分散對於AI的壓住
[30:07] 因為說穿了前十名的配置
[30:09] 其實還是在指同一件事情
[30:11] 我們其實就是在對賭AI
[30:13] 我們是在分散個股風險
[30:15] 可是我們沒有分散系統性風險
[30:17] 不管買的是灰達
[30:18] 阿發貝微軟
[30:19] 還是掛上雲端半導體平臺的公司
[30:21] 本質上最後我們也是在壓住AI
[30:24] 所以這個就是現在的投資論調
[30:27] 沒辦法
[30:27] 我們有時候買ETF
[30:29] 我們是在分散風險
[30:30] 那實質上
[30:31] 我們也沒有分散多少的AI風險
[30:33] 這個就是真實看到的跡象
[30:35] 那以前最著名的段子
[30:37] 那個村長問村婦
[30:39] 你到底有幾個孩子
[30:41] 怎麼每個都是你的小孩子
[30:43] 那婦你說我有十個孩子
[30:45] 那你的小孩都叫什麼
[30:46] 我們小孩
[30:48] 叫小明小明小明小明小明
[30:51] 小明小明小明小明小明
[30:53] 十個
[30:54] 都叫小明
[30:55] 那你叫他的時候
[30:57] 要怎麼叫
[30:58] 那好辦
[30:59] 我叫他們的信不就好了
[31:01] 所以有時候我們看似在分散風險
[31:06] 實際上分散的風險也沒有多少
[31:09] 這個就是現在我們在AI的壓制底下
[31:12] 被迫引起新一波的構想
[31:14] 也可以說我這邊做一些參考
[31:15] 所以我們在接下來聽語會當中
[31:18] 也會細談這項問題
[31:19] 就是我們雖然儘可能用ETF
[31:22] 已經規避風險
[31:22] 跟上大盤
[31:24] 或者適度超越大盤
[31:25] 可是到底要如何規避AI的風險呢
[31:28] 買買債券
[31:29] 買買黃金
[31:29] 這樣子就能夠規避嗎
[31:31] 沒有
[31:31] 現在是整個流動性的預期
[31:33] 反映在各大資產
[31:34] 金價也創高
[31:35] 銀價
[31:36] 銅價
[31:36] 鏈價
[31:37] 大家都創高
[31:38] 面對這種市場
[31:39] 我們該如何面對呢
[31:41] 給投資朋友做一些分享
[31:43] 那當然了
[31:44] 能夠幫助大家爭持
[31:45] 資產爭持是我們的構想
[31:47] 更重要的事情是
[31:48] 藉由這些東西
[31:50] 讓大家顯得更有文化
[31:51] 那我之前才看
[31:53] 是一本書裡面講
[31:54] 他說
[31:55] 有時候我們被有錢人看不起
[31:57] 跟被有文化的人看不起
[32:00] 有什麼區別
[32:01] 後來區別發現是
[32:02] 被有錢人看不起
[32:04] 你知道
[32:04] 被有錢人看不起
[32:07] 你是心裡知道這件事情的
[32:09] 但是如果被有文化的人看不起
[32:11] 其實往往你是不知道的
[32:14] 後來仔細一想
[32:14] 好像真的是這樣子
[32:15] 就有錢沒錢
[32:17] 有時候我們要靠什麼物品
[32:19] 裝飾
[32:19] 西裝
[32:20] 手錶來表現
[32:22] 但文化這種事情
[32:23] 只能夠發生在腦子裡頭
[32:25] 外面看不見
[32:26] 更重要的事情是
[32:27] 有錢的往往要透過
[32:29] 像沒錢的人顯掰
[32:31] 才能夠刷到存在感
[32:33] 但是有文化的人
[32:34] 他天然都是要找
[32:35] 跟自己文化相當
[32:37] 或者更高的人去交流
[32:38] 他們就儘量迴避
[32:39] 比自己文化水準低的人交流
[32:42] 所以你才可以反向瞭解
[32:45] 就是你不要和
[32:46] 比自己有錢的人走得太近
[32:49] 那會白白的就好像
[32:50] 讓他可以顯擺的工具
[32:53] 那你要儘量跟文化高
[32:55] 有讀書的人在一起相處
[32:56] 不僅是因為有收穫
[32:59] 而且就算你被看不起
[33:00] 那你自己也不知道
[33:01] 所以我們才講說
[33:03] 這個增值
[33:04] 資產上的增值是一回事
[33:06] 本節目是希望大家
[33:07] 可以對財經世界
[33:09] 有另外一種思維的解讀
[33:10] 把它公允化以後
[33:12] 你會發現
[33:12] 這個世界從數字的角度而言
[33:15] 其實越來越有趣
[33:16] 也是給投資朋友做的一些思考
[33:17] 所以歡迎大家
[33:18] 如果有興趣的話
[33:19] 可以來參加我們禮拜六
[33:20] 舉辦的第一季財經號角聽友會
[33:23] 線上上來做直播
[33:24] 或者參考我們的會員系統
[33:25] 網址在底下
[33:26] 來給投資朋友做些報名
[33:28] 臺北股市持續下跌95點
[33:30] 收在30338點
[33:31] 因為最近爆量
[33:32] 所以看起來多空交戰
[33:34] 土羊對坐
[33:36] 我們今天聊的範圍比較廣
[33:37] 從一開始在川普的貼文當中來看待
[33:40] 他針對對外的政策
[33:42] 對內的政策進行調節和釋放以後
[33:45] 整個唐羅主義的盛期
[33:47] 包括我們看到
[33:48] 在近期所採取中期選舉之前
[33:50] 進一步的政策動作
[33:52] 似乎都在為接下來4月份退稅季以後
[33:55] 來做鋪路
[33:56] 那這是否意涵著
[33:57] 我們低估了美國的消費可能性呢
[34:00] 今天本來要稍微聊一下就業資料
[34:02] 和聊一下最近的ISN
[34:04] PNI資購業進人採購指數
[34:06] 那我們明天再來做細談
[34:07] 不過呢
[34:08] 從這些資料已經看得出來
[34:10] 川普政府為什麼這麼急著
[34:11] 想要開始進行財政刺激了
[34:13] 財政刺激
[34:14] 以前都是那民主黨人搞的東西
[34:16] 川普頂多就是退退稅
[34:18] 但看起來川普的財政刺激
[34:20] 隨時都有可能因此而上演
[34:22] 為什麼
[34:22] 因為製造業已經走到了
[34:24] 整個景氣的迴圈的落段
[34:26] 他也不是說到衰退的程度
[34:28] 但是就是整個K型經濟的分化
[34:30] 導致分化並沒有導致
[34:33] 市場上一般人分享到AI的利好
[34:37] 或者還來不及反應
[34:38] 而這個就是川普在中期選舉之前
[34:40] 必須要採取適度的動作
[34:42] 來呼應民意最在乎的購買力問題
[34:44] 如何提升購買力
[34:46] 降低通膨
[34:47] 拉高薪資
[34:48] 我們就試看
[34:49] 未來幾個月
[34:50] 他可能採取的動作
[34:51] 如果喜歡我們節目
[34:52] 請幫我們訂閱按贊加分享
[34:52] 我們就明天早上半點半
[34:53] 早晨財經速寫圖
[34:54] 再相見
[34:55] 祝各位投資朋友
[34:56] 開門順利
[34:56] 操盤愉快
