[00:00] 投資變換收聽早晨財經速解讀
[32:49] 我們今天聊的範圍比較廣,台股上漲339點,收在46156點。
[32:54] 一方面我們先聊美國股市漲到這樣的一個位階以後,市場的擔憂和它的信心在哪裡呢?
[33:00] 擔憂當然是利率環境,仍然不利於這些企業繼續的融資,可是信心來自於它真的賺這麼多錢,所以它的本益比例並不高,它沒有想像中這麼貴。
[33:10] 第二件事情看的是整個通膨的傳導,在美益衝突持續僵局底下,原油價格是按在80多塊左右,可是已經外溢出去了。
[33:19] 大量的大宗資產價格今年已經外溢下去,可能會導致通膨下行路距沒有想像中來得快。
[33:25] 它不至於升息,你要讓它降息,其實也是困難重重,必須承認。
[33:29] 第三件事情,來自於地緣政治的動盪,它雖然對於利率環境有影響,它的好處是什麼呢?
[33:35] 它的好處是,全球無人機產業鏈已經逐步到位,而台灣現在是非中、非二、非污體系當中產量第一名的經濟體了。
[33:46] 目前整體甚至領先於南韓、日本市場和其他土耳其市場。
[33:51] 這就說明了一個國家隊的成立,我們當然知道大家給它比較高的一個檢視標準,但是也許一個新的商機也會因此而出現。
[33:59] 給投資朋友做一些參考。
[34:00] 如果喜歡我們的節目,記得幫我們訂閱、按讚、加分享。
[34:02] 我們就明天早上8點半,早晨財經速解讀,再相見。
[34:05] 祝各位投資朋友看盤順利,擦盤愉快。
