[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 第一次他的周文也發文道瓊指數將突破五萬點大關
[26:10] 甚至很多梗圖都會出來
[26:12] 意圖秒懂日本東京的段位
[26:14] 來了解富得留學的區域在哪裡
[26:17] 港區有點小
[26:18] 或是千代田 涉谷區
[26:20] 小康的話
[26:21] 我們就去住豐島臺東區
[26:23] 普通家區再去住大田
[26:25] 北區等等
[26:26] 在這樣的效果底下
[26:28] 等同於一系列的排外政策
[26:30] 是否會在高市
[26:31] 持續掌握權力以後開始執行
[26:34] 不過這就是日本社會了
[26:35] 不好是不好
[26:37] 它有它的好
[26:38] 它有它的壞
[26:38] 但是就是有完善的基礎設施
[26:40] 和成熟的法治社會
[26:42] 吸引這麼多人進去
[26:43] 雖然日本經濟
[26:45] 這幾年經濟是不太好
[26:47] 物價也高漲
[26:47] 薪資停滯
[26:48] 讓很多的民眾購買力不斷減弱
[26:51] 生活壓力是沉重
[26:53] 但不好不好
[26:54] 不好是不好
[26:54] 不可否認的事情是
[26:56] 日本到目前為止
[26:57] 它有完善的基礎設施
[26:58] 它有便利的公共交通
[27:00] 還有成熟的法治
[27:01] 讓很多的移民到目前為止
[27:03] 還是把日本視為首要目標
[27:05] 我們不是平時看電影嗎
[27:07] 都會看到日本
[27:08] 其實是一個很和諧的文明
[27:11] 自由民主的國家
[27:12] 以前常講
[27:13] 你像是老師或者學生
[27:16] 上師和秘書
[27:18] 醫師和病人
[27:19] 按摩師和顧客
[27:21] 送瓦斯和家庭主婦
[27:24] 搜查官和嫌疑犯
[27:26] 不論門第的高低貴賤
[27:28] 也不論身份的相差懸殊
[27:31] 都可以睡在一起
[27:32] 這是一個和諧的國度
[27:34] 當然我們剛才看到的
[27:35] 過去這種排外政策
[27:37] 很大一部分是對於華人所造成的排擠
[27:40] 那當然這幾年已經不太一樣了
[27:42] 因為這幾年
[27:43] 其實臺灣已經正式取代中國和香港
[27:46] 成為臺灣人在東京買房最多的族群
[27:50] 我們根據國土交通省最新的調查
[27:53] 在整個2025年上半年
[27:55] 東京23區新建的公寓海外買家當中
[27:58] 臺灣的人數是其他國家的總和
[28:00] 在去年上半年買了192戶
[28:03] 這個比中國加香港的100戶
[28:07] 還有多了90戶左右
[28:08] 這件事情其實也意味著
[28:10] 很多臺灣人
[28:11] 有可能是因為
[28:13] 不小心換日幣換太多
[28:15] 先換一年換第二年
[28:16] 換到第三年
[28:17] 想說靠那去日本買間房好了
[28:18] 這有可能
[28:19] 像我就是這樣子
[28:20] 但是你要知道
[28:21] 東京住宅的投報率本身不高
[28:23] 大概只有3%到4%
[28:25] 它主要是出租比較穩定
[28:27] 市場流動性高
[28:28] 很多臺灣買家
[28:29] 他可能更多是反映那種
[28:31] 長期資產分散
[28:33] 或者退休長住
[28:34] 子女留學
[28:35] 生活彈性的計劃
[28:36] 也不單純是投資
[28:37] 可是從這件事情你就看得出來
[28:39] 為什麼日本人內部壓力感覺越來越大了
[28:42] 在這樣效果底下
[28:43] 你發現刻板印象也會變
[28:45] 以前都覺得是中國人在買日本房
[28:47] 現在才發現是臺灣人在買
[28:49] 以前日本人對臺灣人也有刻板印象
[28:51] 我的日本室友
[28:52] 以前看我們點那個烏糖烏龍
[28:55] 都會問我說
[28:56] 臺灣不是今天喝珍珠奶茶嗎
[28:58] 而且還要全糖
[28:59] 他以為我們全臺灣人都是臺南人
[29:02] 不知道臺灣一堆人都喝到喜勝了
[29:05] 開始怕了
[29:06] 讓我想到以前日本跟韓國人的笑話
[29:08] 韓國人也有刻板印象
[29:10] 有一天韓國人就問日本人
[29:12] 你們日本人天天吃壽司不會膩嗎
[29:15] 日本人說怎麼可能天天吃壽司
[29:19] 這是刻板印象
[29:20] 難道你們韓國人會天天吃泡菜嗎
[29:22] 韓國人說對啊對啊天天吃
[29:24] 好沒事
[29:26] 我們看到一系列的效果
[29:28] 最終所形成整個新的高市政策的湧現
[29:31] 在這樣效果底下
[29:33] 會如何影響到日本本土的變化
[29:35] 我們今天聊的範圍比較廣
[29:36] 我們今天聊的範圍就跟
[29:38] 日本偏網站一樣
[29:40] 什麼人都有
[29:41] 什麼都包含
[29:43] 聊的範圍比較廣一點
[29:44] 但總結來說
[29:45] 第一件事情就對日元來說
[29:47] 這一次選後的政策組合
[29:48] 偏向於財政擴張和減稅承諾
[29:51] 市場第一時間的直覺就是
[29:53] 事實應該是很難減弱
[29:55] 發貸會增加
[29:56] 所以貨幣政策會更難快速的轉移
[29:58] 在這種預期底下
[29:59] 日元中期仍然偏弱看待
[30:02] 有可能它相對於美元偏強
[30:04] 因為美元有走弱的政策格局要走
[30:06] 可是相對於臺幣
[30:07] 相對於人民幣
[30:08] 相對於韓元
[30:09] 日元的中期偏弱應該仍然會持續
[30:12] 資金迴流
[30:13] 只要日本跟美國之間還是存在的利差
[30:16] 資金也不容易快速的迴流到日元資產
[30:19] 不然波動會明顯放大
[30:20] 對於日本債券來說
[30:22] 壓力是三者當中最直接的
[30:24] 減稅 補貼 國防
[30:27] 還有產業投資同時上場
[30:28] 供給端會增加
[30:29] 日本央行又處在政策利率正常化的曲線
[30:33] 等同於最大價格的穩定基
[30:35] 它在慢慢退場
[30:36] 長天期的日本國債
[30:38] 很難有上漲的空間
[30:39] 再來就是日本股市結構分化
[30:42] 它不會是單邊的多或者空
[30:44] 是擴張財政
[30:45] 國防支出
[30:46] 半導體
[30:47] 能源的政策轉向
[30:48] 理論上
[30:49] 軍工裝置
[30:50] 先進製造電力
[30:51] 都會有非常顯著的資金湧入
[30:53] 但是無風險利率上升了
[30:55] 你會壓縮估值倍數
[30:57] 所以那種傳統的高股息
[30:58] 低成長
[30:59] 防禦性的股票
[31:00] 很難做拉伸
[31:01] 所以日股的創高
[31:02] 接下來就是靠政策題材和資金來驅動
[31:05] 那最後呢
[31:06] 高市啊
[31:07] 他是用戰後罕見的席次
[31:10] 把權力一次給收起了
[31:12] 代表著日本現在面對的也不是單純蜜月期
[31:15] 它是一個結構賬單的集中到期
[31:17] 減稅和補接可以救民意
[31:19] 它會拉高財政疑慮
[31:21] 也是另外一個副作用
[31:22] 你想用擴張性的支出來催生出成長
[31:25] 又會把債券殖利率和日元波動放到檯面
[31:28] 當時年紀公債殖利率走到跟股息殖利率差不多的時候
[31:31] 日本資金他可能就不是去被迫買股票了
[31:35] 他要開始重新計算風險報酬有多高
[31:38] 這個時候股市要走得多久
[31:40] 靠政策故事就有點難了
[31:42] 你要靠的就是
[31:43] 高市到底能夠帶動多少的企業
[31:45] 真正的盈餘增長
[31:46] 最難的就是外部世界的變動
[31:49] 我們知道對中的強硬
[31:50] 已經換得了這一次的安全感和選民之長
[31:53] 對中越強硬
[31:54] 看起來民調是越高的
[31:55] 但是日本和中國的貿易和關鍵原物料
[31:58] 仍然互相依賴
[31:59] 製造鏈和觀光消費
[32:01] 未來如何做變化
[32:02] 我們再跟投資朋友做一些的瞭解
[32:04] 今天聊的範圍比較廣
[32:05] 主要是根據日本的國情
[32:07] 來跟投資朋友做一些追蹤
[32:08] 臺股也上漲788點
[32:10] 收在32611點
[32:12] 然後這一次川普的拉動行情
[32:15] 會如何影響到全球股市的反彈呢
[32:18] 我們就明天跟投資朋友繼續做追蹤
[32:20] 如果喜歡我們的節目
[32:21] 記得幫我們訂閱按贊加分享
[32:22] 我們就明天早上8點半
[32:24] 早晨財經速點讀再相見
[32:26] 祝各位投資朋友看盤順利
[32:27] 茶班愉快
