[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 一个接着一个来
[25:26] 而并不是交给自己的判断
[25:27] 这是我们采取的做法
[25:29] 好那回过头来说
[25:30] 现在我们怎么看说
[25:32] 对于中东问题的部分
[25:33] 我们相信
[25:34] 终有一天外部性冲击的自动淡化
[25:37] 原因在于政治压力
[25:39] 来得越来越大了
[25:40] 我们看几支民调
[25:41] 还是留意
[25:42] 现在呢
[25:43] 如果根据川普的总体民调
[25:44] 就把各家媒体进行加总以后
[25:47] 平均支持率大概是在40%左右
[25:50] 不支持率上升到56%
[25:52] 那两条线
[25:53] 其实在今年乌鲁战事之前
[25:55] 它还是一个缓步的分离
[25:58] 就是本来经历过蜜月期以后
[26:00] 总统的民调都会适度的下修
[26:03] 可是在三月份以后
[26:05] 这一波下修力度就开始加快了
[26:07] 我们从各大民调来看都是一致的结论
[26:10] 像比较偏向主流媒体的NBC或者CNN
[26:13] 不支持率相对于支持率多了26%
[26:17] 偏向自由派的经济学人大概是17%左右
[26:21] 学术机构大概不支持率也多了17%
[26:24] 即便是偏右派或者保守派的受益群体
[26:27] 像Daily Mail整体而言
[26:29] 大概也是差不多的讯号
[26:31] 也就是说从左到右
[26:32] 从媒体到学术到商业机构
[26:35] 本身在三月份都观察到了
[26:37] 川普民调的大幅向下挫
[26:39] 这是第一个垂直比较
[26:41] 自己跟自己比
[26:42] 那第二个是系统性比较
[26:44] 就把同一个时间拿来做比较
[26:46] 拿来看他第二任任期
[26:48] 目前大概在近负评
[26:49] 接近负16左右
[26:51] 这不只是输给拜登第一任任期的负11%
[26:54] 也落后给欧巴马
[26:56] 甚至连小布希的相距差距
[26:58] 也来得越来越大
[26:59] 再看他内部的比较
[27:01] 第一任任任期
[27:02] 拿来跟第一任任期同一段时间
[27:04] 第一任任期也不过是负14
[27:07] 现在它是-16
[27:08] 就代表着它的民调下滑力度
[27:10] 比它第一任任期还要来得更为快速
[27:13] 甚至我们把整体支持率
[27:15] 拿来看不同的项目
[27:17] 不同的经济问题来做比较
[27:19] 最明显的是通膨和物价
[27:21] 净支持度直接调到-40
[27:23] 这是全面失守
[27:24] 就业和经济是-20
[27:27] 外交和移民还好
[27:28] -20到-10
[27:29] 治安是看起来最好的
[27:31] 现在大概是-5到-10
[27:33] 但是总体而言
[27:35] 除了大家对于抓了很多非法移民
[27:37] 稍微满意以外
[27:38] 大家对于通膨物价的表现
[27:40] 看起来是最不满意的
[27:41] 这也使得一个现象逐步发酵
[27:44] 那就是经济问题
[27:45] 如果无法立即有效的解决通膨状态的话
[27:48] 那很有可能川普在中期选举之前
[27:51] 几乎几个月之前
[27:52] 他就已经定调了本场的选民的投票意愿
[27:56] 在这样的一个状态底下
[27:57] 我们看到川普一方面
[27:59] 当然对于中东的压力
[28:00] 有一定的压力想要尽快的完成
[28:02] 或者拿出一个好的谈判协议
[28:05] 来解决通膨外溢效果
[28:07] 另外一方面
[28:08] 对内部分已经开始进行
[28:10] 电价或者通膨压制
[28:12] 我们举例来说
[28:13] 最近从宾州到密西根州
[28:14] 美国各地电价都在快速的上涨
[28:18] 甚至宾州
[28:19] 宾州是很重要的摇摆州
[28:21] 各地民意开始大力的推行
[28:23] Not in my backyard
[28:24] 不要在我家后运运动
[28:26] 这是什么意思呢
[28:27] 就是0B效应
[28:28] 拒绝AI和资料中心
[28:30] 盖在自己家附近
[28:32] 避免电价的上涨
[28:33] 从白宫到各州政府
[28:35] 已经收到相关的澄清
[28:37] 目前开始推动一个方案
[28:39] 要求资料中心
[28:40] 接下来任何的新资料中心
[28:43] 必须要自行建立发电
[28:45] 或者自备电力
[28:46] 减轻民众对于电价上涨的疑虑
[28:49] 但这个做法反而引发新的担心
[28:51] 比如说像宾州
[28:52] 河马市的大型开发案
[28:54] 把旧蓝煤电厂
[28:56] 变成天然气发电厂
[28:57] 和资料中心基地
[28:58] 投资金额是120亿
[29:00] 民众又开始质疑
[29:01] 会不会有污染的问题
[29:03] 就业机会真的存在吗
[29:04] 为什么盖了这么多资料中心
[29:06] 我们看起来
[29:07] 我们镇里面的人
[29:08] 都还没有找到新工作呢
[29:09] 那很正常
[29:10] AI资料中心哪需要你
[29:12] 它需要的是机器人
[29:13] 它需要的是高阶的工程师
[29:15] 所以更为关键的就在于
[29:17] AI的资料中心的建制
[29:19] 它对于电力价格的伤害为何
[29:21] 它对于本土就业
[29:22] 是否有相对性的增长
[29:24] 对外部分
[29:25] 我们看到川普
[29:26] 最近开始采取了一定程度
[29:28] 进一步关税的松绑
[29:30] 我们知道前阵子
[29:31] 本来当时英国是第一个签订
[29:35] 跟美国关税协议的经济体
[29:37] 结果川普在前阵子
[29:39] 准备要撕毁和英国签署的贸易协议
[29:42] 原因是什么
[29:43] 原因是因为伦敦拒绝参加
[29:44] 对于伊朗的军事行动
[29:46] 所以双方快速降温
[29:47] 这引发新一波的不确定性
[29:49] 可是看得出来
[29:50] 大家只是说说而已
[29:51] 为什么呢
[29:52] 因为最近我们看到
[29:53] 川普这一次关税战
[29:56] 来到一周年以后
[29:57] 全球的供应链的关税
[29:58] 平均来看
[29:59] 每周大概是0.1到0.2%的速度
[30:02] 降低关税
[30:03] 我们举例来说
[30:04] 川普的关税政策
[30:05] 目前看起来并没有全面落地
[30:07] 从2025年当时4月份
[30:10] 所提出的57项的贸易威胁
[30:12] 真正实施的目前只有8项
[30:15] 反而有21项根本还没有落地
[30:17] 中国关税的部分
[30:18] 大多数的电子零组件
[30:20] 已经去除关税了
[30:21] 代表的是关税只是一种谈判筹码
[30:23] 而并不是最终政策
[30:24] 换句话说
[30:25] 只要川普减少关税的政策
[30:28] 一项一项的取消
[30:29] 对于接下来的通膨降温
[30:31] 就有更有利的释放
[30:32] 这也可以解释为什么
[30:33] 怎么会关税战打了一整年
[30:35] 打了那么久
[30:36] 那一点通膨的传导都没有
[30:38] 因为看起来就没有
[30:39] 克这么多的关税
[30:40] 台湾有被克到关税吗
[30:41] 其实并没有
[30:42] 现在在IEPA取消的情况底下
[30:45] 301条款还没有补上
[30:47] 全球关税现在几乎是统一的
[30:49] 所以在这样的一个效果底下
[30:51] 等同于对于全球通膨的降温而言
[30:54] 川普就有进一步的作用存在
[30:56] 就01分
[30:56] 台股还上涨233点
[30:59] 37,081
[31:00] 没有人在理中东
[31:01] 是吧
[31:02] 那不管如何
[31:03] 我们今天主要跟投资朋友
[31:04] 聊几大方向
[31:05] 第一个方向
[31:06] 是目前整个中东战火的问题
[31:09] 似乎还未普
[31:10] 可是投资人的心理情绪
[31:12] 似乎永远都在反后战后格局
[31:14] 也意味着
[31:15] 大家已经开始愿意接受
[31:17] 原油价格长期保持在这样的一个区间
[31:19] 那附带的代价
[31:21] 就是联准会的降息路径
[31:22] 逐步被压缩
[31:24] 可是呢
[31:24] 它又处在一个可控
[31:26] 又不是过得特别好的一个情况
[31:28] 那第二件事情
[31:29] 是我们看到随着接下来的通膨外溢效果开始发挥
[31:34] 市场是否会采取进一步的避险情绪
[31:37] 让股市有一点乖离回调
[31:39] 那目前看起来回调幅度有限
[31:41] 有限的原因是什么呢
[31:43] 也许就是我们刚才所提到的
[31:45] 因为本益比太低了
[31:46] 因为现在好像买任何科技股都变成了逢低买盘
[31:50] 即便它股价在高位
[31:52] 因为基体是低的
[31:53] 最后就是川普的民调压力
[31:55] 看起来越来越大
[31:57] 不论是从左到右
[31:58] 从商业媒体到学术机构
[32:00] 对于川普的民调
[32:01] 都有了一个综合性的评价
[32:03] 这会逐步影响到
[32:04] 川普对于中东战事的收敛
[32:06] 也许这是市场有信心的根本来源
[32:09] 另外一方面
[32:09] 对内的冲锋意志
[32:11] 也被迫一定要呈现
[32:12] 也给投资朋友多做一些思考
[32:14] 如果喜欢我们节目
[32:15] 记得帮我们订阅按赞加分享
[32:16] 我们就明天早上八点半
[32:17] 早晨财经速解读
[32:19] 再相见
[32:19] 祝各位投资朋友看盘顺利
[32:21] 操盘愉快
