[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 千军万马来相见
[25:27] 并不是基本面改善
[25:28] 所以反弹应该要减码多单
[25:31] 核心原因在于停火看似利多
[25:33] 实质上问题并没有解决
[25:35] 收费机制仍然存在
[25:37] 石油的供应只是部分恢复
[25:39] 并非完全正常
[25:40] 所以他认为
[25:41] 基本上现在只是一个空单回补的过程
[25:43] 什么空单回补
[25:44] 按照废办那种章法
[25:46] 空单已经被洗出场了
[25:48] 所以我们一样
[25:48] 依循着过去的周期逻辑
[25:50] 三月份的部件
[25:52] 很多人说
[25:52] 跌幅好像没有很重
[25:54] 好在我买到的是七巨头
[25:56] 好像多买了一点点
[25:58] 可是整个大盘跌幅没那么重
[26:00] 我们要如何做看待呢
[26:01] 我个人的看法是
[26:02] 三月算跌不重
[26:03] 可是三月份我们过去一直强调
[26:06] 对于市场某种程度的这种买入
[26:08] 或者乐观讯号是有原因的
[26:09] 因为基期跌很重
[26:11] 什么意思呢
[26:12] 就这一次的总跌幅
[26:13] 相对于去年4月份的关税战
[26:16] 去年跌是跌18%
[26:18] 这一轮跌幅最大回撤
[26:21] 好像跌不到10%大概总体来说对于整个标普白指数跌幅才9到10%左右甚至没超过10%可是你看去年的PE Ratio
[26:32] 前瞻本一笔跌了19.5%
[26:35] 但是今年的PE Ratio
[26:36] 跌了18.4%
[26:38] 今年的跌幅
[26:40] 股价层面相对于去年
[26:43] 跌不到一半
[26:44] 可是今年的基期
[26:45] 却相对于去年跌幅差不多
[26:48] 那怎么会发生这样的事情呢
[26:49] 就是来自于
[26:50] 因为去年的AIEPS成长还没这么快
[26:54] 可是今年冲上去了
[26:55] 所以股价不用跌那么重
[26:57] 你也发现了
[26:59] 基期正在快速下滑
[27:00] 所以现在的前瞻本一比
[27:02] 为什么我们讲说已经接近关税战了
[27:04] 再过去两周
[27:05] 原因就来自于
[27:06] 这几个月
[27:07] 美国股市实在赚太多钱了
[27:09] 最后就导致了股价不用跌那么凶
[27:11] 基期也回到去年关税战的水准
[27:14] 这是我们过去一直以来
[27:15] 过去一个月的润掉
[27:16] 举几只股票来看
[27:17] 像Meta的部分
[27:19] 股价也是从高位降级一路摔下来
[27:21] 可是它的本益比
[27:22] 已经从2024年的42倍
[27:25] 前瞻本益比
[27:26] 现在下滑到多少
[27:27] 19倍
[27:28] 这个19倍
[27:29] 不只是相对于去年4月份
[27:31] 关税战以来的低点
[27:32] 甚至几乎已经回到
[27:35] 2022年当时乌尔战士库存回调的低点
[27:39] 再看一下微软
[27:40] 微软这一轮从高点跌下来
[27:41] 真的是七剧头当中跌最重了
[27:43] 高点已经跌了四成
[27:45] 这么大的股票跌四成
[27:46] 是很恐怖的市值蒸发
[27:48] 微软已经不只是微软了
[27:50] 这已经扬尾了
[27:51] 但是它的本益比
[27:53] 却从当时的40几倍
[27:54] 现在下滑到多少
[27:55] 23倍
[27:56] 23倍是什么水准
[27:58] 已经回到2022年的水准了
[28:00] 甚至比关税战还要来得低
[28:02] 所以你不要看微软
[28:03] 现在股价开始回弹了
[28:04] 它的股价虽然比去年4月份还要来得高
[28:07] 可是它的基期
[28:09] 它比去年4月份关税战还要来得低
[28:12] 所以当然
[28:13] 大家对于AI公司有不同的单一偏好
[28:15] 可是你要知道
[28:16] 有时候我们讲说
[28:18] 为什么本轮的回调
[28:18] 他也不用给他跌过重
[28:20] 就基本上有减便宜的机会了
[28:22] 因为现在的EPS
[28:24] 正在以惊人速度上行
[28:25] 那当然了
[28:26] 很多人有不同的想法
[28:28] 觉得说美国股市
[28:29] 经常出现摩天楼诅咒
[28:31] 有没有可能部分AI股
[28:33] 他已经要准备变现的时候
[28:34] 发现赚不了这么多钱
[28:36] 什么是摩天楼诅咒
[28:37] 就是对应过往美国的股市的高点
[28:40] 基本上通常跟当时的摩天大楼的建制完成有关
[28:45] 比如说双子星
[28:47] 或者我们看到不同的大楼建立而成以后
[28:50] 通常在一年到两年内股市就崩盘
[28:52] 那某种程度对照成AI
[28:54] 它的概念就是
[28:55] 一旦AI资本支出
[28:57] 这些算力设备逐步建制完成
[29:00] 当它成本已经花出去了
[29:02] 但是钱收不回来的时候
[29:04] 压力就出来了
[29:05] 在这样的一个效果底下
[29:06] 市场上就会进一步去聚焦
[29:08] 有哪些公司能够获得最终胜利
[29:11] 因为一方面
[29:11] 私募信贷资金仍然在持续抽离
[29:14] 另外一方面
[29:15] 我们看到各大公司的竞争越来越加剧了
[29:18] 我们举例来说
[29:19] 这次雀GPT本来尝试着要打造成类似App Store的超级平台
[29:24] 甚至像Spotify Booking
[29:26] 这些公司能够在聊天机器人当中提供雀GPT相关服务
[29:30] 但是推出半年之后
[29:32] 发现功能普遍受限
[29:33] 还要回到原本的App来做完成
[29:35] 体验感不连贯
[29:37] 所以造成雀GPT无法走出去
[29:40] 这也进一步导致微软的AI投资
[29:42] 似乎有踩刹车的迹象
[29:44] 之前微软的财务长胡德
[29:47] 曾经在20年底就一路踩下刹车
[29:49] 暂停部分的需要中心
[29:51] 后来要重新扩大
[29:52] 可是这一步
[29:53] 又进入到一个相对两难的局面
[29:55] 一方面是大幅的依赖OpenAI
[29:57] 另外一方面是错过AI浪潮
[29:59] 那么Google Amazon Meta
[30:01] 可能顺势的加码资本支出
[30:03] 就会拉开距离
[30:04] 所以我们看到
[30:05] 最近不管是Perplexity
[30:06] 压住AI Agent来冲它的营收
[30:09] 一个月内已经暴增了50%
[30:11] 就是来自于AI Agent的
[30:13] 新的产品computer
[30:15] 导入用量计费模式之后
[30:18] 公司的年化营收
[30:19] 已经突破了4.5亿
[30:20] 那就代表着
[30:21] AI已经进入了市场高强度竞争时代
[30:24] Enthorpe之前
[30:25] 也推出了新资安的AI模型
[30:28] Cloud
[30:28] 只要限制少数企业使用
[30:32] 可是包括Amazon
[30:33] Apple和Microsoft
[30:34] 这个模型
[30:35] 已经获得市场上进一步的评价
[30:38] 帮助大家能够打造一个
[30:41] 相对安全的
[30:42] 吃安的AI模型
[30:43] Meta AI的部分
[30:45] 最近除了它的Muse Spark
[30:46] 主要是针对Instagram
[30:49] Facebook和Straight
[30:50] 上面的内容
[30:51] 让回答能够更加的个人化
[30:53] 更为视觉化
[30:54] 比如说把Reels
[30:55] 把照片贴文
[30:57] 直接迁进到回复等等
[30:58] 双方我们看到
[31:00] 大家都在互相竞争
[31:01] 甚至连中国的部分
[31:02] 也出现了局势转变
[31:04] 腾讯正在抢回阿里巴巴
[31:07] 原本靠开源模型
[31:08] 和技术领先的优势
[31:09] 关键就在于来自于AI Agent的落地能力
[31:13] 腾讯最近所推出的几项产品
[31:15] 把AI直接整合到微信
[31:17] 让用户可以在同一个平台当中
[31:19] 完成叫车和订餐的服务
[31:21] 阿里巴巴目前的下载量
[31:23] 开始被腾讯给追过去
[31:25] 所以AI的竞争
[31:26] 我们就讲说其实很像一场长跑
[31:28] 它并不是短跑
[31:30] 有些公司一开始产品很亮丽
[31:32] 声量很高
[31:33] 快速的吸引用户和资金
[31:35] 但随着门槛拉高以后
[31:36] 算力和数据就变成壁垒了
[31:38] 后期反而那些默默投入基础建设
[31:41] 模型能力和生态系的玩家开始做反转
[31:44] 也有些公司前期看起来节奏很慢
[31:46] 但是一旦关键技术或者产品承受以后
[31:48] 就快速迭代了
[31:50] 这就是我们观察到的实质迹象
[31:51] 搭的机器就变低了
[31:53] 可是有些机器变低是有原因的
[31:55] 因为AI内部的竞争是非常剧烈的
[31:58] 所以有时候我们讲说后发先至
[32:00] 但是长期领先的
[32:02] 也不一定能够在本场的AI竞赛当中
[32:05] 完全的赢下来
[32:06] 这两天我刚好报名我们饭店
[32:08] 那个瑜伽课嘛
[32:09] 那我这两天深入调查以后发现
[32:12] 澳洲可能是我去过这么多地方
[32:15] 穿最多那个Lululemon的地区
[32:18] 我就发现一件事情
[32:19] 就是我发现女孩子身体是真的比较软一点
[32:24] 后来研究了一下
[32:25] 发现是因为磁性激素会导致皮肤软化
[32:28] 那肌肉会弱化
[32:29] 那这个时候呢
[32:32] 身体的确比较柔软
[32:33] 但是呢
[32:34] 有时候磁性激素啊
[32:36] 在进入更年期以后
[32:37] 它的分泌就会减弱
[32:39] 所以有些中老年的女性
[32:41] 肌肉可能就会重新发育
[32:42] 那这个时候战斗力又提起来了
[32:44] 所以就流行一种说法
[32:46] 说30岁的女孩子
[32:48] 是打不过30岁的男人的
[32:50] 可是你常常看到一个60岁的女人
[32:52] 要打一个60岁的男人很轻松
[32:55] 就柔软的时候
[32:56] 在年轻的时候会体现
[32:58] 但是呢
[32:59] 雌性激素退却之后
[33:00] 又变得重新强壮
[33:02] 所以这个时候我就觉得很有趣
[33:04] 讲说生物本能
[33:05] 60岁的男生
[33:07] 大部分都要买钙片了
[33:08] 可是60岁的女生
[33:11] 很多可以徒手拎水泥包什么的
[33:14] 拿砖块都没问题
[33:15] 以前我追剧也觉得很神奇
[33:18] 怎么都是婆婆在欺负媳妇
[33:20] 因为婆婆肌肉量提起来了
[33:23] 战斗力最强时期的婆婆
[33:25] 遇到年轻体弱的媳妇
[33:28] 为什么讲这个
[33:28] 概念就是
[33:29] 事实上我们看到这种后发先至
[33:32] 不同时期大家的肌肉量的爆发
[33:35] 在AI竞赛当中
[33:36] 你发现他是以月为单位的
[33:39] 原本高高在上
[33:40] 最先提出AI构想的那个人
[33:42] 如今却被市场踩在脚底下
[33:44] 这是非常有趣的概念
[33:46] 所以价格会不断的轮动
[33:47] 可是我们确定的事情是
[33:49] AI它会不断的发展
[33:50] 只不过不是每一只股票
[33:52] 每一家公司都能够傲到最后
[33:54] 这个才是接下来
[33:56] 我们在中东战事
[33:57] 逐步来到终局以后
[33:58] 大家针对AI的想象空间
[34:00] 好 最后做一个结论
[34:01] 我们今天聊半个比较广
[34:02] 一开始先聊整个中东局势的战火
[34:04] 战争还在打
[34:05] 但是从正面冲突
[34:07] 往区域局部冲突来扩散
[34:09] 第二个观察重点
[34:10] 来自于美国股市本轮的下修
[34:12] 大家都在看
[34:13] 这跌不够重
[34:14] 没有买够
[34:15] 其实从基期角度而言
[34:17] 我们看整个三月份的本益比回调幅度
[34:19] 已经相当来得大了
[34:20] 即便到现在股市反弹了
[34:22] 右侧不该追是没错了
[34:24] 可是问题在于
[34:24] 基期并没有全面的放大
[34:26] 第三件事情
[34:28] 是来自于AI的挑战仍然存在
[34:30] 可是这个挑战并不是AI的系统性问题
[34:33] 它来自于AI的个人公司能力的问题
[34:36] 看起来大家陆续推出新产品以后
[34:39] 要把营收进行回馈
[34:40] 这个时候如何熬过
[34:42] 接下来的AI内部竞争
[34:44] 就是各大公司挑战的课题
[34:46] 但你买ETF的就没差了
[34:48] 台股盘整下跌24点
[34:50] 摔34,737点
[34:52] 肺斑都创高了
[34:53] 台股何时跟上呢
[34:55] 我觉得台股跟肺斑的高度联动
[34:57] 始终是惯性
[34:58] 只不过台股散户现在有一个特性
[35:01] 涨高了是不想追了
[35:02] 只有下跌时我才会疯狂买
[35:05] 这个就是台股散户的新趋势
[35:07] 也给投资朋友做一些观察
[35:08] 如果喜欢我们的节目
[35:09] 记得帮我们订阅按赞加分享
[35:10] 我们就明天早上半点半
[35:12] 早晨才金速解读
[35:13] 再相见
[35:13] 祝各位投资朋友看完顺利
[35:15] 操盘愉快
