[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 黃金資產也是收漲的
[24:30] 你發在PTT發在論壇
[24:32] 而且大家知道
[24:33] 有些人他會截圖
[24:37] 按照現行規定
[24:39] 海外如果你已實現
[24:40] 未實現沒關係
[24:41] 已實現750萬以上
[24:43] 你知道納入基本稅額
[24:45] 所以要公佈的時候
[24:48] 你也要小心
[24:49] 有心人會去檢舉你
[24:50] 最好不要秀
[24:51] 依我看
[24:52] 你有錢關我什麼事
[24:54] 你又不會給我錢
[24:55] 你沒錢又關我什麼事
[24:57] 你問我借錢
[24:57] 我也不會借給你
[24:58] 一般人的想法是這樣子
[25:00] 所以我跟大家講說
[25:01] 有時候心理學很好玩
[25:03] 一個人越炫耀什麼
[25:04] 就代表越缺少什麼
[25:06] 一個人越缺少什麼
[25:08] 就覺得別人在炫耀什麼
[25:11] 這就是心理學
[25:13] 像我現在就在炫耀
[25:14] 我很懂心理學
[25:15] 其實我根本就不懂
[25:16] 那人生能不能高調呢
[25:18] 可以高調
[25:18] 所以你要對該低調的人低調
[25:21] 該高調的人高調
[25:23] 你要選擇的是選擇性的曝光
[25:25] 什麼是你該低調的人
[25:27] 你的親戚朋友
[25:28] 同學同事
[25:30] 他們是你身邊很親近的人
[25:32] 但是也是最容易嫉妒你成就的人
[25:34] 除非你打算賺他們錢
[25:36] 要他們掏錢
[25:37] 那你就可以適度的高調來炫耀
[25:40] 這是一種方式
[25:41] 給投資朋友做一些思考
[25:43] 對對
[25:44] 所以大家如果有興趣的話
[25:45] 歡迎可以來參加我們
[25:46] 1月10號財經號角聽優惠
[25:49] 我們來讓大家
[25:50] 知道怎麼低調的選
[25:52] 所以
[25:53] 對啊
[25:53] 你如果想要
[25:54] 真的很想分享的話
[25:56] 你分享給我好了
[25:57] 不管是私訊
[25:58] 還是頻道留言
[25:59] 讓我來祝福你一下
[26:00] 我們觀眾數值都很高
[26:03] 只會互相祝福
[26:04] 所以這種地方
[26:04] 你就可以分享
[26:05] 我也很喜歡跟大家互動
[26:07] 有時候
[26:08] 因為怕內容講不完
[26:10] 所以有時候比較趕
[26:11] 但大家的留言我都會看
[26:13] 通常都是我切簡報的時候
[26:15] 我會在旁邊偷偷看
[26:16] 因為我怕我笑出來
[26:18] 你要知道直播主機很孤單
[26:20] 你看很多脫口秀演員
[26:22] 講一講
[26:24] 他還有一些回饋的笑聲
[26:25] 我們有時候講一些有的沒的
[26:28] 也蠻尷尬
[26:29] 因為沒有人回應
[26:30] 所以我每天就對著一臺相機
[26:33] 有時候像我們小編
[26:35] 有時候在旁邊
[26:35] 他大部分時間也不笑的
[26:37] 他的笑點
[26:39] 現在經過多年的訓練
[26:40] 越來越高了
[26:41] 那個我聽過了
[26:43] 上次你講過了
[26:44] 每一次他笑
[26:46] 通常都是我提起
[26:47] 請小編喝咖啡專案的時候
[26:50] 你看他現在又笑了
[26:52] 就是通常
[26:53] 現在跟他荷包比較有關
[26:55] 他才會笑
[26:56] 所以我們才講說
[26:57] 幽默的男生
[26:57] 是不會遭女孩子喜歡的
[26:59] 你說那是因為不夠幽默
[27:01] 不是
[27:02] 是因為
[27:02] 你當那個拼命逗笑他的人
[27:05] 比不過他一見就笑的人
[27:08] 八塊腹肌再怎麼大顆
[27:10] 也比不上八套房的
[27:12] 陪白雪公主走到最後的
[27:14] 不是王子
[27:16] 是王總
[27:17] 她生命中有一節
[27:19] 原來是王總的保時捷
[27:21] 對我突然想到
[27:23] 這兩天很多人問
[27:24] 我們的直播間在哪裡
[27:26] 如果是網頁版的
[27:28] 因為它好像改版面了
[27:29] 直播間在我們現在的
[27:30] 右下角部分
[27:31] 你點開就可以看
[27:32] 以前是在右上角
[27:33] 你現在點開來看的話
[27:35] 而且現在是等重播的人
[27:37] 給他的一些操作方式
[27:40] 然後電腦的右下角才會看到
[27:42] 手機的話
[27:43] 你是在原本的留言區這邊
[27:45] 你往左邊一滑
[27:47] 點開來看
[27:49] 原本的直播就會出現
[27:51] 因為我發現很多人好像都覺得
[27:52] 怎麼現在的一些聊天室都不見了
[27:54] 現在版面變了
[27:56] 沒錯
[27:57] 我只是要炫耀我的i17而已
[27:59] 不是
[27:59] 你不要看我們年輕
[28:01] 這種東西本來就要互相的
[28:03] 前幾天我買了一個掃地機器人
[28:05] 我花了兩個小時才設定好
[28:06] 這不是重點
[28:07] 剛剛聊寬了
[28:09] 重點是不要炫耀
[28:11] 不要炫耀
[28:12] 你要炫耀的話
[28:13] 你要跟我炫耀
[28:14] 跟我們的觀眾朋友炫耀
[28:16] 我們的觀眾朋友都會互相祝賀的
[28:17] 剛才聊很多
[28:18] 聊什麼
[28:18] 今天聊的是川普的煩惱
[28:21] 煩惱經濟的問題
[28:22] 煩惱內政的問題
[28:23] 可是總結來看
[28:24] 市場上其實自然有給他的評價
[28:26] 他有特別側重的權重
[28:28] 也就是集中在經濟領域
[28:30] 所以在對外層面
[28:31] 即便我們看到在過去一天
[28:33] 川普跟澤潤斯基
[28:35] 在海湖莊園的談話
[28:37] 雖然說有進展
[28:38] 不過烏魯的和平仍然卡關在關鍵問題
[28:41] 那川普政策其實已經很明顯了
[28:43] 幾乎有點殺手不管了
[28:45] 只要海外的外交政策
[28:47] 不會給予民眾更進一步的回饋
[28:50] 或者感受程度的提高
[28:51] 本身而言
[28:52] 其實白宮就沒有必要繼續幹預
[28:54] 這其實就是馬卡派原本的邏輯
[28:56] 反而我們回過頭看
[28:58] 俄羅斯的灰色戰爭
[29:00] 到目前為止
[29:01] 已經逼得歐洲已經正視現實
[29:04] 開始進行全面性的軍事支出的拉伸
[29:06] 如果我們細看
[29:07] 目前在烏克蘭戰爭所推升的
[29:10] 全球軍事支出背景底下
[29:11] 歐洲的大型國防承包商的財務狀況
[29:14] 現在已經開始明顯改善了
[29:16] 歐洲8家的主要軍工集團
[29:19] 現在在25年
[29:20] 已經向股東回饋了50億美元
[29:22] 金額應該會創下10年來的新高
[29:25] 而且這是鼓勵
[29:26] 不是庫藏股
[29:27] 人家說庫藏股
[29:28] 那是技巧性抬升
[29:29] 都是發鼓勵
[29:30] 也就是說
[29:31] 企業現在對於股東的回饋增加
[29:33] 主要就是來自於
[29:35] 歐洲軍工股的爆發
[29:36] 歐洲自己主動承擔了烏二戰士的義務
[29:40] 在這樣的一個效果底下
[29:41] 我們就必須承認整個對外的干預度
[29:44] 美方可能會在未來幾個月持續的淡化
[29:47] 而更為聚焦內政問題
[29:48] 而在內政問題當中
[29:50] 又會特別聚焦當前的經濟問題
[29:53] 通膨和就業的拉伸
[29:55] 給投資朋友作為一些參考
[29:56] 我們今天主要圍繞著煩惱
[29:58] 每個人都有不同的煩惱
[30:00] 那大家一定也要有新的煩惱
[30:03] 因為新的一年
[30:03] 我們要把舊的煩惱給掃除
[30:05] 要迎來新的煩惱
[30:06] 在煩惱的過程當中
[30:08] 川普也會有他的煩惱
[30:09] 你也會有自己的煩惱
[30:10] 但是人生本來就是一個解決煩惱的課題
[30:13] 而對於當前的2026年景象來看的話
[30:16] 川普基本上只要能夠解決就業和通膨的煩惱
[30:20] 其他煩惱就算無法解決
[30:22] 似乎對他的終極選舉也不會有太大影響
[30:24] 從民調的呈現是如此
[30:26] 也給投資朋友作為一些參考了
[30:28] 如果喜歡我們節目
[30:29] 記得幫我們訂閱按贊加分享
[30:30] 我們就明天早上八點半
[30:31] 早晨財經速解讀
[30:33] 再相見
[30:33] 祝各位投資朋友看盤順利
[30:35] 操盤愉快
