[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 已经透露出一些好消息
[25:41] 能够做进一步的机器人半导体的提升
[25:44] 你变成更大的创意的连结
[25:47] 有时候三不转路转
[25:48] 你不要说一个
[25:50] 自己已经落后的地方
[25:51] 硬要投钱
[25:52] 还是官营补助
[25:53] 想要追上台湾企业
[25:54] 韩国企业会
[25:55] 有难度
[25:56] 这个公营部门
[25:57] 或者说官股的
[25:59] 资金庞大的公司
[26:01] 难免在行政效率层面
[26:03] 会有一点压力
[26:03] 不如从你原本就已经擅长的
[26:06] 来下手
[26:07] 昨天我才看到新闻
[26:08] 日本的推理作家
[26:10] 东野龟武
[26:11] 昨天大肠癌离世
[26:13] 享受68岁
[26:14] 那是我学生的记忆
[26:16] 很少有日本小说可以让我一直看
[26:18] 然后让我想到以前那个救警仪人
[26:21] 救警仪人是写蜡笔小新的那个
[26:23] 他也是几年前吧
[26:25] 因为那个登山的时候
[26:27] 好像是山难
[26:29] 然后罹难
[26:30] 他才五十几岁就走了
[26:32] 然后再去填考试
[26:33] 填考试是那个宝可梦的
[26:35] 原本的企划
[26:36] 我现在很担心他
[26:37] 大家看我们后面的布景那么久
[26:40] 后面不是都有一颗神奇宝贝球吗
[26:43] 还有一个神奇宝贝箱
[26:45] 就知道我本人
[26:46] 其实也是一个
[26:47] 宝可梦的爱好者
[26:49] 人就是这样子
[26:50] 小时候童年
[26:51] 由于预算有限
[26:52] 常常就想玩的玩具很多
[26:53] 每天就想玩
[26:55] 那Game Boy
[26:55] 神奇宝贝游戏
[26:56] 然后又要买卡牌
[26:58] 只好大家交换着玩
[26:59] 现在好不容易
[27:00] 可以买自己喜欢的
[27:01] 但已经
[27:01] 没有太多耐心玩了
[27:03] 变成收藏了
[27:04] 我几乎所有的
[27:06] 宝可梦的公仔都有
[27:08] 我每到一个城市
[27:09] 有些人是看
[27:09] 星巴克的杯子
[27:10] 像我都是去看
[27:11] 有没有宝可梦中心
[27:12] 有点爱好这样
[27:13] 男生还是要有点童心
[27:15] 难道你想要成年以后
[27:17] 每天混酒店
[27:19] 抽烟喝酒的日子吗
[27:21] 当然都会
[27:23] 不是
[27:23] 有时候追求一些
[27:26] 小时候的童心
[27:27] 反而会让整个人更有趣味
[27:29] 热心热诚最重要的地方
[27:31] 不是永远当时的初心
[27:33] 而是当身边的人陆续离开以后
[27:36] 你还是可以留下自己一些期待
[27:38] 我后来我有个房间
[27:40] 是几乎都是放宝可梦相关的
[27:42] 我都会收藏
[27:42] 过了几年都开始
[27:44] 反而收集那种异类
[27:46] 这两天我刚好在整理
[27:47] 整理出一些比较奇怪的
[27:51] 你像这一只
[27:51] 这一只背后看起来是宝可梦
[27:54] 其实它是皮卡巴拉
[27:57] 它前面是水豚
[27:58] 然后最近还收藏出
[28:01] 这几只皮卡丘
[28:03] 它叫剑剑皮卡丘
[28:05] 就是表情比较奇怪一点
[28:07] 这叫剑剑小火龙
[28:10] 这是可达亚
[28:14] 还有戴墨镜这样子
[28:17] 对对对
[28:18] 我收藏很多很奇怪的
[28:20] 正常的我都已经收起来了
[28:22] 这些都是
[28:23] 不知道什么时候买的
[28:24] 很奇怪
[28:25] 像这只也是皮卡丘
[28:28] 但其实它正面是皮卡蛙
[28:30] 是一个青蛙的图案
[28:31] 这个是小火蛙
[28:35] 妙花蛙
[28:39] 杰尼蛙
[28:43] 哆啦A蛙
[28:47] 圣诞蛙
[28:51] 鲁牛蛙
[28:55] 它还有鲁头
[28:57] 很性感
[28:58] 这叫鲤鱼蛙
[29:02] 很大只
[29:03] 我也不知道为什么有这么多
[29:05] 我跟你讲
[29:06] 日本的软食力
[29:08] 我认为是走出本场游戏的重要关键
[29:10] 你想要靠一些国家的补助计划
[29:13] 要追上台积电
[29:14] 成立一个Rapidus
[29:16] 要跟韩国的三星SK海力士抗衡
[29:18] 台湾人自己都不太敢直接做抗衡了
[29:21] 都是绕着道路走
[29:22] 组合成自己的AI供应链
[29:24] 所以我们才可以观察到
[29:26] 虽然我们今天聊范围比较广
[29:28] 从美国到韩国到日本
[29:30] 再回过头来聊台湾
[29:32] 会发现各国当然都有各自
[29:34] 拟定相关的AI战略
[29:35] 有的国家比较急一点
[29:37] 有的国家反而要在中期选举当中
[29:39] 来做一些适度的让步
[29:41] 有的国家成立了很多
[29:42] 官营型的这种AI半导体公司
[29:45] 或者AI的合作公司
[29:47] 但是某种程度而言
[29:49] 大家都是不希望错过本轮的AI浪潮
[29:52] 可是回过头来说
[29:53] 某种程度就意味着
[29:54] 在本场国家队的参与底下
[29:56] 你说对于硬体的需求
[29:58] 会突然之间就消除了吗
[30:00] 所以回过源头
[30:01] 我们来看标题
[30:02] 到底本场晶片股的下跌
[30:05] 他真的在暗示着
[30:06] 接下来的财报过程当中
[30:08] 资本支出即将会显著递减
[30:10] 资本支出当然不可能
[30:11] 每年都以这种速度飙高
[30:13] 但是要递减
[30:14] 可能要好长一段的时间
[30:16] 为什么
[30:16] 因为国家的力量
[30:18] 正在帮助你
[30:19] 尽可能的去扩散
[30:20] 尽可能的填补本轮AI的缺口
[30:23] 这是我们观察到的实质现象
[30:24] 对
[30:24] 我不敢自称自己是宝可梦大师
[30:27] 但是我算是神奇宝贝专家
[30:30] 两个好像差不多
[30:31] 我讲人一旦失去一些热忱之后
[30:34] 再有趣的事情都会变成例行公式
[30:37] 你只要心里有点好奇
[30:39] 平凡的生活也可以变得有意思
[30:41] 热忱也不一定要很猛烈
[30:43] 你也不需要每天逼自己
[30:45] 达成某个任务
[30:46] 有时候就是慢慢玩
[30:47] 随缘走
[30:48] 让生活多一点动力
[30:50] 对不对
[30:51] 像我们小编是比较喜欢玩皮克敏
[30:54] 但因为比较幼稚
[30:56] 我比较成熟
[30:57] 我还是比较喜欢宝可梦一点点
[30:59] 要愿意为一只没抓过的宝可梦
[31:03] 多绕一条街的那份心情
[31:05] 我认为对于这个世界是很重要
[31:07] 我们看一下台北股市的表现
[31:09] 今天聊的范围
[31:10] 主要就跟投资朋友观察
[31:11] 在不同的AI国家战略的过程当中
[31:14] 我们看起来好像
[31:15] 股价跟现在的现实情况有所脱节
[31:18] 可是真实的迹象是
[31:19] 其实基本面从头到尾
[31:21] 都没有做任何的脱节
[31:22] 它的方向一直都是确定的
[31:24] 可是市场的心理情绪
[31:26] 口袋快没钱了
[31:28] 开始要挑产业
[31:29] 挑消息
[31:30] 挑新闻
[31:31] 来做价格反应
[31:32] 台股下跌1413点
[31:35] 收在42,220点
[31:37] 股价持续的下压
[31:39] 那到底本轮的下跌是机会还是危机呢
[31:42] 我们的态度应该相当明显了
[31:45] 也给投资朋友多做一些参考
[31:46] 如果喜欢我们的节目
[31:47] 记得帮我们订阅按赞加分享
[31:48] 我们就明天早上8点半
[31:50] 早晨财经速写读再相见
[31:52] 祝各位投资朋友看盘顺利
[31:53] 操盘愉快
