[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 黃金也基本上在挑戰歷史新高的過程
[24:38] 那另外一方面呢
[24:40] 對中國也是如此
[24:41] 去年是習近平訪韓
[24:43] 今年是李在民訪中
[24:45] 那李在民訪中的過程當中
[24:47] 就把主軸放在民生和和平
[24:49] 實質上呢
[24:50] 就是要呼應出
[24:51] 雙方在國際貿易變遷的過程當中
[24:54] 中韓雙方還是願意
[24:56] 以和平作為主要主籌
[24:58] 來進行進一步的經濟合作
[25:00] 南韓甚至直接表態
[25:02] 尊重中國的一個原則
[25:03] 對於臺灣議題
[25:04] 也是非常低調處理
[25:06] 雖然對臺灣而言
[25:07] 那就有點變色龍
[25:08] 不能講變色龍
[25:09] 對還是變色龍了
[25:10] 但是本身而言
[25:12] 他就是採取這樣的一個動作
[25:13] 多面討好
[25:15] 那到底會不會引發
[25:16] 美國的關注呢
[25:17] 很難說
[25:17] 因為李在民這一次還把去年習近平送給他的小米當場來自拍那很多人就開始討論你怎麼不拿三星的手機你拿小米的手機來自拍
[25:29] 大家無法接受
[25:30] 不過李在明也是笑笑的
[25:31] 覺得中韓之間就是互相有合作
[25:34] 他們用的那個螢幕
[25:35] 也是用我們三星的技術
[25:37] 中韓雙方能夠走向美好的未來
[25:48] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[26:18] 你不要看上禮拜
[26:20] 他才在中國跟習主席
[26:22] 兩個人眉來眼去
[26:24] 這禮拜他就跟高士早苗
[26:26] 在奈良雙邊結束會場之後
[26:29] 還跟大家最近有看到新聞
[26:31] 跟高士早苗兩個人一起打鼓
[26:34] 浪漫的圓夢場景
[26:36] 兩人一起同奏K-pop
[26:39] 還有BTS的歌
[26:41] 氣氛熱絡又有氛圍
[26:44] 現場有高士主導
[26:46] 還親自示範打鼓技巧
[26:47] 就是從韓國對於中國的態度
[26:50] 對於美國的態度
[26:51] 對於日本的態度
[26:52] 你會發現
[26:53] 韓方真的是
[26:54] 對於各國在一個新的貿易爭執體下
[26:57] 它是少數
[26:58] 每個人都想沾
[26:59] 我們就要後續觀察一下
[27:01] 它到底這樣的一個做法
[27:02] 是好事還是壞事
[27:04] 很難說
[27:04] 不過我們看一下畫面
[27:17] 有時候玩音樂的女孩是真可愛
[27:31] 有時候我們選擇領導人
[27:32] 有時候也不一定是選擇真的會做事
[27:35] 因為你也不知道
[27:36] 而是選擇一個icon
[27:39] 一個你理想當中的好朋友
[27:41] 你像高士
[27:42] 高士根本就年輕人
[27:44] 他每天就笑呵呵的
[27:45] 精神永遠飽滿
[27:47] 愛玩音樂
[27:48] 眼睛會笑
[27:49] 你懂不懂
[27:50] 我最喜歡就這種女孩子
[27:52] 日本最需要的就是這種朝氣蓬勃感
[27:55] 你再看看李在民
[27:56] 外表是蠻符合大叔的
[27:59] 可是他也是那種咪咪眼笑笑的
[28:01] 講什麼問題就開你玩笑
[28:04] 小米手機為什麼不能買
[28:05] 他用的是我們的面板
[28:06] 兩岸議題我們為什麼要管
[28:08] 讓臺灣自己去處理
[28:10] 對我們來講真的很討人厭
[28:11] 但是對他的選民來說
[28:13] 尤其是年輕選民
[28:14] 就是要這種反差感
[28:17] 他們都其實我覺得都很年輕
[28:19] 都不是典型的
[28:21] 中年人會給別人的感覺
[28:23] 你撇開外表
[28:24] 其實他們的心態
[28:25] 跟大學生沒什麼區別
[28:26] 川普也是每個禮拜
[28:28] 都要打高爾夫球
[28:29] 而且跟很多人拍影片
[28:31] 臺灣領導人
[28:32] 你看過去也是
[28:33] 阿扁是貪汙
[28:35] 可是他的演講很感染
[28:37] 感染了一整代人
[28:38] 那是一個朝氣蓬勃的大辯論時代
[28:40] 小馬哥633沒達標
[28:42] 可是很多人因為他
[28:44] 開始做鐵人三項
[28:45] 開始跑步
[28:46] 小英雖然沒有小孩
[28:48] 可是他在任的時候
[28:49] 全臺毛小孩的領養人數暴增
[28:53] 那領導人有時候就是要給人家
[28:55] 這樣的一個感覺
[28:56] 那執政成果好不好
[28:58] 每個人自有公平
[28:59] 但總要讓人家覺得你有某種愛好
[29:03] 年輕人才會對你有興趣
[29:05] Funny guy
[29:06] 對不對
[29:06] 這是一種說法
[29:08] 所以並不是年輕人
[29:10] 每個人都那麼看政策
[29:12] 又不是每個人都看財經號角
[29:14] 所以看的人
[29:16] 自然會從經濟成長
[29:17] 和所得分配當中
[29:19] 得出對於執政黨的評價
[29:21] 但很多年輕人
[29:23] 他是沒有關注這項的
[29:24] 他就要看你討不討喜
[29:25] Kimochi的問題
[29:26] 所以這也說明
[29:28] 所以有時候人到一定年紀以後
[29:29] 觀念就固化
[29:31] 講的笑話也不好笑
[29:32] 一天到晚講黃段子
[29:34] 穿西裝
[29:36] 裝正經
[29:37] 這種就很有
[29:39] 我們就要檢討
[29:40] 這種我們就要檢討
[29:41] 所以我們這樣講
[29:42] 其實人性是藏不住的
[29:44] 高士真的每天就這樣笑嘻嘻
[29:46] 你看他走在日本的地鐵
[29:49] 他其實看到路人
[29:51] 他也是笑呵呵的跟他打招呼
[29:53] 他私底下就這樣的人
[29:54] 李在民你不要看他
[29:56] 講話好像鬼頭鬼腦的
[29:58] 他私底下大概也差不多樣子
[30:00] 所以其實這種東西都裝不了
[30:02] 我還記得我前輩
[30:03] 以前臺式的老前輩
[30:05] 我都叫吳總
[30:05] 吳林祥
[30:06] 他有開一個節目烏鴉笑笑
[30:08] 以前算是他帶我入行
[30:10] 剛當完兵
[30:11] 有時候那口頭禪
[30:12] 以前總會講一些有的沒的
[30:14] 他跟我說聊天聊著
[30:16] 他就很嚴肅
[30:17] 不要再講髒話
[30:18] 我說我只會私下講
[30:20] 他說作為電視人
[30:22] 你私底下怎麼樣
[30:23] 你上臺就是怎麼樣
[30:25] 你藏不住的
[30:26] 所以如果你私底下都一直講髒話
[30:29] 你在直播的時候
[30:30] 你一定到處講髒話
[30:31] 會教壞小孩子
[30:32] 所以有些節目
[30:35] 就是可能都在講髒話
[30:38] 那就是他本性
[30:40] 他本性一定是如此
[30:41] 有些節目也是一天到晚
[30:43] 講黃段子
[30:44] 沒水準
[30:45] 好險我們是很震驚的節目
[30:47] 所以你臺上怎麼樣
[30:49] 你臺下就是怎麼樣的人
[30:50] 裝都裝不出來
[30:51] 所以你看我們節目這麼震驚
[30:53] 大概就知道
[30:54] 我私底下也是很震驚的人
[30:56] 就零三分
[30:57] 我們看臺北股市
[30:58] 下跌107點
[30:59] 刷30839點
[31:01] 所以納指跌那麼重
[31:02] 臺股也跌不下去
[31:03] 我們看在昨天沒有股市的表現
[31:05] 從四大指數來看
[31:06] 道瓊指數下跌43點
[31:08] 0.09%
[31:09] 收在49149點
[31:11] 標普500下跌37點
[31:13] 0.53%
[31:14] 收在6926點
[31:15] 納指下跌238點
[31:17] 1%
[31:18] 收在23471點
[31:20] 費辦下跌46點
[31:21] 0.6%
[31:22] 收在7701點
[31:24] 所以Intel已經又大漲了3.02%
[31:27] 這個接近2024年初以來的最高水準
[31:30] Intel現在可能已經把蘋果鎖定為
[31:33] 低階M系列處理器的客戶
[31:35] 而且正在討論29年推出的A系列處理器
[31:39] 這件事情其實也足以說明著
[31:41] 當前市場上
[31:42] 還是有非常明顯
[31:43] 軟硬體股的資金交錯
[31:45] 你看一下納指
[31:46] 它從去年10月11月創高以後
[31:49] 就再也沒有創高了
[31:50] 現在還回濟現了
[31:52] 可是你看費辦
[31:53] 費辦就整個一路衝上去了
[31:55] 根本連頭部都沒形成
[31:57] 所以軟硬體股的交錯
[31:59] 它終究還是有重新交錯的可能
[32:02] 不會說硬體股永遠上去
[32:04] 原因很簡單
[32:05] 你硬體股蓋那麼多
[32:07] 賺那麼多
[32:07] 那主要還是產能的問題
[32:09] 一旦產能逐步達標以後
[32:11] 軟體股能不能把AI
[32:13] 它的投資換為營收
[32:15] 就是下一步助長的動力
[32:17] 那如果軟體股無法上漲
[32:18] 它的營收進不來
[32:20] 那硬體股有什麼條件
[32:21] 無條件的一路上漲上去呢
[32:23] 給投資朋友做一些思考
[32:24] 我們今天聊的範圍比較廣了
[32:26] 我們主要是從整個美國
[32:28] 當前貴金屬資產價格的大漲
[32:30] 來看一下金銀銅背後的推升
[32:33] 主力為何
[32:34] 有聯準會不確定性的變化
[32:36] 有關稅戰不確定性的變化
[32:38] 最高法院判決的不確定性
[32:40] 以及地緣政治
[32:42] 伊朗的不確定性
[32:43] 都推高了當前的貴金屬買盤
[32:45] 可是呢
[32:46] 在買盤的種種背後
[32:47] 川普個人呢
[32:49] 本身也跟各國採取一系列的動作
[32:51] 來維持美元霸權的平衡
[32:54] 就說明了
[32:54] 他只是避嫌買盤的增高
[32:56] 不代表避嫌買盤的增高
[32:57] 美元的霸權就因此而衰弱
[32:59] 我們看到不管是韓國跟美國的關係
[33:02] 日本跟美國的關係
[33:03] 還是臺灣跟美國的關係
[33:04] 本身而言呢
[33:05] 都還是採取一定性的立場
[33:07] 那有少數國家
[33:08] 韓國的部分
[33:09] 好像不只想要跟美國好
[33:10] 想要跟周遭各個鄰國都好
[33:12] 只跟臺灣不好
[33:13] 很明顯
[33:14] 對不對
[33:14] 這個護照也給他亂寫
[33:16] 但不管怎麼說
[33:17] 這些效果會如何引發
[33:19] 接下來的地緣政治紛爭
[33:21] 沒有人知道
[33:22] 而不確定性
[33:23] 最終形成了貴金屬資產的買盤
[33:25] 所以只有市場上
[33:27] 看到一個更加理性的川普
[33:28] 看到2026年的局勢
[33:30] 大勢底定的時候
[33:31] 這種貴金屬買盤
[33:33] 才會全然消失
[33:34] 可是很抱歉
[33:35] 只要川普存在
[33:36] 似乎這種不確定性
[33:38] 始終都會存在
[33:39] 他只是不像2025年的關稅戰
[33:41] 這麼充滿著不確定性而已
[33:43] 也給投資朋友作業思考
[33:44] 如果喜歡我們節目
[33:45] 記得幫我們訂閱按贊加分享
[33:46] 我們就明天早上八點半
[33:47] 早晨財經速寫圖
[33:48] 再相見
[33:49] 祝各位投資朋友
[33:49] 看板順利
[33:50] 操盤愉快
