[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 川习会有过高的期待
[25:21] 那就希望
[25:22] 我可以把身上没用的肉
[25:24] 都可以消失
[25:25] 结果第二天一起床
[25:27] 老二不见了
[25:28] 怎么自己变女孩子了
[25:30] 投资市场
[25:32] 它也经常发生一样的事情
[25:33] 很多人希望能够消除风险
[25:35] 消除波动
[25:36] 消除亏损
[25:37] 最后你等同于股票也全卖
[25:40] 你永远不敢进场
[25:41] 你为了避免短期的回挡
[25:43] 错过整段牛市
[25:45] 有人为了要追求高胜率
[25:46] 把报酬空间也一起开掉
[25:48] 所以我们讲到市场上最危险的地方
[25:50] 真的不是你的愿望有没有实现
[25:52] 是他真的照你的话给实现了
[25:56] 但是方式不是你以为的那样
[25:59] 人性弱点
[25:59] 买对抱不住
[26:01] 买错舍不得
[26:02] 好
[26:02] 那我们回过头来看一下
[26:03] 其他巨头的表现
[26:05] 目前表现为何
[26:06] 汇达的财报
[26:07] 我们就看
[26:07] 这一次到底是能够透露出多高的财策
[26:10] 因为四大CTP业者的确
[26:12] 其实早在之前的财报
[26:13] 就已经展现亮丽表现了
[26:15] 这代表现在市场
[26:15] 对于辉达的评价来得更高
[26:17] 我们看一下他的客户们
[26:19] 在做什么事情
[26:19] 看Google最近进行全面升级
[26:22] Android AI
[26:23] 提前迎战苹果的Siri的大改版
[26:26] 我们知道苹果WWDC要到来了
[26:29] 那明显Google这一次
[26:31] 在Android 17
[26:32] 大量的推出AI新功能
[26:33] 就是要提前对决
[26:35] 即将升级的Siri
[26:36] 和Apple Intelligence
[26:37] 这次的更新
[26:38] 全部围绕Gemini AI展开
[26:41] 包括更精洁的语音助理
[26:42] 自动的操作APP
[26:44] 多语言的语音模型
[26:45] AI建立桌面
[26:46] 以及帮用户可以完成更多的多步骤任务
[26:50] 甚至Google直接抢身
[26:51] 很多公司现在还停留在第一代的AI助理阶段
[26:55] 暗示苹果现在还是落后数年
[26:58] 那的确我们可以观察得出来
[27:00] Google对于这种生态系的掌握
[27:02] 应该还是排名第一的
[27:03] 就是它不是卖你AI
[27:05] 不是卖你Gemini来做使用
[27:06] 它是把Gemini绑到你的云端
[27:09] 绑到你的YouTube
[27:10] 绑到你的Notebook LN
[27:12] 就是你从做笔记到看影音
[27:14] 到你的搜寻结果
[27:16] 你都跟这个生态密不可分
[27:18] 所以这的确
[27:19] 他出招了
[27:20] 来看一下苹果后续怎么接招
[27:22] 再来我们看到是马斯克
[27:23] 马斯克最近压力比较大
[27:25] 的是他的Gork
[27:26] 之前XAI所推出的Gork
[27:28] 因为他敢讲争议的话题
[27:30] 敢讲真话
[27:31] 而且都有涉事的东西
[27:33] 但是Gork下载量
[27:34] 却从今年的1月
[27:36] 从2000万次的高峰
[27:37] 到现在4月已经腰斩到
[27:39] 剩下830万次
[27:41] 企业的采用率更是停滞
[27:43] 远远落后给ChairGBT
[27:45] Cloud和Gymnite
[27:46] 连马斯克自己
[27:47] 都有一点现实主义了
[27:48] 最近他不是把SpecX
[27:50] 部分的算力
[27:52] 出租给Anthropic吗
[27:53] 那本质就是说
[27:54] 我既然
[27:55] 现在我的使用量不是特别高
[27:57] 那如果有多的算力空间
[27:59] 那我就先卖军火商
[28:01] 先卖给Anthropic
[28:03] 与其自己下场去打模型战
[28:05] 我不如现在卖铲子
[28:06] 我学辉达
[28:07] 我学台积电好了
[28:08] 卖电力
[28:09] 卖算力看起来更为稳当
[28:10] 当然双方现在看起来
[28:14] 马斯克跟奥特曼的法律攻防战
[28:17] 仍然在持续
[28:17] 最近法院是全面摊牌
[28:19] 奥特曼在加州法庭
[28:21] 作证时直接爆料说
[28:23] 马斯克当年曾经多次要求
[28:25] 要掌握OpenAI
[28:26] 甚至一度开口要求九成股权
[28:29] 还提议曾经把OpenAI
[28:31] 并入到特斯拉
[28:32] 更夸张的事情是
[28:33] 当共同创办人问
[28:34] 如果你死了公司怎么办
[28:35] 马斯克还回答
[28:36] 可能交给我的孩子
[28:38] 奥特曼说
[28:39] 这是他经历最令人毛骨悚然的时刻
[28:41] 如果OpenAI现在变成马斯克
[28:43] 那根本就是进入到地狱
[28:45] 双方的争吵仍然在持续
[28:47] 那马斯克目前还是要尝试的试图
[28:49] 阻止OpenAI完全转席为盈利公司
[28:52] 而且超过1000亿美元的赔偿
[28:54] 而且要求OpenAI年底是绝对不能够上市的
[28:57] OpenAI就持续反控
[28:58] 马斯克只是不许一想
[29:00] 就是觉得自己被背叛
[29:01] 当初没能够掌握公司
[29:03] 他如果能够掌握公司
[29:05] 他百分之百也一定会把这个非营利公司
[29:08] 转成一定公司
[29:09] 那双方不断的争执
[29:11] 所以我们看到信件陆续暴露以后
[29:14] 你就知道这个矽谷的内幕也是非常黑暗
[29:17] 整件事情最混乱的
[29:18] 也最讽刺的地方
[29:19] 就是双方其实都已经不是当年自己口中的角色了
[29:24] 马斯克当年也是高喊
[29:25] 不能够让AGI被单一公司给垄断
[29:28] 那现在呢
[29:29] 被指控最想掌控OpenAI的
[29:31] 就是他自己嘛
[29:33] 那奥特曼呢
[29:34] 当时是以非盈利
[29:35] 以开源
[29:36] 以造福全人类为旗帜来成立OpenAI
[29:39] 但是这一路走来呢
[29:41] 变成封闭模型
[29:42] 变成商业化
[29:43] 现在还要上市呢
[29:44] 双方都在指责对方背叛出行
[29:48] 但某种程度上
[29:49] 两边其实也在做同样的事情
[29:51] 我们一边在谈理想
[29:53] 一边在争夺AI时代
[29:55] 最核心的权利资产
[29:56] 那最终呢
[29:57] 这场官司看起来
[29:58] 就不单纯是企业纠纷
[30:00] 是一种原本想阻止
[30:02] AI皇帝诞生的人
[30:04] 现在也慢慢变成了
[30:06] 想坐上王位的人
[30:08] 所以这就是很有趣的地方
[30:10] 双方的关系
[30:11] 已经不是当年的角色了
[30:13] 那男的讲话说
[30:16] 昨天跟你一起吃饭的
[30:18] 那个男的是谁
[30:19] 那女生说
[30:20] 我们只是朋友
[30:22] 男生说朋友也不行
[30:24] 我会吃醋的
[30:25] 那女生说
[30:26] 我说的朋友
[30:27] 是我跟你只是朋友
[30:28] 所以现在回过头看
[30:30] 马斯克跟奥特曼的关系
[30:31] 就是这样子
[30:32] 马斯克当年以为OpenAI
[30:34] 是我们一起守护人类未来的主持
[30:37] 后来发现
[30:38] 你已经不再是当时那个你
[30:40] 我们原本只是朋友
[30:42] 现在我和OpenAI
[30:44] 我和马斯克
[30:46] 现在好像大家都变得不一样了
[30:48] 反过来奥特曼也不断地强调
[30:50] 不能够让AI被单一权力给控制
[30:53] 但现在OpenAI的封闭化和权力集中
[30:55] 让外界又开始怀疑
[30:57] 他也变成了自己当年最为反对的样子
[31:00] 所以有时候我们就是这样子
[31:02] 人是会变的
[31:04] 每个人在每个时代的抉择
[31:06] 最后就走出了自己的成就或者失败
[31:10] 但是可以看得出来
[31:11] 这么乱
[31:12] Google跟苹果之争
[31:14] Google跟OpenAI之争
[31:16] OpenAI跟马斯克之争
[31:17] 马斯克的Grok
[31:18] 现在下载量也不高
[31:20] 他还把算力卖给Enthropy
[31:21] 这个上游链一团乱
[31:23] 更不用讲Meta
[31:24] Meta在本周又被指控
[31:27] 杠上英国政府
[31:28] 开始反击网络安全法
[31:30] 英国因为现在网络安全法
[31:32] 赋予监管单位
[31:33] 过于夸张的处罚权利
[31:35] 直接针对Meta
[31:36] 进行数十亿美元级别的罚则
[31:39] 那当然
[31:39] 里头当然是相对隐私钱
[31:41] 或者违反监管态势
[31:43] 所以现在科技巨头
[31:45] 虽然股价仍然在高位
[31:47] 不过也是一团乱
[31:48] 不过不重要
[31:49] 台股上涨780点
[31:50] 收在42,155点
[31:52] 看起来大家对于川习会的态度
[31:54] 还是非常乐观
[31:55] 我们今天聊饭比较广
[31:56] 我们一方面来聊
[31:57] 对于川习会而言
[31:59] 我们知道内部的核心
[32:00] 仍然要解决PPI和CPI
[32:02] 现在通膨上升的矛盾
[32:04] 那是解决的方式
[32:05] 短期内就如同我们昨天提到的
[32:07] 短期内藉由中东局势的降温所达成
[32:10] 长期藉由AI生产力的爆发
[32:12] 来抑制通膨
[32:13] 可是至少现在通膨的压力
[32:16] 不是在数字上
[32:17] 而是在消费级市场
[32:19] 消费级企业
[32:20] 已经开始陆续受到影响了
[32:22] EPS开始有猜测上的变化
[32:24] 那第二个部分
[32:25] 就来自于我们看到的股市周期变化
[32:27] 股市仍然在晶晶涨
[32:29] 但是巨头当中
[32:30] 大家的竞争也是不遑多让
[32:32] 到底谁最后能够在
[32:33] 本轮的AI竞赛当中全面胜出呢
[32:36] 就如同Nike一样
[32:37] 就算他现在是王者
[32:39] 他就算到最后是王者
[32:41] 股价都不一定会创高
[32:42] 那更何况呢
[32:43] 七巨头当中
[32:44] 到底谁是王者
[32:45] 我们都还无法确认
[32:46] 最后呢
[32:47] 你能够确认的事情就是
[32:48] 大盘会创高
[32:49] 可是一定是辉达带头创高吗
[32:52] 还是接下来是由Google呢
[32:54] 还是由苹果呢
[32:55] 還是OpenAI最後能夠成功上市呢
[32:58] 沒有人知道
[32:58] 但是你知道大盤會創高
[33:00] 這也給投資朋友做一些思考
[33:01] 如果喜歡我們節目
[33:02] 記得幫我們訂閱按讚加分享
[33:03] 我們就明天早上半點半
[33:04] 早晨財經速寫圖再相見
[33:06] 祝各位投資朋友看盤順利
[33:07] 炒盤愉快
