[00:00] 投资品欢迎收听早晨财经因素解读
[25:33] 我认为都是有机会的
[25:35] 其实最近我们看到所释出的一些AI新闻
[25:38] 还是可以看到AI逐步在落地
[25:40] 一个是Robotext的扩张
[25:41] 我们看到不管是Lyft Uber或者Zox都在加速部署无人驾驶车队特斯拉在德州所推进的自动驾驶计程车布局也在持续当中现在整个特斯拉的Robotex的事故间距
[25:54] 大概在4.5到6万英里之间
[25:56] 其实整体而言
[25:58] 相对于VMOD6到11万英里
[26:00] 才发生一件事故
[26:01] 数据还没有这么亮丽
[26:03] 但是高盛认为
[26:05] 自动驾驶轿车产业
[26:07] 看起来已经完全回不了头
[26:09] 未来扩张速度可能会因此加快
[26:11] 今年仍然是计程车爆发元年
[26:13] 包括昨天博通AI的晶片财报释出以后
[26:17] 最新一季的AI晶片营收
[26:19] 年增幅也超过一倍
[26:20] 来到84亿美元
[26:21] 其实目前所公布
[26:23] 不管硬体股还是软体股的财报
[26:25] 仍然是欣欣向荣
[26:27] 所以只能说中小型的软体股大受伤
[26:30] 可是中大型的软硬体股
[26:32] 其实目前来看还是有不错的表现
[26:35] 这也最后取决于
[26:36] 其实不管中东危机为何
[26:38] 中东危机视为一个变因
[26:40] 是为一个非预测当中
[26:43] 可能造成的意外
[26:44] 你看有没有机会减便宜
[26:45] 可是真正能够拖动股市大涨的
[26:48] 最后还是AI的基本面
[26:50] 所以最后还是取决于
[26:51] 你是不是一个科技乐观论者
[26:53] 我们常讲的认知决定深度
[26:56] 格局决定高度
[26:58] 知识决定广度
[27:01] 纪律决定硬度
[27:02] 风控决定尺度
[27:04] 时间决定财富
[27:06] 你认知决定深度之后
[27:08] 你投资的第一步
[27:09] 你就会理解世界
[27:10] 对于产业
[27:10] 对于商业模式
[27:11] 你就认知越来越深
[27:12] 格局决定高度
[27:14] 格局代表的是
[27:15] 事情的时间和视野
[27:17] 你只看短期涨跌
[27:19] 就很容易陷入最高下低
[27:20] 但如果你用十年趋势来看
[27:22] 你就会决定你的高度
[27:24] 知识决定广度
[27:25] 你用一个跨领域的竞技场
[27:27] 从经济科技地缘政治
[27:28] 彼此交汇以后
[27:30] 你就不会用一个小度
[27:31] 来看待市场
[27:32] 不会用石油危机来看待市场
[27:34] 而是跟他AI之间的变因
[27:37] 包括纪律
[27:38] 决定你的硬度
[27:39] 市场上一定会有波动和回挡
[27:41] 真正的考验
[27:42] 往往出现在压力时
[27:44] 而纪律最能够在情绪动荡时
[27:46] 能够遵守策略和原则
[27:49] 昨天我才看到
[27:50] 廖英安医师
[27:52] 他分享一个故事
[27:54] 他说一对夫妻
[27:55] 特别喜欢在野外情乐
[27:57] 那周六放假
[27:58] 兴高采烈的出门
[28:00] 一到树林
[28:01] 哇
[28:02] 艳阳高照
[28:03] 烈日当空
[28:05] 很晒啊
[28:06] 他太太说
[28:07] 今天有输因吗
[28:09] 先生拍胸脯保证
[28:12] 你放心
[28:13] 我刚刚有吃药
[28:14] 所以一定要有纪律
[28:19] 你才会有硬度
[28:20] 硬度其实讲的就是承受波动
[28:23] 穿越周期的能力
[28:25] 那当然也要跟看谁比
[28:27] 就是你要看你要跟谁比
[28:29] 你如果跟数比
[28:30] 那当然不合理
[28:32] 但是跟大盘比
[28:33] 我觉得就OK
[28:34] 所以市场一定会有波动和回荡
[28:35] 真正考验的
[28:37] 往往出现在压力时刻
[28:38] 纪律代表在情绪最为动荡时
[28:42] 你还能够遵守的策略和原则
[28:44] 不会被恐慌和贪婪给左右
[28:46] 所以认知决定深度
[28:49] 格局决定高度
[28:50] 知识决定广度
[28:51] 纪律决定硬度
[28:53] 风控决定尺度
[28:55] 时间决定财富
[28:56] 让我们一起慢慢变富
[28:58] 其实在整个伊朗战事当中
[29:00] 我们看到AI已经大量的结合到这次的战场
[29:03] 美国对伊朗的军事行动当中
[29:05] 其实已经大量的采用AI来处理战场资讯
[29:08] 这一次美国中央司令部表示
[29:10] AI系统主要进行大量数据的进行初步拆选和整理
[29:14] 让人类分析师能够把精力放在更高层次的判断
[29:18] 从空袭以来
[29:19] 美军已经攻击超过2000个目标
[29:22] 整体而言
[29:23] 很大程度是由Parentier所开发的系统
[29:26] 来处理150个资料来源
[29:29] 系统当中其实也搭载了
[29:31] AnswerPick开发的Cloud AI模型
[29:33] 用来协助分析和整理
[29:34] 所以军方强调
[29:35] 现在的AI当然就是辅助攻击
[29:37] 真正的指挥决策
[29:39] 还是由人类指挥
[29:40] 来进行最后的做出
[29:42] 可是AI其实某种程度
[29:45] 帮助美军在决策上的效率
[29:48] 美国和中东现在也考虑
[29:50] 要购买乌克兰的反无人机
[29:52] 低成本拦截伊朗的见证者
[29:55] 之前我们看到
[29:56] SHED就是攻击无人机
[29:58] 伊朗的无人机
[29:59] 数千台飞到中东各地
[30:02] 有时候防都防不住
[30:03] 因为飞得很慢
[30:05] 有时候能够躲过雷达
[30:06] 另外一方面
[30:07] 可能也不是每个海湾国家
[30:10] 都有负担一定程度的精力
[30:12] 或者说资金的问题
[30:14] 都可能相对不匹配
[30:16] 现在一架无人机成本可能才3万美元
[30:19] 爱国者飞弹拦截系统可能要数百万美元
[30:22] 成本有时候不太对称
[30:23] 所以就必须要发展出大量拦截无人机的无人机
[30:27] 每架成本可能更低
[30:29] 只要数千美元
[30:30] 就可以用250公里的时速
[30:32] 去拦截185公里的伊朗的无人机
[30:36] 所以在这样一个效果底下
[30:37] 不管是无人机成为当代地缘政治的显学
[30:40] 新的产业思考
[30:42] 另外一方面
[30:42] AI的导入也是如此
[30:44] 如果我们细看
[30:45] 五角大厦虽然跟Astropic的冲突还在持续
[30:48] 可是各国已经把AI导入到防卫和安全领域
[30:51] 日本计划从AI拿来跟卫星整合观察资料
[30:55] 转合成战术的价值内容
[30:57] 美国现在是由军方推动主导智慧型作战系统
[31:01] 中国目前也在推动AI军事系统
[31:03] 包括高速自主执行任务的军用车辆
[31:06] 数百架的AI无人机组合的群飞飞行技术
[31:10] 目标就是让无人系统
[31:12] 能够像单一意识一样一起协同作战
[31:15] 而这个就是我们看到
[31:16] 在整个2026年新的市场局势的未来
[31:20] 给投资朋友做一些思考
[31:21] 我们今天聊的范围比较广
[31:22] 主要是跟投资朋友去看看
[31:24] 当前的AI发展概况
[31:27] 跟我们看到中东冲突当中的平衡
[31:29] 我们当然知道
[31:30] 短线上市场上
[31:32] 极度担忧油价的上涨
[31:33] 对于经济的伤害等等
[31:35] 可是从刚才的回测数据
[31:36] 你会发现
[31:37] 其实通膨增长的0.2到0.3
[31:40] GDP有时候甚至不下修
[31:42] 真正的重点还是来自于
[31:44] 川普随时都有可能释放政策
[31:47] 来抑制油价的上涨
[31:48] 这是一个极大的变因
[31:49] 所以过度的去预测
[31:51] 川普选举的中期选举的大败
[31:53] 油价会无条件的上涨
[31:55] 川普没有能力处理
[31:56] 这件事情本身风险是极高的
[31:58] 这是不确定的
[31:59] 但确定的是什么
[32:00] 确定是AI的财报
[32:01] 还在陆续开出
[32:03] 基本面没有恶化的迹象
[32:04] 那由台韩带头进行资本的回馈
[32:08] 以及接下来
[32:09] 四大CSBA者
[32:11] 是否有进一步释出
[32:13] 资本支柱扩张的计划
[32:14] 都是我们观察的重点
[32:15] 最后几分钟
[32:16] 台股下跌350点
[32:18] 收贷33,322点
[32:21] 今天推荐一本书
[32:22] 这本书叫做
[32:23] 一本书读懂经济指标
[32:26] 十二堂经济指标入门课
[32:28] 这本书的作者
[32:29] 是韩国非常知名的财经部落客叫HIM
[32:32] 他是结合宏观交易和价值投资的投资人
[32:36] 同时也是一个总体经济学家
[32:38] 在瞬息万变的市场当中
[32:40] 他也是自力帮助散户不被杂讯给所有
[32:43] 里头他算是一本工具书
[32:45] 里头是把各项的经济指标
[32:47] 串流成一个有脉络的宏大故事
[32:50] 以理解市场的本质
[32:52] 不管是物价指标
[32:53] 就业指标
[32:54] 国际贸易指标
[32:55] 甚至一些软性指标
[32:57] 那里头其实也会有大量的图标
[32:59] 和数据来帮助你进行佐证
[33:01] 有时候在资讯爆炸
[33:02] 行情波动的时代
[33:03] 我们最缺的也不是资讯
[33:05] 而是读懂资讯的能力
[33:07] 许多人每天盯着股价涨涨跌跌
[33:09] 但也掌握不住市场的趋势
[33:11] 因为他不会解读最重要的讯号
[33:13] 也就是经济指标
[33:14] 经济指标就是一个国家的经济仪表板
[33:17] 那你能够呈现
[33:18] 它是在扩张还是衰退
[33:20] 是扩张当中的外部性冲突
[33:22] 还是衰退当中的复苏讯号呢
[33:24] 今天把这本书推荐给投资朋友
[33:26] 那也薄薄的一本
[33:27] 推荐给投资朋友
[33:29] 如果对于经济数据
[33:30] 有更进一步的追踪
[33:31] 和想要探究的这种欲望的话
[33:34] 欢迎大家把这本书买回家
[33:37] 这本书是商周出品
[33:40] 必属精品
[33:41] 本书当中
[33:42] 我觉得蛮有趣的一点就是
[33:43] 你可以任何一页翻开都可以读
[33:46] 因为它的经济指标数据是分开的
[33:48] 所以你觉得这经济指标没什么意思
[33:51] 你往上翻下一页
[33:52] 本书当中
[33:53] 我认为至少有非常多的指标
[33:56] 是值得借进
[33:57] 是我当时没有想到的
[33:58] 也推荐给我们的投资朋友
[33:59] 如果大家有兴趣的话
[34:00] 也可以在底下留言
[34:01] 留下你对本书
[34:02] 和本节目的想法
[34:03] 我们也抽两本书
[34:04] 送给我们的投资朋友
[34:05] 好就零五分
[34:06] 感谢各位今天参与
[34:08] 我们今天主要是把整个市场
[34:09] AI和中东局势的概况
[34:11] 来做一些梳理
[34:12] 也让大家了解
[34:13] 我们认为哪一个是更加重要的
[34:15] 给投资朋友做一些思考
[34:16] 如果喜欢我们节目
[34:17] 记得帮我们订阅按赞加分享
[34:18] 我们就下礼拜一
[34:20] 早上半夜半
[34:20] 早晨财经速写读
[34:21] 再相见
[34:22] 祝各位投資朋友看完順利
[34:23] 炒盤愉快
