[00:00] 投资品欢迎收听早晨财经速解读
[25:58] 现在正在往价值链的上游来做移动
[26:01] 从整个25年以来
[26:02] 与科技和制造业升级相关的产品
[26:05] 出口明显成长
[26:06] 你像电池
[26:07] 电动车
[26:08] 机体电路
[26:09] 年增幅还有20%到30%
[26:11] 但是相对传统劳力密集的产业
[26:13] 服装类别
[26:14] 出口还衰退5%
[26:16] 玩具衰退15%
[26:18] 所以中国的出口动能
[26:19] 它也是从低成本制造
[26:21] 往高技术高附加价值
[26:23] 很多劳力密集产业
[26:25] 你就会发现
[26:26] 出口创高好像跟它没关系
[26:28] 因为他们家的出口产业
[26:29] 反而在衰退
[26:30] 所以是有一些出口
[26:32] 极度亮丽的产业
[26:34] 把整体数据给往上带了
[26:36] 这就是中国市场的真实迹象
[26:38] 综合来看
[26:39] 我们看这一次的中东战火
[26:41] 所带来的油价上涨
[26:42] 它对于不同经济体的通膨意义
[26:44] 其实完全不同
[26:45] 对于美国而言
[26:46] 现在是正在降温的通膨
[26:48] 可能因为能源价格反弹出现变数
[26:51] 让联准会在降息节奏上更加谨慎
[26:53] 那川普也必须采取一定的态度
[26:56] 他是出招了嘛
[26:57] 战略用户出备都给你释放了
[26:59] 已经把杀手键给使出来
[27:01] 我们就要看一下油价的反应了
[27:02] 对于台湾来看物价还可控
[27:04] 但是真正需要观察的是服务业通膨
[27:07] 外食餐饮房租
[27:08] 能力通膨
[27:10] 能力成本慢慢变高
[27:11] 那服务通膨可能上得去
[27:13] 但是下来很困难
[27:14] 中国的部分处在比较极端的压力
[27:17] 经济还是面临需求不足
[27:19] 通缩压力
[27:19] 所以出口它也创历史新高了
[27:21] 可是基本上还保持在一个通缩的氛围
[27:24] 如果全球经济又因为战事
[27:26] 又开始转弱的话
[27:27] 出口都能受伤
[27:28] 它的压力就越来越大
[27:30] 换句话说
[27:30] 同样一桶变贵的油
[27:32] 对于美国是政策难题
[27:33] 对于台湾是服务业的通膨压力
[27:36] 对于中国
[27:36] 看起来是通缩阴影下的短暂喘息
[27:40] 但是谁都知道
[27:41] 真正希望从通缩转为通膨
[27:44] 尽量可能是需求所带动的
[27:47] 不要是外部传进来的
[27:48] 要不然只是跟日本政府一样
[27:51] 遇到极大的难关
[27:52] 日本这几年也是如此
[27:53] 通膨终于回来了
[27:55] 终于摆脱通缩了
[27:56] 但是日子真的过得变好了吗
[27:58] 这是一个观察的重点
[28:00] 今天给投资朋友做一些思考
[28:01] 如果喜欢我们节目
[28:02] 记得帮我们订阅按赞加分享
[28:03] 我们就明天早上半半
[28:04] 早晨财经速写图
[28:05] 再相见
[28:06] 祝各位投资朋友
[28:06] 看门顺利
[28:07] 操盘愉快
