[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 維持一個好習慣了
[24:58] 他的執行長Edwin Chen他算是臺譯的美國企業家2020年成立結果現在市值大幅的膨脹讓他排名到富豪前幾名當中
[25:11] 我看他好像他的客戶
[25:13] 也是OpenAI Google Microsoft Meta
[25:15] 這一些AI領域級的級別
[25:17] 他主要就是做強化學習
[25:19] 和人類回饋相關的資料處理平臺
[25:21] 其實你看到整個AI的大爆發
[25:23] 在終端應用正在陸續的出現
[25:25] 這件事情基本上可以讓我們
[25:27] 有一個更好的想象未來
[25:29] 所以我們必須這樣想
[25:30] 這兩年我們看AI一步一步的走到現在
[25:34] 你會發現
[25:35] 錢當然是AI的一個極大推力
[25:37] 可是你會發現
[25:38] 一步一步你看
[25:40] 你會發現AI科技是如何實際改變生產力
[25:43] 這件事情上
[25:44] 從模型能力的躍升
[25:46] 到企業匯入的卡關點
[25:48] 到算力
[25:48] 到能源
[25:49] 到資本支出的真實流向
[25:51] 大家就一路追蹤到
[25:52] 從這些故事
[25:54] 如何變成真正的賬本
[25:55] 這些討論它不只是單論討論趨勢
[25:58] 也是把AI放回到投資和現實世界看
[26:02] 這個時候你會發現
[26:03] 確實你一步一步的瞭解之後
[26:06] 你真正累積的這幾年
[26:09] 不只是報酬率
[26:10] 這幾年你願意參與AI行情
[26:12] 你會有不錯的報酬
[26:13] 另外一方面
[26:14] 我們對於這個世代的理解
[26:17] 對於這個時代的理解
[26:18] 也會理解的比一般人還要透徹非常多
[26:21] 這些都是我們觀眾朋友可以帶走的
[26:24] 有時候我們這樣講
[26:25] 有時候身上的積蓄
[26:27] 你累積的不一定是金錢
[26:29] 而是認知和知識
[26:31] 這就是我們節目帶給投資朋友的
[26:33] 之前美劇裡面有演一幕
[26:36] 一個拜金女
[26:37] 因為掉到凱茨
[26:38] 她就很急切的
[26:39] 想要跟這個男的一清方則
[26:42] 嫁入豪門
[26:44] 結果翻雲覆雨之後
[26:46] 女的就氣沖沖回家
[26:47] 她姐妹看她氣呼呼的回來
[26:51] 你怎麼這麼生氣回來
[26:53] 拜金女很生氣
[26:54] 那天我跟她回家
[26:56] 他說他要把30年的積蓄都給我
[27:00] 我還以為是錢呢
[27:02] 所以有時候我們身上的積蓄
[27:06] 不一定是金錢
[27:07] 而是認知和知識
[27:09] 這幾年
[27:10] 就算有時候大家年輕
[27:12] 可能存的本金不夠多
[27:13] 報酬率很亮麗
[27:15] 可能本金擴張的速度也沒這麼快
[27:17] 但是你至少你拿走了很多的認知和知識
[27:19] 這些認知他不會寫在對賬單
[27:22] 但他會影響到你之後
[27:23] 每一次的判斷和選擇
[27:25] 有時候一個人身上最有價值
[27:27] 最具有的積蓄
[27:29] 並不是在銀行賬戶裡頭
[27:31] 而是我們腦袋裡的結構
[27:33] 視角和知識
[27:34] 這些都是市場任何波動都帶不走的
[27:37] 所以還是要宣傳一下
[27:37] 本週六就是我們晚上
[27:39] 八點鐘的財經號角第一季聽友會
[27:41] 每個季度我們都會針對當前行情
[27:43] 來做一些推演
[27:44] 會針對過去一個季度的
[27:45] 資產操作和行情判斷來做檢討
[27:47] 我們直播主要是分享市場動態
[27:49] 但大多數個人的操作和實際觀點
[27:51] 會在我們的會員系統當中來做分享
[27:53] 短期波動一定都會變來變去
[27:55] 但是長期一定會依循著某些規律
[27:58] 我們在聽友會當中
[27:59] 就是去尋找這樣的規律
[28:00] 如果大家常聽我們節目的話
[28:02] 有興趣可以來到我們網站來下取訂單
[28:04] 或者來參加我們的會員系統
[28:07] 裡頭除了有未來一整年的
[28:08] 聽友會的收聽權
[28:10] 也會有我個人資產部位周知的變化
[28:12] 還有一些專題影片宏觀報告
[28:14] 給投資朋友做一些思考
[28:16] 8點59分
[28:17] 回過頭來看
[28:18] 每個禮拜五
[28:19] 我們通常都要導讀一本書
[28:21] 給投資朋友做更進一步的思維
[28:23] 畢竟這只是我們的世界觀而已
[28:26] 大家還是可以從其他書籍當中
[28:27] 獲取不同的世界觀
[28:29] 那本書
[28:30] 這本書重量級
[28:32] 不只是物理上的重量
[28:33] 因為它真的很厚
[28:34] 另外一方面
[28:35] 他是把巴菲特和蒙格
[28:37] 播客下股東會的投資經營智慧
[28:41] 一覽無遺的給你看
[28:43] 我們知道
[28:44] 巴菲特今天已經是退休的第二天了
[28:47] 他大概還在奧馬哈享福了
[28:50] 可是他掌握的60多年的企業當中
[28:54] 他把一家老牌的紡織廠
[28:56] 伯克夏以前是紡織廠
[28:57] 打造成一個市值1.2兆美元的企業
[29:01] 這種公用事業保險的巨型集團
[29:04] 他如何成功
[29:05] 現在他交班給63歲的阿貝爾
[29:09] 擔任執行長
[29:10] 大家最關注的是什麼
[29:11] 就是伯克夏現在手上有
[29:13] 3500億美元的現金和短期美債
[29:16] 還有2830億美元的上市股票部位
[29:19] 他現在現金和類現金部位
[29:23] 比股市部位還來得多
[29:25] 那他的繼任者
[29:27] 要如何運用極為龐大的現金呢
[29:30] 現在大概他的現金和股票比例是1比1
[29:33] 阿貝爾過去主要是在公用事業體系來歷驗
[29:36] 對外發言一向比較低調
[29:38] 那未來他在股東會
[29:40] 他會說出什麼的話呢
[29:41] 那我們至少可以承認
[29:42] 阿貝爾應該是主導了本輪針對Google的投資
[29:45] 這會被解讀成波克夏
[29:47] 是否已經開始轉變
[29:49] 變成更願意去壓住那些
[29:51] 成長型的科技股的訊號
[29:54] 所以本書就是把
[29:55] 芒格和巴菲特
[29:57] 在過去幾年的股東大會的談話
[29:59] 來做一個一系列的總結
[30:01] 這本書非常非常的經典
[30:03] 當然你也不一定要全部看完
[30:05] 也可以買來送給別人
[30:06] 因為有些書
[30:07] 它是拿來襯托氣質的
[30:10] 不單單是你自己一個人讀
[30:13] 有時候放在那邊
[30:13] 本身就是一種氣質
[30:14] 如果開啟你們家書房
[30:17] 朋友來參觀
[30:19] 女性友人
[30:20] 哇
[30:21] 你看的都是金庸
[30:23] 看的都是巴菲特
[30:25] 蒙格
[30:26] 看的都是伯揚
[30:28] 看的都是古文八大家
[30:30] 好有氣質
[30:32] 對不對
[30:32] 如果一開啟來
[30:33] 三商優雅寫真集
[30:35] 波多野節一首寫真集
[30:37] 也不是不能看
[30:38] 但這種書你要藏在後面
[30:40] 有些書是能夠拿來襯托氣質的
[30:43] 對不對
[30:43] 你看你哪一本雜誌
[30:45] 在捷運上看
[30:46] 跟哪一本
[30:47] 請問巴菲特與蒙格
[30:49] 在結論上看
[30:51] 那個氣質就不一樣
[30:53] 雖然有點重是沒錯
[30:54] 所以我還是喜歡念電子書
[30:56] 但不重要
[30:56] 重點是氣質
[30:57] 所以歡迎大家可以把這本書買回家
[30:59] 或者送給別人
[31:01] 那本書當中他會大量的聊
[31:03] 在過去一年又一年當中
[31:05] 企業到投資標的各大準則
[31:08] 我們知道巴菲特只投
[31:09] 簡單看得懂的生意模式
[31:11] 因為看不懂的企業
[31:12] 他認為本質上就是在賭
[31:14] 要求企業要具備長時間
[31:16] 可以驗證的穩定的經營歷史
[31:18] 而不是靠一次的重組
[31:19] 或者風口的翻身
[31:20] 那與此同時
[31:22] 你可以瞭解說
[31:23] 巴菲特用來判斷企業
[31:25] 他應該不是用單純的資料
[31:27] 來做判定
[31:27] 而是看他的內在品質
[31:29] 包括管理層是否理性
[31:31] 是否對於股東坦誠
[31:33] 能否抗拒盲目擴張的慣性
[31:35] 往往比產業本身
[31:37] 還要來得更為重要
[31:38] 他認為再好的行業
[31:40] 交到錯的人手上也會走樣
[31:41] 所以我一直很好奇
[31:42] 他把現在的掌舵權
[31:45] 交給阿貝爾之後
[31:47] 阿貝爾到底會如何
[31:48] 在試圖消耗當前的現金
[31:51] 不為底下
[31:52] 持續的走向價值投資之路
[31:54] 還是這個價值投資
[31:55] 它已經不侷限於
[31:57] 百分之百的護城河
[31:58] 而是找出那些
[31:59] 仍然被遠遠低估的科技股呢
[32:02] 這是非常有趣的事情
[32:03] 從本書當中
[32:04] 你大概也會獲得
[32:05] 一系列的理解
[32:06] 所以本書
[32:07] 歡迎大家如果有興趣
[32:08] 可以在我們底下留言
[32:09] 我們也會抽兩本書
[32:11] 送給我們的投資朋友
[32:12] 那也歡迎大家
[32:13] 就直接把這本書
[32:14] 先買回家
[32:15] 抽到的書
[32:15] 你就送給你的好朋友們
[32:17] 因為這本書
[32:18] 理清情義重
[32:20] 但這本書是理也重
[32:21] 情義也重
[32:22] 所以也祝各位投資朋友
[32:24] 在2026年
[32:25] 事業能夠蒸蒸日上
[32:27] 生活甜甜蜜蜜
[32:29] 萬事皆可期
[32:30] 我們今天主要是把
[32:32] 現在的AI行情
[32:33] 以及AI過去的估值
[32:35] 和股價漲幅
[32:36] 來做一系列的統戰
[32:37] 臺北股市開盤上漲90點
[32:39] 成功站上29,055點
[32:41] 跨年新年開紅盤
[32:45] 也祝大家新的一年
[32:46] 日子有盼頭
[32:48] 生活有甜頭
[32:49] 日子有盼頭
[32:52] 生活有甜頭
[32:53] 大家新的一年
[32:54] 都能夠倖幸福福的
[32:56] 單身者可以早日脫單
[32:59] 不是早日脫法
[32:59] 像前幾年我就許錯了
[33:01] 但不管怎麼說
[33:02] 我們今年應該講2025年
[33:04] 看到了風風雨雨的一年
[33:06] 2026年看起來一樣會風風雨雨
[33:09] 可是我們一定要一起的走下去
[33:11] 也給投資朋友做一些思考
[33:13] 讓大家在2026年有一個好的一年
[33:16] 也祝大家新年發大財
[33:17] 就零四分
[33:18] 感謝各位投資朋友的參與
[33:19] 如果喜歡我們的節目
[33:20] 記得幫我們訂閱按贊加分享
[33:21] 我們就下禮拜一早上八點半
[33:23] 早晨財經速解讀
[33:24] 再相見
[33:25] 祝各位投資朋友看完順利
[33:26] 操板愉快
