[00:00] 投资变换收听早晨财经速解读
[25:29] 另外一个就是美国拉斯维加斯电脑展嘛
[25:31] 那拉斯维加斯早在05年就停办了
[25:34] 那么德国的部分是18年停办了
[25:37] 现在全球三大电脑展只剩下台湾了
[25:40] 那我们必须承认
[25:41] 这礼拜最大的欧洲头条新闻
[25:43] 就是史上最大的车厂裁员案即将发生
[25:47] 福斯预估要裁10万人
[25:50] 他的员工大概是62万人
[25:52] 才了六分之一的员工
[25:54] 而且关闭德国的四座工厂
[25:56] 以降低成本来因应中国车厂的快速崛起
[25:59] 和全球需求的转变
[26:00] 那按照这样的人数规划
[26:02] 应该是有史以来
[26:04] 它甚至已经超过通用汽车
[26:06] 当时或者在美系汽车底特律破产的那个规模
[26:11] 十万人预估接下来半年内要陆续的采光
[26:15] 这是非常惊人的新闻
[26:17] 再看看BMW
[26:18] BMW在上个月下修2026年裁册
[26:22] 原本预估汽车事业的
[26:24] 营业利率大概是
[26:26] 6%左右
[26:27] 现在下修到多少
[26:28] 1%
[26:30] 他100万的车他赚1万
[26:32] 这怎么赚
[26:33] 所以你可以很难理解
[26:35] 整体而言BMW股价
[26:37] 不管是遭受到市场的沉压
[26:39] 还是从他的实质财报获利表现来看
[26:41] 欧洲过去最赚钱的商业模式
[26:44] 看起来正在被改写
[26:45] 在中国市场是大降价
[26:47] 再看一下意大利
[26:49] 马萨拉蒂最近开始用上中国技术了
[26:51] 欧洲豪车的护城额开始做下滑
[26:54] 我们看马萨拉蒂的销量
[26:56] 25年比20年差
[26:57] 那21年到23年是一个高峰
[27:00] 可是大家都回不到
[27:02] 17年18年的高峰
[27:04] 这跟刚才德国的人均GDP
[27:06] 可以来做一个鲜明的对照
[27:08] 好像欧洲的辉煌就
[27:09] 高点就在2018到19年了
[27:12] 再看一下保时捷
[27:13] 保时捷是蛮好开的
[27:14] 但去年全球销量
[27:15] 还是重出了接近有10%
[27:17] 公司现在预估可能要到2028年
[27:20] 才能够修复
[27:21] 2023年以来的下行格局
[27:23] 另外一方面
[27:24] 过去一年保时捷已经
[27:26] 认列了超过30亿欧元的
[27:28] 一次性费用
[27:29] 主要用于修正电动车策略
[27:31] 我们知道
[27:31] 其实Taycan电动车
[27:34] 其实还蛮好开的
[27:35] 其实欧系的电动车
[27:36] 我觉得都不难开
[27:37] 如果撇开FSD
[27:39] 其实我觉得也比特斯拉
[27:40] 比起来好开很多
[27:42] 内部质感算是很不错
[27:44] 可是问题在于
[27:45] 在电动车转型的过程当中
[27:47] 似乎并没有导致销量的崛起
[27:50] 反而销量的速度下滑幅度来得更快了
[27:53] 所以在种种效果底下
[27:55] 市场上就会担心
[27:57] 这个欧洲市场到底是发生了什么事情
[28:00] 制造业的集体衰退
[28:01] 如果再跟不上本轮的AI行情
[28:03] 那压力会有多大呢
[28:05] 有时候都在想
[28:06] 这什么世界
[28:07] 曾几何时
[28:08] 欧洲落魄于此
[28:10] 欧洲车权限溃败
[28:12] 法国人装不起人气
[28:14] 英国人换了七个首相
[28:17] 德国现在连16强都踢不进去
[28:19] 太失望了
[28:20] 太失望了
[28:21] 那当然了
[28:22] 我们必须清楚知道
[28:23] 双重效果
[28:24] 一个就是
[28:24] 也许啦
[28:25] 其实全球的车市都在衰退
[28:27] 全球的手机
[28:28] 全球的PC都已经饱和了
[28:31] 所以本来你就很难靠
[28:32] 一个新的手机
[28:34] 一个新的电脑
[28:35] 一个新的笔电
[28:36] 一台新的车子
[28:37] 创造更高的估值
[28:39] 这其实可以理解的
[28:40] 一个是时代的一个改变
[28:41] 那第二个改变就是
[28:42] 在剩下的存量竞争当中
[28:44] 很抱歉
[28:45] 中国车的确是陆续崛起了
[28:48] 即便在中国市场
[28:49] 欧洲的市占率也是节节败退
[28:51] 最后导致我们看到
[28:53] 市场上在有限的资源当中
[28:55] 尽可能的进行裁员调节
[28:57] 所以扶持扩大中国市场
[29:00] 却减少了德国的工厂产出
[29:02] 事实上如果我们看
[29:03] 在最新2026年
[29:04] 最可靠的汽车品牌排名排行榜当中
[29:08] 他用的是市场上PP100
[29:10] 作为评价指标
[29:12] 他讲的就是每遇到问题
[29:14] 应该讲说
[29:16] 每遇到100个问题当中
[29:18] 应该讲说今年一整年
[29:20] 你遇到的问题当中有几个
[29:22] 那这项指标
[29:23] 基本上就是指标越低那越好
[29:26] 就是你今年遇到了多少个汽车的问题
[29:30] 那越低最低的
[29:31] 那很明显那还是Lexus
[29:33] 然后其他有别克有mini
[29:35] 你看欧系车
[29:36] 那个排名就相对来看比较后面
[29:39] 像福斯
[29:39] Volvo
[29:40] Lane Rover
[29:41] 那问题就比较多一点
[29:43] 所以我们还是可以看到
[29:44] 一个是存量内部的竞争
[29:46] 一个是外债的挑战压力
[29:47] 浩哥好气
[29:49] 是买德国银吗
[29:51] 对我买3000万德国银
[29:54] 朗拿度又抽金了
[29:55] 那是地狱倒霉鬼了
[29:57] 朗拿度抽金
[29:59] 那个是赌侠2002对德国
[30:02] 地狱倒霉鬼是对法国
[30:04] 那是赌侠1999
[30:05] 有点忘记了
[30:06] 稍晚再复习一下
[30:09] 9点01分
[30:10] 台股上涨1152点
[30:13] 是在47279点
[30:15] 我们刚才讲到什么
[30:16] 刚刚讲到氏族
[30:18] 不是
[30:19] 我们要跟投资朋友分享的
[30:21] 是这种行情品牌的竞争
[30:23] 都说明着
[30:24] 在一个新的开创时代
[30:25] 日本政府也很清楚知道
[30:27] 不能够在既有的车市
[30:29] 你看日本这次17项战略计划
[30:33] 它是否有强调过去
[30:34] 在某些传产制造业的龙头
[30:37] 持续加工
[30:37] 没有
[30:37] 几乎都是围绕着
[30:39] 要么就国防供应链
[30:40] 要么就是半导体
[30:41] 它不会局限于过去那种存量的竞争
[30:44] 还跟你比
[30:45] 我的车子能不能做得比你更好
[30:47] 卖得更多
[30:47] 已经不比这个东西了
[30:49] 所以就是简单来说
[30:50] 谁能够跟上本轮的AI行情
[30:52] 谁就能够走到最后
[30:54] 事实上就连德国
[30:55] 我们知道在高端制造的部分
[30:57] 德国其实还是有很多高端制造的
[30:59] 包括法国也是如此
[31:01] 在机械
[31:02] 在电子
[31:03] 在交通
[31:03] 在医疗设备
[31:04] 长期是保持领先的
[31:05] 居然
[31:06] 居然
[31:07] 在今年
[31:08] 对于海外的中国的顺差
[31:11] 今年居然变逆差了
[31:13] 曾几何时
[31:14] 那些我们看到的高端的医疗设备
[31:17] 输出到中国
[31:18] 结果现在是反向中国输出回来
[31:21] 这说明全球的竞争格局
[31:23] 真的已经改变了
[31:24] 过去中国工业升级
[31:25] 每天都要跟西门子买德国的工具机
[31:28] 买工业设备
[31:29] 买汽车零组件
[31:30] 买医疗设备
[31:31] 德国受惠于高附加价值的出口
[31:34] 非常多年
[31:34] 结果现在中国人出口自己的工具机
[31:38] 出口自己的工业设备
[31:40] 出口自己的精密医疗器材
[31:42] 压力有多大
[31:43] 大家就可以稍微了解了
[31:44] 所以行情走到今天
[31:46] 我们今天聊范围比较广
[31:47] 从一开始
[31:48] 先把整体市场
[31:49] 在上半年的概况聊清楚
[31:51] 从AI到半导体
[31:53] 到日本到南韩到欧洲
[31:55] 到整个地缘政治
[31:56] 会发现一个有趣的事情是
[31:58] 时代一直在变
[31:59] 但是人性从来没有变过
[32:00] 每一个时代都有自己的AI
[32:02] 有自己的半导体
[32:03] 有自己的能源革命
[32:04] 也有自己的泡沫
[32:05] 恐惧战争和国家竞争
[32:07] 今天真的是AI算力
[32:08] 以前我们真的是石油
[32:10] 真的是铁路
[32:11] 真的是汽车
[32:12] 真的是手机
[32:13] 真的是网机网路
[32:14] 本质都是一样
[32:15] 国家依然在抢资源
[32:17] 企业依然在抢技术
[32:19] 那资本仍然是追逐效率的
[32:22] 而投资人也是从头到尾
[32:23] 一直在恐惧和贪婪之间
[32:25] 反复的白当
[32:27] 所以这个时代
[32:27] 其实没有变过
[32:29] 重点是你要意识到
[32:30] 这个时代追逐的是什么
[32:31] 时代根本没有任何改变
[32:33] 人家说这次世足
[32:35] 日本输了
[32:36] 德国输了
[32:38] 意大利人没有出现
[32:39] 轴心国全灭
[32:41] 那欧洲现在还没有冷气
[32:43] 现在跟1945年有什么区别呢
[32:46] 所以时代其实从来没有改变
[32:47] 我们该学习的
[32:48] 也不是一定要去预测
[32:50] 下一个热门资产
[32:51] 而是理解
[32:51] 这几十年来都没有改变的规律
[32:54] 股价永远都会创高
[32:56] 但周期会不断的轮替
[32:57] 好的公司会靠获利持续成长
[32:59] 好的国家会靠生产力的提升
[33:01] 好的投资环境需要耐心等待
[33:04] 技术会变
[33:05] 产业会变
[33:05] 主角未变
[33:06] 但是呢市场的运作方式啊
[33:09] 从来没有改变
[33:09] 人性的循环也是不会变的
[33:11] 给投资朋友多多一思考
[33:13] 如果喜欢我们节目
[33:13] 记得帮我们订阅按赞加分享
[33:15] 我们就明天早上八点半
[33:16] 找陈财经速解读再相见
[33:18] 祝各位投资朋友开盘顺利
[33:19] 操盘愉快
