[00:00] 投資變化收聽早晨財經速解讀
[24:56] 你有了搶美元以後
[24:57] 最後就是文化霸權
[24:59] 不斷的輸出美國精英
[25:01] 以及相關文化
[25:02] 所以美國的核心競爭力
[25:03] 它也不是一個單一優勢
[25:05] 它是一整條層層堆疊
[25:08] 彼此回饋的結構
[25:09] 從高科技到美軍到美元到文化霸權
[25:13] 你就可以瞭解說一個國家真實的力量
[25:15] 它是如何展現的
[25:16] 當然伊朗問題背後的主線
[25:18] 另外一道就是中國
[25:20] 大家會集中在伊朗這次的核武問題
[25:22] 恐怖組織或者中東安全
[25:24] 但真正的戰略意圖
[25:25] 川普過去就提過
[25:27] 伊朗的角色單獨在中東來看很難理解
[25:30] 但放進到中國的全球佈局
[25:32] 就會更清楚
[25:33] 我們知道過去十年
[25:34] 北京逐步地把伊朗變成能源來源和地緣戰爭的節點
[25:38] 它可以透過石油貿易來支撐伊朗的經濟
[25:41] 但也可以透過基礎建設和科技的合作
[25:43] 建立長期的依附關係
[25:45] 伊朗在軍事和經濟上雖然還是相對脆弱
[25:49] 還是能夠維持統治
[25:50] 很大程度就來自於外部的支撐
[25:52] 俄國式的支撐
[25:54] 中國的支撐
[25:55] 中國吸收了伊朗大部分的石油輸出
[25:57] 透過折價的採購和灰色運輸網路
[26:00] 來維持伊朗的財政結構
[26:02] 同時也提供電信或者監控相關的技術那伊朗對於中國的價值也不單純是能源也是牽制美國的重要工具從紅海的航運危機到代理人危機現在在整個
[26:15] 魂姆斯海峽
[26:16] 只有兩艘或者說兩個國籍的遊輪
[26:19] 目前不會遭受到伊朗的狙擊可能性
[26:21] 一個就掛俄羅斯國旗的
[26:23] 一個就掛中國國旗的
[26:25] 所以在這樣的效果底下
[26:26] 中國打擊
[26:28] 如果比較大的話
[26:30] 就代表著川普針對伊朗
[26:32] 的政權更迭性
[26:33] 必須持續拉昇
[26:34] 伊朗的石油
[26:35] 一開始都是賣給中國的
[26:37] 油田也是由中石油投資建造的
[26:40] 那工程款
[26:40] 很多是十幾年以後的石油來還的
[26:43] 所以過去不是有講過說
[26:46] 是不是要用人民幣來直接買石油嗎
[26:48] 那這一打
[26:49] 那海外投資
[26:50] 搞不好壓力就很大了
[26:51] 那個都很多都是中國百姓的養老金
[26:54] 那國內還要養少數民族
[26:56] 國外的投資
[26:57] 如果到時候破產了
[26:59] 或者政權更迭
[27:00] 不算了
[27:01] 所以我們才講說
[27:02] 正常來講
[27:03] 剛開打的時候
[27:04] 中國就應該要跟美國談一下
[27:07] 你如果破壞我的油田怎麼樣
[27:09] 你要負責
[27:10] 這是規投資的利益
[27:13] 所以我們後續觀察
[27:14] 第一個就是油價的拉抬幅度到底有多大
[27:16] 第二個就是
[27:17] 中共的地緣政治競爭
[27:19] 是否會持續的發酵
[27:20] 像原油價格
[27:21] 已經佔回到接近80美元每桶了
[27:24] 當然是有利於油價
[27:25] 但是不利於同捧
[27:26] 事實上油價並沒有直接記錄到美國的CPI
[27:30] 但是交通運輸成本佔了16.6%
[27:33] 根據高盛的預估
[27:34] 這支市場看的不是單純打不打
[27:36] 是荷姆治海峽會不會真正卡住
[27:38] 全球有五分之一的原油
[27:40] 和相當比例的LNG
[27:42] 會透過這條煙口要到
[27:44] 週末已經出現
[27:45] 郵輪通行量的大幅下滑
[27:47] 船隻受損的長文
[27:48] 所以情境分析你想
[27:50] 高盛把風險拆成兩層
[27:52] 第一類就是伊朗本身的供應的受損
[27:55] 這一類會把油價的合理價值
[27:57] 稍微往上推
[27:57] 第二大的尾端風險
[27:59] 才是真正油價上漲的原因
[28:01] 只要海峽沒有被實質封鎖
[28:03] 基本上很有可能原油價格
[28:05] 都是短期的利多
[28:06] 但是一旦如果進行常態化封鎖
[28:09] 那壓力就很大了
[28:10] 所以油價真的是川普的軟肋
[28:12] 因為中期選舉在即
[28:14] 不能夠讓內部的通膨壓力來得更大
[28:17] 不過市場上反而是越越遇事
[28:19] 黃金價格其實從過去兩年來看
[28:22] 已經全面噴出
[28:23] 但是XLE能源資產板塊
[28:26] 其實才剛剛開始啟動
[28:28] XMF目前也在高位進行盤旋
[28:31] 所以後續要觀察
[28:32] 對於能源股的拉抬幅度會有多大
[28:34] 至於股市影響
[28:35] 我就不是特別擔心了
[28:37] 原油它基本上還是取決於供給鏈的變化
[28:40] 所以我認為市場上
[28:42] 還是要相對謹慎來做操作
[28:43] 可是對於股市而言
[28:45] 如果像臺北股市現在開盤
[28:47] 下跌761點
[28:48] 如果真正造成了
[28:50] 因為現在跌700點也還好
[28:51] 3萬5跌到3萬4
[28:52] 但是如果對於美國股市
[28:54] 形成進一步的系統性回撥
[28:56] 那反而是一個極大觀察
[28:58] 是否能夠不見的重點
[29:00] 我們從歷史資料來看
[29:01] 地緣政治的衝突和重大突發事件
[29:04] 通常會在短期內造成市場震盪
[29:06] 但對於股票市場的影響往往是有限的
[29:09] 唯一的好處就是
[29:10] 它可以幫助你稍微降一下估值
[29:13] 平均而言
[29:14] 標普牌指數在地緣政治衝突事件的一個月以後
[29:17] 通常是負值
[29:18] 但是3到12個月回報就轉為正值
[29:21] 中位數顯示一年之後上漲的機率高達6成
[29:24] 而且真正造成長期熊市的
[29:27] 通常都不是單一的地緣政治事件
[29:29] 都是金融體系的危機
[29:31] 或者經濟衰退
[29:32] AI對於股市的影響
[29:34] 實在比這些短期的地緣政治風險
[29:37] 壓力還要大得多
[29:39] 不過我們從長期週期來看
[29:41] 戰爭對美國股市
[29:43] 難道都不會有影響嗎
[29:44] 1970年代當然有影響
[29:45] 可是當時主要還是來自於
[29:48] 對於石油能源的過度依賴所導致的
[29:50] 現在美國已經是最大產油國了
[29:52] 我們看這張圖表就是
[29:53] 就是每一次有入侵
[29:56] 每一次有戰爭
[29:57] 你就去買它
[29:58] 會造成什麼結果呢
[29:59] 像1964年的越戰
[30:00] 91年的波斯灣戰爭
[30:02] 01年的阿富汗戰爭
[30:04] 03年的伊拉克戰爭
[30:05] 14年克里米亞危機
[30:07] 甚至到22年的烏俄戰事
[30:09] 你會發現
[30:10] 大部分股價最後都會上漲
[30:13] 即便後續股價下跌
[30:14] 它也不是跟烏俄戰事的惡化有關
[30:16] 它都是來自於聯合總會的暴力升息
[30:19] 而並不是單純戰爭的避險性慢壓
[30:22] 所以你還必須要針對當前的利率預期來做觀察
[30:25] 所以我的看法是
[30:26] 戰爭本身是不影響股市的
[30:28] 真正後續所觀察的長期通膨才是
[30:30] 現在汽油價格在短短過去一週上漲14.9%
[30:34] 它的底氣會造成適度壓力
[30:36] 可是汽油價格的基期也偏低
[30:38] 其實我們可以觀察到
[30:40] 整體汽油價格在過去一段時間
[30:42] 每家輪大概已經掉到兩美元左右了
[30:45] 它是比去年前年大前年都還來得低
[30:47] 正是由於這種低基期
[30:49] 才會造成上漲幅度加快的錯覺
[30:51] 當然也不宜上漲
[30:53] 一路上去了
[30:54] 畢竟汽油價格
[30:55] 今年以來已經上漲三成三了
[30:56] 一路往上漲
[30:58] 那對於川普的中期選舉
[30:59] 一定會形成適度賣壓
[31:01] 白銀今年漲幅還有28
[31:03] 其他像黃金漲幅還有兩成
[31:05] 所以今年大宗資產價格的表現
[31:08] 其實還是相對不錯
[31:09] PPI在上禮拜五的公佈資料
[31:11] 其實也高於市場預期
[31:13] 這的確是要擔心的
[31:14] 所以我們的確是在一個
[31:16] 不確定性當中持續成長
[31:18] 但是對於股票市場的真正影響
[31:20] 也許沒有想象中
[31:21] 還要來得大
[31:22] 真正影響比較大的
[31:23] 反而第一個是觀察到
[31:25] 接下來黃金資產價格的表現
[31:26] 以及利率資產
[31:28] 美債價格的表現
[31:29] 才是後續大家可以觀察的重點
[31:32] 今年以來
[31:32] 其實各大資產價格
[31:34] 到目前為止都還是收跌的情況
[31:36] 所以估值回撥也很正常
[31:37] 黃金價格漲了22
[31:39] 大宗資產平均漲幅有12
[31:41] 其他像已開發市場
[31:43] 發展中市場
[31:44] 美國中型股
[31:45] 瑞茲等等
[31:45] 都算是正報酬
[31:47] 唯一收跌的只有比特幣
[31:49] 所以大家常講
[31:50] 黃金持有者
[31:51] 打起來
[31:52] 打起來
[31:53] 打越多漲越多
[31:54] 幣圈的玩家
[31:55] 拜託不要再打了
[31:57] 不管怎麼樣
[31:57] 好像利空都是我的
[31:58] 利多都是其他人的
[32:00] 壓力很大
[32:01] 那回過頭來看
[32:02] 對於臺股的影響
[32:03] 不管是塑化股
[32:04] 航運股的行情
[32:05] 大家就拭目以待
[32:06] 那麼總結今天的重點
[32:08] 市場面對的
[32:09] 不是說我們單純看到一個事件的發酵
[32:12] 它在形成一個新的環境
[32:14] 就中東的衝突
[32:15] 讓油價和通膨預期重新的升溫
[32:17] 通膨的壓力又持續存在
[32:19] 這也讓聯準會在短期內的快速降息預期
[32:22] 可能就自然消失了
[32:24] 那資金呢
[32:25] 從高估值的科技股開始撤出
[32:27] 中網黃金的創高
[32:28] 供債價格或者能源的避險板塊
[32:31] 但歷史經驗告訴我們
[32:32] 戰爭影響都是短期的
[32:34] 長期還是會迴歸於基本面
[32:36] 所以這一次呢
[32:37] 可能更只是一個典型的地緣政治的動盪
[32:39] 我認為它不是一個長期熊市的開始
[32:42] 但過去一年
[32:43] 我們已經看到一個越來越清晰的趨勢
[32:46] 那就是川普的對外政策
[32:47] 已經從施壓談判
[32:49] 轉為更直接的力量的運用
[32:52] 對於委內瑞拉來說
[32:53] 美國不再只是制裁和外交孤立
[32:56] 它是積極的支援政權的根底和軍事力量
[33:00] 對於墨西哥獨銷
[33:01] 華府開始逼墨西哥政府
[33:03] 把它視為準軍事敵人
[33:05] 進行越境打擊
[33:06] 伊朗最高領袖哈梅尼提西
[33:08] 美國的這些空襲行動
[33:10] 已經說明著
[33:11] 川普第二任任期的美國
[33:13] 已經走向一個更強勢
[33:15] 更個人化決策
[33:16] 也更願意動用美軍和秘密行動的戰略風格
[33:19] 我們看到一個新的川普時代
[33:22] 已經正式來臨
[33:23] 也提供給我們的投資朋友
[33:49] 優優獨播劇場——YoYo Television Series Exclusive
[34:19] Zither Harp
[34:49] by bwd6
