[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 多次强调价格稳定的使命之后
[26:28] 这就是最直观的变化事实上现在美国最稳固的票仓大家也担心可能会有适度的动摇举例来说过去十年美国的福音派一直是川普最重要的政治基础即便他曾经
[26:40] 我们知道有婚外情的争议
[26:42] 他的言行比较高调
[26:43] 缺乏传统的宗教领袖
[26:45] 还是很多保守派的基督徒会支持他
[26:47] 为什么
[26:48] 因为他在堕胎
[26:49] 他在DEI问题
[26:50] 他在宗教自由
[26:51] 还有最高法院的保守派法官的任命
[26:54] 等政策上都帮助他们实现了目标
[26:56] 可是为什么讲说这几个月
[26:58] 福音派开始动摇了
[27:00] 就是从对伊朗动武
[27:03] 然后川普不是在AI生成
[27:05] 自己扮演耶稣的那张图片吗
[27:07] 后来他把图片删掉
[27:08] 他说这些图片
[27:10] 对于这些选民而言
[27:12] 会不会有一点
[27:13] 比较显著的冒犯
[27:15] 基督徒强调的谦卑
[27:17] 怜悯和爱人的精神
[27:19] 在他发文的那一瞬间
[27:21] 其实就开始动摇了
[27:23] 所以现在市长
[27:23] 他最担心的就是
[27:24] 到底中间选民
[27:25] 是全面丧失了
[27:27] 还是连福音派
[27:28] 如果投票率的下滑
[27:30] 是否会大幅影响到
[27:31] 其中选举的表现
[27:32] 这就特别重要了
[27:33] 但是我还是要给川普一点评价
[27:36] 在评价层面
[27:38] 我们给他一些
[27:40] 他褒贬不一
[27:41] 褒的部分
[27:43] 至少他的股价涨幅
[27:44] 应该是欧巴马第一任任期以来
[27:46] 最亮丽的总统了
[27:48] 我们知道在过去几年当中
[27:50] 川普第一任任期
[27:51] 年化的标普报酬率
[27:53] 大概是16%
[27:54] 拜登第一任是13%
[27:56] 欧巴马第二任是13%
[27:58] 川普这一次25年到26年涨幅有18%
[28:01] 大概类似于欧巴马
[28:03] 不过欧巴马当时是受到08年金融海啸低基期的影响
[28:09] 所以川普在本届任期股市表现还算是不错
[28:12] 不过必须承认这跟流动性也有比较大的一个相关
[28:15] 市场就是在这段时间刚好爆发了AI行情
[28:18] 流动性预期开始有所提升
[28:20] 我们看美欧股市市大指数表现
[28:22] 道琼指数下跌507点
[28:24] 0.98%
[28:25] 所以51492点
[28:27] 标普下跌91点
[28:28] 1.21%
[28:29] 收在7420点
[28:31] 纳指下跌354点
[28:33] 1.35%
[28:34] 收在26021点
[28:35] 费判上涨182点
[28:37] 1.38%
[28:38] 收在13477点
[28:41] 现在市场上
[28:42] 比较大的一个旗舰是什么
[28:44] 我认为大概是两大层面
[28:46] 第一个旗舰
[28:47] 是属于
[28:47] 当前部分股票
[28:49] 有明显估值透支过多
[28:51] 我当然知道你很厉害
[28:53] 可是你好像有点反应过头了
[28:55] 举例来说
[28:55] 目前半导体股
[28:56] 相对于大盘的超额报酬
[28:58] 已经创下历史新高了
[29:00] 甚至是2000年网路泡沫高峰破灭的新高
[29:04] 所以过去一段时间
[29:06] 14个月
[29:07] 肺瓣涨幅已经有230%
[29:10] 历史上只出现过两次
[29:11] 一次是98年到2000年的网路泡沫
[29:13] 另外一次就现在
[29:15] 所以你可以看得出来
[29:16] 市场上有没有觉得有点估值拉升过高
[29:19] 当然是有
[29:20] 可是这一次比较不一样的事情是
[29:22] 现在的投资企业大部分都是龙头企业
[29:25] 撇开SpaceX不看
[29:26] 现在这些器具头
[29:28] 还是拥有稳定的现金流
[29:29] 庞大的资本支出
[29:31] 稳定的股价增长
[29:32] 当然部分个股层面
[29:34] 大家会担心是有原因的
[29:35] 举两档例子
[29:36] 一个是硬财
[29:37] 硬财目前的股价营收比
[29:40] 是多少
[29:41] 16倍
[29:42] 这个已经比2000年
[29:43] 网络泡沫破灭的
[29:44] 15倍历史高点
[29:45] 还要来得高了
[29:46] 另外一个就是
[29:47] 心中有一道光
[29:49] 那就是美光
[29:50] 美光目前的股价营收比
[29:53] 是21倍
[29:55] 哇 这个就比2000年的10倍高了两倍以上
[29:58] 作为一家传统具有高度景气循环特性的记忆体公司
[30:02] 过去很少给它这么高的估值水准
[30:05] 但现在它的估值也是有够离谱的高
[30:08] 尤其在AI投资时代
[30:10] 目前又处于极度分化的区间
[30:12] 我们如果细看
[30:13] 过去两年
[30:14] 基本上美股股市在内部出现了显著分化
[30:17] 第二季的AI概念股报酬率的离散程度
[30:20] 已经扩大到53个百分点
[30:22] 这是确认GBT问税以来的最大
[30:24] 说明着市场上内部
[30:27] 你跟AI是否有直接性的连接
[30:29] 会形成极大的脱钩
[30:30] 另外一个就是我们看到新市场的部分
[30:33] 新市场以前大家都会觉得说
[30:36] 不管是EEM或者我们看到原物料行情
[30:39] 巴西 印度 中国的崛起
[30:42] 大概都是这些代表
[30:43] 但现在新市场ETF
[30:44] 已经变成台湾和南韩的形状
[30:46] 光是台积电 三星和SK海力士
[30:49] 就在了新市场指数
[30:51] EEM大概有30%以上了
[30:53] 已经变成亚洲AI产业投资重要的投资工具
[30:58] 说明着现在内部的投资分化
[31:01] 你会发现你好像怎么投资
[31:03] 投资美股投资亚国
[31:05] 你现在就连投资陆股投资欧洲股市
[31:07] 你不管怎么投
[31:08] 你其实就是在投AI
[31:10] AI已经跟你密不可分了
[31:12] 这有时候我们看到在行情层面
[31:15] 就会有这样的一个区间
[31:16] 有时候我们讲说国家政治产业竞争
[31:19] 投资美股也布局一些新市场
[31:21] 但投资美股跟投资新市场
[31:23] 现在真的有很大的一个区别
[31:25] 似乎有时候你觉得
[31:27] 你在进行产业的风险分散
[31:29] 个股的风险分散
[31:31] 或者国家的风险分散
[31:32] 但你其实从头到尾都是在投AI
[31:35] 不管是投美股
[31:36] 投陆股
[31:37] 投台湾股市
[31:38] 投南韩股市
[31:39] 还是投欧洲股市
[31:40] 都是变成AI的形状
[31:42] 现在AI已经跟我们完全分不开了
[31:45] 之前看到网路上才有人讲
[31:47] 他讲说先生天天被家暴
[31:50] 太太一天到晚
[31:51] 在那个公寓面前
[31:54] 整栋社区都听到
[31:55] 在邻居面前羞辱她
[31:58] 太太平时长得也是人模人样
[32:01] 也算是一个大美女
[32:02] 有时候对于先生的态度
[32:03] 就是稍微差一点
[32:05] 后来邻居受不了
[32:06] 趁他先生在家的时候
[32:09] 一个人在家喝酒
[32:10] 就跑去问他先生
[32:11] 你太太都这样子对你
[32:14] 你怎么还不离开她
[32:15] 那先生说
[32:17] 有时候太太逼越紧
[32:20] 越不容易分开
[32:22] 所以有时候我们觉得
[32:25] 好像只要外部有国际竞争的压力
[32:29] 好像有产业竞争的压力
[32:31] 双方就有可能达成一定程度的资产配置
[32:34] 不管是以前的股债配置
[32:36] 还是在美股台股新银市场
[32:38] 韩国股市的配置
[32:39] 但有时候当行情走到一定程度
[32:42] 一个生产力爆发了
[32:43] 你投资韩国股市
[32:44] 跟投资台股有很大区别吗
[32:47] 投资韩国股市跟投资美股
[32:49] 有什么很大的区别吗
[32:50] 就连现在投资欧洲股市
[32:51] 欧洲最大的市值权值股
[32:53] 也变成半导体股了
[32:54] 你投资日本股市
[32:55] 跟AI有什么具体的区别吗
[32:57] 其实大家都是在投AI
[32:59] 有时候感觉好像产业竞争
[33:01] 各国的分散风险来得越重要
[33:04] 但你越分散
[33:05] 你好像发现你越散不了AI
[33:07] 你只是把各国的AI龙头股
[33:09] 合计在一起
[33:11] 变成一个资产组合而已
[33:12] 这给投资朋友多做一些观察了
[33:14] 我们今天聊的范围比较广一点
[33:16] 我们从一开始
[33:17] 在联准会最新的
[33:19] FOMC立地决策会议当中
[33:21] 来看待这次货币政策环境的变化
[33:23] 来分析现在虽然华许露出了它的小鹰爪
[33:27] 但是背后是否会采取更进一步的鹰派谈话的放松
[33:31] 我认为就不一定
[33:33] 我是比较乐观看待的
[33:34] 我也相信当前的通膨原油情况
[33:37] 能够有效的做降温
[33:39] 更重要的来自于科技通膨
[33:41] 科技通膨的部分
[33:42] 这个解读就见仁见智的
[33:44] 到底你要关注的是
[33:46] 科技通膨对于消费程度的物价冲击有多大
[33:49] 还是你说因为盖资料中心很贵
[33:52] 所以我要升息呢
[33:54] 这就两回事
[33:55] 因为民间的物价压力很大
[33:57] 快要失控了
[33:57] 你要升息你要紧缩
[33:59] 这OK
[33:59] 因为资料中心它的电力价格很贵
[34:03] 现在token成本很贵
[34:05] 你要升息
[34:06] 我觉得就看华许要怎么来做定夺
[34:09] 以及说服联准会内部的票委了
[34:11] 好
[34:12] 台北股市上涨500点
[34:14] 说在46377点
[34:16] 口渴喝杯水
[34:18] 今天开播前忘记喝水了
[34:26] 所以刚刚讲的口有点干
[34:27] 好 投资朋友
[34:28] 给投资朋友做一些思考了
[34:30] 我们主要是把大家从货币层面
[34:32] 还有对于科技同盆
[34:33] 对于原物料同盆当中
[34:35] 做一些适度的一个区分
[34:37] 那也来了解说
[34:38] 行情走到现在这样的一个位置
[34:40] 大家的担忧到底在哪里
[34:41] 其实大家其实并没有特别担心
[34:43] 总经数据的立即恶化
[34:45] 那担忧的其实就是估值过高的问题
[34:47] 那现在问题就来自于
[34:49] 那现在很明显估值指标
[34:51] 有些个股它是的确蛮离谱的
[34:53] 已经远远超过2000年的水准了
[34:55] 那它是泡沫破灭的开始
[34:57] 还是适度的估值回调呢
[34:59] 其实很明显我们过去提到了
[35:01] 只要算力还没有过剩
[35:03] 距离泡沫破灭肯定有一段距离
[35:05] 那至于涨高的股票
[35:07] 那就看它有没有估值回调的空间了
[35:10] 估值回调不一定要造成股价的疯狂暴跌
[35:12] 下个季度EPS追上来
[35:15] 以盘代叠
[35:15] 也是一种方式
[35:16] 提供给投资朋友
[35:17] 如果喜欢我们的节目
[35:18] 记得帮我们订阅按赞加分享
[35:19] 我们就下礼拜一早上8点半
[35:21] 找成财经数学图
[35:23] 再相见
[35:23] 祝各位投资朋友看完顺利
[35:25] 炒盘愉快
