[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 之前一度飙到110接近120
[26:37] 而且对于公司运营造成负担
[26:39] 那部分跨国企业都在通过法律途径
[26:41] 要求白宫立即进行补偿
[26:44] 那我们当然对于台湾来看
[26:46] 它就是一个不同的定位
[26:47] 你说台湾也要急着去申请吗
[26:50] 不用急着去申请
[26:51] 因为我们卖到美国的产品
[26:52] 都是这些大型的电子科技巨头
[26:55] 有一些政治上的关系需要顾
[26:58] 更重要的事情是
[26:59] 白宫随时是不是要
[27:01] 释出更进一步的关税政策
[27:03] 来尝试着对已有的盟友
[27:06] 形成进一步利益的提升
[27:08] 我们举例来说
[27:09] 白宫如果希望重新建立差异化结构
[27:12] 现在122条款只允许短期内
[27:14] 最高15%的普遍关税
[27:16] 他就必须要动用301条款
[27:18] 针对还没有签署的国家
[27:20] 或者经济体进一步加码
[27:22] 要不然台湾都跟你签了
[27:24] 都跟你说好要投资了
[27:25] 然后我们的关税
[27:26] 竟然跟其他一样
[27:27] 你赶快
[27:28] 所以台湾现在的角度
[27:29] 不是说如何追回已经缴的关税
[27:32] 而是说服川普
[27:34] 针对还没有签订的国家
[27:36] 来立即克关税
[27:37] 才可以有利于自己利益的提升
[27:39] 台美这次在年前就已经敲定了
[27:41] 关税贸易协议
[27:42] 橘色就代表的是关税上调
[27:45] 绿色代表的是关税降低
[27:46] 灰色就是大致不变
[27:48] 你可以发现
[27:50] 像中国市场
[27:50] 印度市场
[27:51] 都在短期内获利了
[27:53] 因为本来30%到50%的关税
[27:56] 大家都一起回到15%了
[27:58] 在这样的一个效果底下
[27:59] 当然中国还有一个301关税
[28:01] 所以要再加20%
[28:02] 但这种美国的贸易混乱
[28:04] 基本也就彰显着
[28:05] 台商是极大程度取决于
[28:08] 美国的贸易条件的
[28:09] 这是一个观察的重点
[28:12] 所以有时候我们要了解说
[28:14] 在这样的一个效果底下
[28:15] 川普后续会采取什么样的动作
[28:17] 也对于全球贸易纷争
[28:18] 有进一步的拉抬重点
[28:20] 其实我们要了解他背后的意图
[28:22] 有些人说法是这样
[28:24] 他可能摸摸鼻子
[28:25] 因为中期选举要开始了
[28:27] 现在也不用打关税
[28:28] 达到投资额的暴升就好了
[28:30] 他是一个拥有
[28:32] 美国总统权力的商人
[28:35] 而并不是一个
[28:36] 单纯像商人的总统
[28:37] 你要了解他背后的意图
[28:39] 也许拿到投资
[28:40] 那就OK
[28:41] 做任何事情都一样
[28:43] 你要看懂他背后的真实意图
[28:45] 关税战肯定不只是为了关税
[28:47] 而是背后的投资额
[28:48] 你要了解
[28:50] 对人家
[28:50] 如果想问你女朋友
[28:52] 想问你太太
[28:53] 有没有照片
[28:55] 长得怎么样
[28:55] 你第一时间
[28:57] 你要去找女朋友的IG
[28:59] 太太的IG
[29:01] 你不要拿自己的相簿给人家看
[29:03] 女生让你放照片在你自己的相簿
[29:08] 是因为信任你
[29:09] 不是让你给人家看
[29:11] 让我丢脸的
[29:12] 你说相簿里面那个女人
[29:15] 才是世界当中最漂亮的
[29:17] 那你就没有了解对方的意图
[29:19] 你也没有了解你太太的意图
[29:21] 这个就是你要观察
[29:23] 她说的话和她希望所达到的效果
[29:26] 有一段的落差
[29:27] 当然最终最终
[29:28] 我们看到美中之间的关税贸易冲突
[29:32] 仍然在持续当中
[29:33] 最新我们看到
[29:35] 白宫已经开始采取压力
[29:37] 尝试的要进行逃落税的审查
[29:39] 什么意思呢
[29:40] 过去我们提过
[29:41] 中国申报到美国的出口金额
[29:44] 目前根据美国国税局的推算
[29:46] 比实际美国进口统计
[29:48] 多出了1120亿美元
[29:50] 代表的事情是
[29:51] 根据美方的说法
[29:53] 应该有四分之一的中国商品
[29:55] 在过去一年的关税战
[29:57] 规避了关税的监管
[29:58] 高关税和激烈竞争
[30:00] 也催生出了大量的逃税手法
[30:02] 很多物流商
[30:04] 他以极低的价格来提供含税运输
[30:07] 甚至节省四到五成的成本
[30:09] 那部分美国企业表示
[30:11] 关税本身还可以承受
[30:12] 但如果对方去逃税
[30:14] 那就是致命的压力了
[30:16] 常见的手法是这样
[30:17] 叫做DDP
[30:17] 叫完税交货
[30:18] 中方的卖方
[30:20] 他先负责报关和缴税
[30:22] 实际上他透过低报价
[30:24] 或者错误的分类来减少税负
[30:26] 再用空壳公司来充当进口商
[30:29] 一旦被查就迅速的关闭
[30:31] 并且重新成立
[30:32] 由于美国现在允许
[30:34] 没有实体存在的外国公司
[30:36] 承担进口商
[30:37] 加上执法资源
[30:38] 现在是转向移民管理
[30:40] 查器就更加困难了
[30:42] 结果就变成
[30:43] 守法的企业承担成本
[30:45] 但是有大量的逃税业者
[30:47] 持续的扩张市场
[30:49] 甚至让美国
[30:50] 对中国供应链的依赖程度
[30:51] 看起来比官方数据
[30:53] 还要来得更为严重
[30:54] 那这些数据就变成了
[30:56] 美国海关受到了一个新的命令
[30:58] 一方面是要赶快收税
[31:00] 另外一方面
[31:00] 确实抓到越来越多
[31:03] 少缴关税的例子
[31:04] 你只要把项目试图的
[31:06] 这个试图的
[31:08] 不管在营业项目当中
[31:10] 试图的转换
[31:12] 本来是卖笔的
[31:13] 变成是卖半导体原件的
[31:16] 那你就可以规避关税了
[31:17] 所以这个数字也透露出一个讯息
[31:19] 海关现在已经追了
[31:21] 高达由3亿到4亿美元
[31:24] 那这个漏洞一定比想象中
[31:26] 还要来得更大
[31:26] 所以最后我们要观察的效果是
[31:28] 美中会如何把这个漏洞给补上
[31:31] 还是说这个就是双方角力的来源
[31:33] 给投资朋友作业思考
[31:35] 台股上涨947点
[31:37] 刷在33,058点
[31:38] 怎么又回来了
[31:39] 这公元来来去去
[31:41] 那不如买顶帐篷再过去
[31:43] 我们今天主要跟投资朋友稍微梳理
[31:45] 美国关税的概况
[31:47] 以及对于石油能源通膨冲击的影响
[31:49] 对于美国而言
[31:51] 当前其实经济的影响
[31:53] 并没有如通膨预期上升
[31:55] 对于中期选举压力
[31:56] 还来得重要
[31:57] 川普的所作所为
[31:58] 很明显就是要在中期选举当中
[32:01] 让大家看到能源成本的受控
[32:03] 那对于台湾而言
[32:04] 这一次景气信号真的转红
[32:06] 从通膨物价指数来看
[32:08] 其实整体情况
[32:09] 又比美国稍微好了一点
[32:10] 通膨在一个接近
[32:12] 涨幅不高的情况底下
[32:14] 甚至有点内通收的情况底下
[32:16] 景气却走出了极大的繁荣
[32:18] 那其实某种程度也意味着
[32:20] 内部的消费
[32:22] 跟海外的出口
[32:23] 台湾是有非常显著落差的
[32:25] 怎么会景气这么好
[32:27] 通膨好像有点起不太来呢
[32:29] 这也是另外一层有趣观察的重点
[32:32] 可是呢
[32:33] 既然我们的出口贸易结构
[32:34] 在这几年产生了重大转捩
[32:36] 也就说明着
[32:37] 台湾正在迎来一个新的经济时代
[32:40] 以美国为首的经济时代
[32:42] 美国的任何的贸易政策
[32:44] 都会大幅的影响到台商
[32:45] 给投资朋友做一些思考
[32:46] 如果喜欢我们节目
[32:47] 就帮我们订阅按赞加分享
[32:48] 我们就明天早上半半
[32:49] 早晨财经速点图
[32:50] 再相见
[32:51] 祝各位投资朋友看板顺利
[32:52] 早晚愉快
