[00:01] 投資朋友歡迎收聽早晨財經速解讀
[24:10] 所以1.5兆AI藍圖的國家補助
[24:13] 以及刺激計劃已經正式形成了
[24:15] 我們來看一下
[24:16] 在去年一整年當中
[24:17] 我們雖然籠罩在
[24:19] 一個不確定的環境當中
[24:22] 但是臺灣人民各大小企業
[24:24] 都交出一張亮眼的成績單
[24:26] 所以去年對臺灣來講
[24:29] 雖然是一個不確定的一年
[24:30] 但何嘗不是臺灣經濟
[24:33] 崛起的一年
[24:33] 今天是1月22號
[24:37] 股市開始才多久
[24:39] 不僅僅突破三萬點
[24:42] 也已經逼近三萬兩千點
[24:44] 我相信每一個人都有一個生活經驗
[24:47] 雖然沒有看到百花盛開
[24:49] 但是你只要聞得到
[24:52] 風中傳來隱隱的香味
[24:55] 你就已經知道春天已經來了
[24:58] 我要跟各位報告
[25:00] 臺灣的經濟新局已經開啟
[25:04] 我們不要遲疑
[25:08] 也不要過足不全
[25:12] 更不能走回頭路
[25:13] 我們應該要有信心
[25:17] 我們一定要有信心
[25:19] 要有信心投資朋友
[25:21] 那齊確他講的也沒錯
[25:23] 目前因為臺灣在關稅戰層面
[25:25] 已經來到尾聲之後
[25:27] 整體傳產也開始有進一步復甦的動力
[25:30] 那的確啊
[25:31] 如果我們細看過去一整年
[25:32] 臺灣的外銷訂單
[25:33] 已經是史上最為亮麗的一年
[25:35] 拉貨拉了一整年
[25:37] 最近公佈的12月份外銷訂單
[25:38] 再創歷史新高
[25:39] 高達762億美元
[25:41] 年增幅有43.8%
[25:43] 25年全年外銷訂單是7,437億
[25:46] 這是臺灣史上第一次突破7,000億美元
[25:49] 年增幅有26%
[25:51] 所以去年是臺灣史上出口最繁榮的時刻
[25:54] 那另外一方面
[25:55] 去年也是臺灣本世紀以來
[25:57] 失業率最低的一年
[25:58] 25年全年失業率只有3.35%
[26:01] 這是25年以來的新低
[26:02] 勞參率59.43
[26:04] 創36年來的新高
[26:06] 當然它有附帶作用
[26:07] 去年是臺灣史上最缺工的一年
[26:10] 不管是少子化高齡化的問題
[26:11] 賴政府也被迫要宣佈
[26:13] 26年開始開放旅宿業和碼頭移工
[26:17] 同步推動職聘制度
[26:19] 代表今年大家去國旅
[26:20] 應該就會看到很多外籍人士來幫忙了
[26:23] 那另外一方面
[26:23] 臺灣薪資我們過去提過
[26:25] 也創下本世紀以來的最大漲幅
[26:27] 主機總數公佈的資料
[26:29] 這一次平均薪資4.78萬
[26:31] 年增幅超過3%
[26:32] 這都是26年來的同級新高
[26:34] 所以去年是很多資料指標
[26:37] 不是存量指標
[26:38] 不是債務創高
[26:40] 股市創高的問題
[26:41] 我們撇開
[26:42] 就是出口創高
[26:43] 失業率創下歷史新低
[26:45] 薪資創下歷史新高的一個過程
[26:47] 這段時間
[26:48] 當然產業的極化就會陸續發酵
[26:50] 每個人體感溫度就差很多了
[26:52] 可是所有人都想要趕上這一波的AI行情
[26:55] 對連在政府都急著要趕上
[26:57] 為什麼呢
[26:58] 這就是一個時代的風口
[27:00] 我們講說只要有心
[27:01] 人人都可以跟上半導體行情
[27:03] 最近我才看到一篇報道
[27:06] 是上週的
[27:07] 他講說很知名的
[27:08] 無成衣的衣廠叫正光
[27:10] 他過去是做西裝
[27:12] 專門去量你的身體身形
[27:16] 做美美的西裝
[27:17] 但是同業在過去20年當中
[27:21] 有的讓拼規模拼成本
[27:22] 最後到中國
[27:23] 有些廠商資本不大
[27:25] 反而留下來
[27:26] 那在多數人眼中
[27:27] 無成衣或者無成鞋
[27:29] 那就是一個便宜又可以替代的耗材
[27:31] 但是他去把過去西裝兩體裁衣的這種手藝轉移到半導體無塵室現在變成臺灣最大的無塵衣的供應商所以做西裝的
[27:43] 你最後也可以改做無塵衣
[27:45] 賣便當的
[27:46] 你到竹科去賣
[27:47] 帶小孩的
[27:48] 到竹科幼稚園去賣
[27:49] 現在賣衣服的
[27:50] 你改賣無塵衣
[27:51] 無塵鞋
[27:52] 也是一種方式
[27:53] 這個就是一個時代的
[27:54] 風口和浪潮
[27:55] 當然了
[27:56] 它其實也就意味著
[27:57] 市場上的AI衝擊
[27:59] 以及AI所帶來的正面效果
[28:01] 正在同步湧現
[28:02] 我們看雖然現在AI
[28:04] 帶領了臺灣的硬體廠商
[28:06] 一面創好
[28:07] 可是過去一年
[28:08] 傳產也受到很大沖擊
[28:09] 那另外一方面
[28:10] 美國股市也是如此
[28:12] 你不要看AI奪行
[28:13] 亞馬遜在寄Meta裁員以後
[28:16] 這一波正式宣佈
[28:17] 本週開始進行
[28:19] 三萬名企業白領的裁員
[28:21] 規模是公司史上最大
[28:23] 他都已經裁四年了
[28:24] 今年還要裁
[28:25] 財務有那麼窘迫嗎
[28:27] 當然沒有
[28:28] 他的營收還在創高呢
[28:29] 用意就是因為
[28:30] 可以匯入AI了
[28:31] 那AI匯入以後
[28:32] 我根本就不需要這麼多的人力
[28:34] 所以本週宣佈裁員4萬人
[28:37] 哇那代表著很多人要從原本的實業
[28:40] 往軟體業
[28:40] 或者往正軍業來發展了
[28:42] 反正現在不能到亞馬遜工作
[28:45] 這幾年也賺夠了去炒股票吧
[28:47] 所以我們才講說
[28:48] 整個科技業當前的AI就業市場
[28:50] 已經開始產生重要的轉捩
[28:52] 很多工作AI也很難做
[28:54] 你還是能夠尋找到
[28:56] 能夠保護自己的方式
[28:57] 像抽血的技術員
[28:58] 遺體儲存師
[29:00] 矯正醫師
[29:01] 目前根據微軟報告
[29:02] 有非常多高技術能力的職業
[29:05] 基本上還是有機會能夠存活下來的
[29:07] 但是我們還是必須承認
[29:09] 那種純學術性的工作
[29:11] 或者純研究性的工作
[29:13] 的確當前被生產力取代的可能性是最高的
[29:17] 最近學測才剛結束
[29:18] 我才看到好像今年北一女校長也去考
[29:22] 然後她自己還很誠實的曝露心
[29:25] 她說我那個自然科我寫不完
[29:27] 數位會的也不多
[29:28] 很多人想說學測剛結束
[29:31] 有些人剛考完
[29:31] 自己就知道完了
[29:32] 對不對
[29:33] 但人生不會就這樣子完了
[29:35] 讀太多書
[29:36] 現在也沒什麼用
[29:37] 重點要有學習能力
[29:38] 舉個例子
[29:39] 我們看
[29:40] 過去總覺得
[29:41] 經濟學家不容易被取代
[29:42] 但是經濟學家
[29:43] 過去講的K型經濟
[29:44] 他們自己也正在體驗
[29:46] 我們看
[29:47] 這張圖表示
[29:47] 今年完成博士學位的
[29:49] 美國經濟學的博士生
[29:50] 在現在
[29:51] 不管是聯邦政府
[29:52] 預算的不確定性
[29:53] 還是我們看到
[29:54] 整體
[29:55] 因為經濟學家
[29:56] 過去幾年一直判斷錯誤
[29:57] 所以大家可能
[29:58] 對於他的需求越來越少
[29:59] 你看
[30:00] 這幾年大量吸收經濟學家的企業端
[30:02] 也開始踩剎車了
[30:04] 博士經濟學職缺不止比去年少
[30:07] 還比疫情前低
[30:09] 不管是學界政府還是商業金融
[30:12] 三大出口同時轉輪
[30:14] 就是所有的經濟學者
[30:15] 現在到處都是
[30:17] 因為找不到工作
[30:18] 因為職缺越開越少的
[30:20] 有的經濟學者很落魄
[30:21] 有的還被迫去當網紅直播主
[30:25] 每天只能靠講笑話為生
[30:27] 百無一用是書生
[30:29] 直播組也不好當
[30:30] 但現在越來越競爭了
[30:32] 可是你可以看到
[30:32] 這個AI所造成就業的
[30:34] 失智衝擊為何
[30:35] 你問一個問題
[30:36] 那AI回答的
[30:37] 搞不好比經濟學家
[30:38] 還來得好
[30:38] 所以我們講說
[30:40] 其實成績也沒那麼重要
[30:41] 考壞了就考壞了
[30:42] 下一步
[30:43] 重點是持續培養你的技能
[30:45] 以前我們不是常跟大家講
[30:47] 我們大學教授常開玩笑
[30:50] 因為經濟系一屆招100人
[30:52] 通常是成績前10名出國深造
[30:54] 回來當教授
[30:55] 那中間一部分就考公務員
[30:58] 那中後段呢
[31:00] 有部分去外商公司當MA
[31:02] 最後呢
[31:03] 大部分人去做業務啊
[31:04] 做法經做個經嘛
[31:06] 我們問說那最後十名呢
[31:08] 教授說最後十個
[31:09] 有九個跑去從政
[31:11] 那最後一個呢
[31:12] 最後一個去當網紅直播組嘛
[31:14] 所以啊
[31:14] 這個時代的一個變遷啊
[31:16] 那些成績特別好的
[31:18] 反而不一定會有極度亮麗的表現啊
[31:20] 這個就是我們看到真實的景象啊
[31:23] 因為我們剛才已經瞭解了
[31:24] 就算你讀到理主啊
[31:26] 你也很難確保
[31:27] 不會被亞馬遜給裁員
[31:29] 我們看各學生群
[31:30] 目前招生的名額使用率
[31:32] 你會發現
[31:33] 現在工程學類和數理化學類
[31:35] 招募是最亮麗的
[31:36] 什麼大眾傳播外語文史則
[31:39] 都沒有人要去
[31:40] 可是難道這代表著
[31:42] 你去讀理工科
[31:43] 你在未來就一定會有就業保證嗎
[31:46] 亞馬遜都裁那麼多人
[31:48] Meta也裁那麼多人
[31:49] 不管怎麼樣
[31:50] 就算你進亞馬遜也會被裁
[31:52] 文組理組不如媽組
[31:55] 你不如好好燒香
[31:56] 好好先培養自己的技能
[31:58] 所以我們才講說
[31:59] 這個通才和專才
[32:01] 我們應該從小的時候
[32:02] 就要能夠培養和識別
[32:04] 你當然要有自己的專業
[32:05] 但是小時候更要有
[32:07] 那種廣泛性的閱讀
[32:09] 學習的能力
[32:10] 永遠比你單純專一工作能力
[32:13] 來得更為重要
[32:14] 前兩天我才在科學雜誌
[32:16] Science雜誌
[32:16] 看到一篇最新的研究
[32:18] 過去我們都覺得
[32:19] 神童很少成為世界頂尖高手
[32:22] 小時寥寥大為必加
[32:23] 那都是嘴巴講講
[32:24] 到底是真的如此嗎
[32:26] 他做了研究
[32:26] 比如說在這一次的研究當中
[32:29] 他統計了3.4萬名來自於運動
[32:32] 棋藝或者古典音樂的頂尖人物
[32:34] 後來研究統計顯示
[32:36] 的確很多人最後不量力
[32:38] 跟表現小時候是神童
[32:41] 長大時候還是神童的根本區別是什麼呢
[32:43] 就是那些長大後還是神童的原因
[32:47] 就是因為一方面
[32:48] 他在小時候其實不是單壓一點
[32:50] 而是多方嘗試有助於找到自己最適合的方向
[32:54] 第二呢
[32:55] 學習能力本身越來越好
[32:57] 涉獵越來越廣
[32:58] 之後你畢業以後
[32:59] 出社會以後
[33:00] 專注時吸收的速度再快
[33:02] 那反而亞苗助長的
[33:04] 太早被溫室的這種訓練包圍的
[33:07] 反而會降低自己的倦怠意願
[33:09] 最後呢
[33:10] 心理損耗的風險導致
[33:12] 就算你是這行的專業
[33:13] 你本身也提不起太大的興趣
[33:15] 所以在種種效果底下
[33:17] 我們要了解
[33:17] 這就是一個新的時代
[33:19] 給投資朋友作為一些參考
[33:21] 你要了解說
[33:22] 新的時代
[33:23] 新的工作其實都還沒有出現
[33:25] 那這些工作呢
[33:26] 就好像20年前一樣
[33:27] 根本沒有人會認為
[33:29] YouTuber是一個工作
[33:30] 所以你應該培養的是
[33:31] 自己的這種原則上的思維
[33:33] 你要了解說
[33:34] 你要如何去組合
[33:36] 未來的新的優勢
[33:37] 什麼叫解決優勢
[33:38] 就是iPhone為什麼那麼值錢
[33:40] 我們以前對於手機的想象
[33:41] 就是Sony Eros那樣
[33:43] 鍵盤長得跟電腦鍵盤一樣
[33:45] 那你要有一個複雜的功能
[33:46] 就要有一個對稱的複雜的介面
[33:48] 那這個時候
[33:49] 是大家做手機的邏輯
[33:51] 假博士說
[33:52] 我能不能有複雜的功能
[33:53] 有簡單的介面
[33:54] 他解決了這個問題
[33:55] 新的時代就開始突破了
[33:57] Unicuro
[33:58] 人們希望他買衣服少花錢
[34:01] 但是過去的印象都是
[34:03] 衣服的質感要好
[34:05] 價格就要越貴
[34:06] 誰能夠解決這個問題
[34:07] Unicuro從科技層面突破
[34:10] 他是全球最頂尖的科技服務
[34:14] 服飾科學商
[34:15] 所以我們講的不說效能最好
[34:17] 我們講說他用最低成本
[34:18] 創造最佳質感的衣服
[34:19] 財經號角其實也是如此
[34:21] 我們能夠解決的是什麼
[34:23] 就是我們如果能夠把專業
[34:26] 再搭配一點點有趣的內容
[34:29] 當然了
[34:31] 其實現在有專業又有趣內容
[34:33] 好像也蠻多的
[34:34] 所以只有一個可能
[34:35] 就是我們靠美色撐到現在
[34:37] 雖然我不想承認
[34:38] 但的確這個節目主要是
[34:40] 我出賣色相撐到現在
[34:42] 所以我們優勢也不算多
[34:44] 有一些觀看
[34:45] 那你就知道
[34:46] 我們買了多少粉絲
[34:49] 有什麼是錢砸不出來是不是
[34:50] 現在上了1.4萬人
[34:52] 對
[34:52] 有一萬人都是我們砸錢砸出來的
[34:55] 開玩笑
[34:56] 但我們可以看到的效果就是
[34:57] 一個新的時代在產生
[34:59] 怎麼聊到906分
[35:00] 臺北股市上漲283點
[35:02] 所以31989點
[35:03] 往32000點來做邁進
[35:06] 禮拜我都忘記了
[35:07] 小編開始提醒了
[35:09] 本週我們要導讀的書籍
[35:11] 叫做財富戰爭與智慧
[35:14] 二戰啟示錄
[35:15] 這本書的作者巴頓畢格斯
[35:17] 他是華爾街的教父分析師
[35:19] 出生在美國經濟大蕭條的紐約
[35:22] 那這本書它就是用二戰來幫助你看懂
[35:24] 市場的經濟財富是如何變錢的
[35:27] 我們要知道一戰二戰以後
[35:29] 美國順勢成為全球霸權
[35:30] 那在這個過程當中
[35:32] 到底當年的英國美國德國日本
[35:34] 股市在戰前戰後的變化表現為何
[35:38] 我們也知道蔣介石
[35:39] 在正式成為大軍閥之前
[35:42] 本身也在上海股市當做股票經紀人
[35:45] 那這些人是如何運用股票市場
[35:48] 來進行籌資
[35:49] 在股市
[35:50] 債市
[35:50] 黃金
[35:51] 房地產
[35:51] 藝術品
[35:52] 在戰亂
[35:52] 在通膨
[35:53] 在佔領
[35:53] 在管制下
[35:54] 面臨到的坑呢
[35:56] 本書我覺得會有非常透徹的瞭解
[35:58] 因為新時代已經變了
[35:59] 我們現在不只有AI的生產力爆發
[36:01] 也有地緣政治的勤勞
[36:03] 那這本書要推薦給我們的投資朋友
[36:05] 如果大家有興趣
[36:06] 歡迎可以直接買回家
[36:07] 或者也可以在底下留言
[36:09] 留下你的對於本節目的想法
[36:11] 或者對於本書的想法
[36:12] 那我們到時候抽兩本書
[36:14] 送給我們的投資朋友
[36:15] 希望你再把這本書
[36:16] 送給你心愛的人
[36:17] 你欣賞的人
[36:18] 就零七分
[36:19] 感謝各位投資朋友的參與
[36:20] 如果你喜歡我們的節目
[36:21] 記得幫我們訂閱按贊加分享
[36:22] 我們今天聊的範圍
[36:23] 主要是從整個AI的框架
[36:25] 一路到臺灣的經濟
[36:27] 以及主權AI的發展概況
[36:28] 那重點是
[36:29] 一個新的時代浪潮已經到來
[36:31] 但不是每個人都可以搭上
[36:33] 重點是
[36:34] 你要這個省思
[36:35] 你要這個原則
[36:36] 你要了解
[36:37] 這個世界一直在變
[36:38] 但有些東西是不會變的
[36:40] 給投資朋友做一些思考
[36:41] 如果喜歡我們節目
[36:42] 記得幫我們訂閱按贊加分享
[36:43] 我們就明天早上
[36:44] 禮拜一早上八點半
[36:45] 早晨財經速解讀
[36:46] 再相見
[36:47] 祝各位投資朋友
[36:48] 開盤順利
[36:48] 炒盤愉快
