[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 是远远比不上革命卫队
[26:02] 标普上涨184点
[26:04] 2.91%
[26:05] 收在6528点
[26:06] 纳萨克指数大涨795点
[26:08] 3.83%
[26:10] 收在21590点
[26:12] 全部看起来要准备突破回年限
[26:16] 之前是连续两天跌破年限
[26:19] 很多人第一天还在等
[26:21] 第二天就决定砍了
[26:23] 那会不会砍在阿呆谷
[26:24] 很难说
[26:25] 就看这个周末川普要不要采取军事行动了
[26:28] 非半上涨445.6.24%
[26:31] 哇指数涨6%
[26:32] 收在7588点
[26:35] 非半现行看起来还是比较漂亮
[26:37] 不过没有股市
[26:38] 整个大头部还是逐步形成的
[26:40] 这一次只是中东战事的原因
[26:42] 加速的回跌
[26:44] 那好处是
[26:45] 如果我们细看
[26:46] 张图表示我们看到
[26:48] 市场在解释整个三月份的下跌过程当中
[26:51] 主要反映哪个部分
[26:52] 其实你可以看得很清楚
[26:54] 企业的基本面并不差
[26:56] 我们从整个三月份的盈余贡献
[26:58] 都还是正的5.18
[27:00] 股息也小幅度的贡献0.28%
[27:03] 就代表着
[27:04] 大多数的企业公司都还在赚钱
[27:06] 现金流也算正常
[27:08] 但问题是什么
[27:08] 是PE Ratio
[27:10] 前瞻本益比
[27:11] 直接拖累了股价接近有10%
[27:13] 代表的是
[27:14] 一个本益比的估值回调
[27:16] 把所有基本面的努力给吃掉了
[27:18] 说明着
[27:18] 整个三月份的行情
[27:20] 是标准的利率和风险
[27:21] 一筹的重新定价
[27:23] 油价飙升通膨回来
[27:25] 联准会不会被降息
[27:26] 市场愿意给科技股新一轮的多少溢价
[27:29] 这个是3月份回跌的根本原因
[27:31] 所以现在回过头来看
[27:32] 最大问题就是油价没跌了
[27:34] 要不然油价回跌
[27:35] 那种通膨预期什么都消失了
[27:37] 现在股价暂停内
[27:39] 似乎反映的是暂时结束
[27:41] 但有没有反映完
[27:42] 油价不会保持常态化
[27:44] 在100美元以上呢
[27:46] 似乎还没有
[27:47] 这个值得大家做特别的留意
[27:49] 那你说
[27:50] 哇那现在一场战事
[27:52] 因为一个言论
[27:53] 一个晚上就全面翻转吗
[27:55] 现在最大问题是什么
[27:56] 现在最大问题
[27:58] 最长期投资者是没买够
[27:59] 没买够怎么办
[28:00] 不用怕
[28:01] 很多股票
[28:02] 也不过从地域18层爬回第17层
[28:05] 真正没跌的
[28:06] 那应该是台股
[28:07] 台股真的跌不太动
[28:08] 但是对于美股而言
[28:09] 一堆股票真的跌到地域了
[28:12] 标普百这一波的跌幅
[28:14] 都还没有超过10%
[28:15] 可是七巨头
[28:17] 那跌幅全部都是上位数字
[28:18] 苹果到现在为止
[28:20] 年初以来跌了14
[28:21] 辉达跌了21%
[28:23] Google跌了22%
[28:24] Amazon跌了23%
[28:25] 特斯拉28%
[28:26] Meta跌了34%
[28:27] Microsoft跌了36%
[28:29] 从指数角度而言
[28:31] 没有崩
[28:32] 可是市场上是标准的分化
[28:34] 我们看整个能源股
[28:36] 在今年以来
[28:38] 大涨了接近有37%
[28:40] 半导体股勉强还撑在平盘
[28:42] 因为现在还守在半年线
[28:44] 但是大型科技股
[28:45] 平均跌幅是15%
[28:47] 就是说现在指数
[28:48] 被少数板块撑住了
[28:50] 掩盖了现在科技股的惨状
[28:53] 所以你也不用太担心说
[28:54] 没有东西买怎么办
[28:56] 就算现在谈回来
[28:57] 还是很多东西可以买的
[28:58] 当然尽量等乖离情绪
[29:01] 再稍微下修的时候
[29:02] 或者说当天不要大涨的时候
[29:04] 事实上我们看辉达的本益比
[29:06] 已经从当时的最高
[29:07] 接近80倍左右
[29:09] 前瞻本益比现在是多少
[29:10] 19倍
[29:11] 第一
[29:12] 它的本益比现在比Costco
[29:14] 比沃尔玛
[29:15] 甚至比XMF都还来得低
[29:17] 第二
[29:18] 辉达股价回落幅度
[29:20] 也不过接近20%
[29:21] 它本益比已经创下
[29:24] 本世纪以来的低点了
[29:26] 仅次于当时网络泡沫破灭
[29:28] 这件事情其实也就说明着
[29:30] 这个回答
[29:31] 虽然股价跌幅也没有到很夸张
[29:33] 可是它的基期
[29:35] 看起来现在已经比关税战
[29:37] 还要来得低了
[29:38] 这种非常显著的乖离回调
[29:40] 就会让大家意识到
[29:42] 似乎本轮即便股价就跌到这边了
[29:45] 但是对于很多个股来讲
[29:47] 仍然是有吸引力的
[29:49] 我们举巴菲特的例子
[29:50] 来做一个最终的结论
[29:52] 巴菲特在昨天也受访
[29:54] 他也表达说
[29:54] 虽然他退休了
[29:55] 不过他每天还是会进公司
[29:57] 就是聊聊天
[29:58] 然后了解一下
[29:59] 公司目前的投资规划
[30:01] 但是不会做大幅度参与了
[30:02] 这一次他提到了一个观点
[30:04] 他说他对于苹果
[30:06] 认为其实有太快
[30:09] 或者说太早减码的压力
[30:11] 他认为
[30:11] 他承认说过去一段时间
[30:14] 他对苹果的卖出
[30:15] 的确有点卖太早了
[30:17] 苹果股价从它2023年开始卖出以后
[30:20] 它就一路涨到2025年
[30:21] 不过它没提到台积电
[30:22] 它一天更惨
[30:23] 它一天涨幅比苹果更夸张
[30:25] 所以巴菲特的重点
[30:26] 他是要告诉大家
[30:27] 连我都会太早获利了结
[30:29] 我们过去一直提过
[30:31] 离开市场本身也是一种风险
[30:34] 你重点来自于
[30:35] 本身现金水位和资产部位的比例
[30:37] 让你的心态能够健康的
[30:39] 经历过每一轮的熊市
[30:41] 或者股价的回调
[30:42] 但是全面的离开市场
[30:44] 它本质的风险是很大的
[30:46] 这也反映投资核心当中的一个难题
[30:48] 如何在长期趋势当中
[30:50] 能够尝试的抱得住
[30:52] 巴菲特也说
[30:53] 他不希望自己的单一持股过高
[30:54] 所以选择分散风险
[30:55] 但代价呢
[30:56] 他错过后面那段最肥的涨幅
[30:59] 苹果股价虽然这波有跌
[31:01] 可是它是七巨头当中
[31:03] 目前跌最少的
[31:04] 这给投资朋友多多一些观察了
[31:06] 台北股市上涨1273点
[31:09] 收在32996点
[31:11] 整个三月份感觉像一场空
[31:13] 三月份真长
[31:14] 不知道4月份会不会一样长
[31:16] 很难说
[31:16] 但是至少可以看得出来
[31:18] 大家都在聚焦
[31:19] 接下来的廉价期间
[31:21] 一群人大家想当然是要去哪里玩
[31:23] 可是我们要关注一下国际局势
[31:26] 因为会不会还有变数
[31:28] 我已经被川普骗大了
[31:30] 一年两年
[31:31] 我已经不是很相信他说的话了
[31:33] 最好还是以戒慎恐惧的角度
[31:35] 来看待当前行情
[31:36] 最重要的是你有一个方向
[31:38] 本轮的3月份
[31:40] 你有没有发现都是一场空
[31:42] 所以今天结论很简单
[31:44] 市场并不是单纯交易停火了
[31:46] 而是在交易后遗症
[31:48] 川普和伊朗总统所释出的停火讯号
[31:51] 让股市出现了反弹
[31:52] 油价也因为航运风险
[31:54] 成本风险
[31:56] 或者供应不确定性的问题
[31:57] 外溢到全球
[31:58] 这就说明着
[31:59] 我们要处理战火问题了
[32:01] 通膨压力
[32:02] 经济成本会不会因为战事降温就下滑
[32:05] 放回资本市场来看
[32:07] 3月的下跌
[32:08] 它在反映资产的重定价
[32:10] 4月即便反弹
[32:11] 我们也要了解
[32:12] 特别是AI
[32:13] 我们还是面临
[32:14] 二月份一样的处境
[32:15] 资金在收缩
[32:16] 能源成本
[32:18] 看起来也没那么容易回去
[32:19] 风险偏好下降的三重压力
[32:21] 换句话说
[32:22] 现在的市场
[32:23] 变成了有反弹
[32:25] 但是也许更难赚钱的
[32:26] 一个阶段
[32:27] 真正要看的
[32:28] 并不是战争
[32:30] 变成了什么样子
[32:31] 是这个世界
[32:32] 在战后的格局
[32:34] 呈现了什么样的状态
[32:35] 给投资朋友多做一些观察
[32:37] 如果喜欢我们节目
[32:38] 记得帮我们订阅按赞加分享
[32:39] 我们就明天早上半一半
[32:40] 找成财经速解读
[32:42] 再相见
[32:42] 祝各位投资朋友看板顺利
[32:44] 上班愉快
