[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 市场上更进一步关注的是由过去废办带头冲高的龙井
[26:15] 因为Enthropy最新的AI模型
[26:17] 直接可以保证了
[26:19] 极强的自然攻击能力
[26:21] 它的目的是要找出浏览器的漏洞
[26:23] 可是根据内部实测
[26:24] 发现大量的自主组合攻击链
[26:27] 他要测试就必须要供给
[26:28] 而且发现成本极低
[26:30] 几十美元就能够去供给银行
[26:32] 让政府和金融机构高度的警戒
[26:35] 那AI的法规如果没有跟上或者限制的话
[26:38] 这一项技术一旦被其他国家给掌握
[26:40] 对于美国会形成重大冲击
[26:42] 第二是马斯克最近告了科罗拉多州
[26:46] 原因是因为科罗拉多州在地方法规
[26:49] 成立了AI演算法歧视的周期法规
[26:52] 那这个法案要求AI系统在教育
[26:55] 就业贷款医疗住房
[26:56] 要避免歧视
[26:58] 而且要强制企业揭露风险
[27:00] 而且要提供用户更正的资料
[27:03] 还有申诉的机会
[27:04] 那XAI就马斯克认为
[27:06] 那等于在企业模型当中
[27:08] 强加一种政府的价值观
[27:10] 特别是在种族和公平议题上
[27:13] 他说AI该怎么学就怎么学
[27:15] 我们当然不会给你太露骨的回答
[27:17] 可是你不能够给我强加你的价值观
[27:21] 双方已经开始互告了
[27:22] 那另外一方面
[27:23] 我们看到在最近一系列的法律争议
[27:26] 过去我们所提过的
[27:28] 不管是纽约时报
[27:30] 跟OpenAI的争议
[27:31] 之前诉讼的核心还在持续
[27:33] 包括有没有用到新闻
[27:35] AI训练了这么多资料
[27:37] 产出了这么高的效率
[27:38] 写出这么多优美的文案
[27:40] 你有没有参考我的文章
[27:42] 你有没有参考我的新闻
[27:43] 你有没有参考我们财经号角的影片
[27:45] 有的话
[27:46] 那你是不是应该等同于
[27:49] 绕过了订阅或者广告授权机制
[27:51] 来免费的汲取我的知识呢
[27:54] 或者这些AI到底有没有主动
[27:56] 去订阅或者付费去看人家的资料库
[27:59] 再把这些资料库
[28:00] 拿来进行进一步的AI营收认列
[28:03] 因为AI的订阅费仍然在持续当中
[28:05] 一系列的效果
[28:07] 导致整个AI的法律战
[28:09] 目前中央跟地方层级不断的博弈
[28:12] 事实上我们后续影响到的实体经济
[28:15] 也陆续发酵
[28:16] 比如说迪士尼在昨天正式宣布裁员
[28:18] 才大概1000人
[28:20] 主要调整对象是影视电视网ESPN
[28:23] 我们知道台湾媒体业
[28:24] 最近也是大规模裁员
[28:26] 这种串流竞争的加剧
[28:28] 内容成本的上升
[28:29] 都导致降板压一脚
[28:32] 把巨型影视工业给踹倒了
[28:35] 事实上我们看到
[28:36] 最近像Doordash
[28:37] 也推出新的APP
[28:38] 它让外送员去透过拍摄影片
[28:41] 来训练AI模型
[28:42] 架一个手机在你身上
[28:44] 来让我了解
[28:45] 你是怎么送外送的
[28:46] 你会遇到什么样的困难
[28:47] 目的是什么
[28:48] 目的就是
[28:49] 等到之后硬体跟上以后
[28:51] 我就找一个机器人取代你
[28:53] AI的生成短距一直在爆红
[28:55] 网路上我看脸书越来越多
[28:57] 我有时候看了都忍不住
[28:58] 一直看下去
[28:58] 最红的在美国叫做水果恋爱岛
[29:01] 它里面讲的是
[29:02] 一群水果互相恋爱
[29:04] 跟之前那个Orange有点像
[29:05] 完全都是人工智慧技术
[29:07] 视觉效果旁白剧本所生成的
[29:10] AI音乐也正式进入了完整歌曲时代
[29:13] Google最新所推出的
[29:15] 三分钟歌曲
[29:16] 从旋律到歌词编曲
[29:17] 都可以完全靠AI来自动完成
[29:20] 代表AI音乐
[29:21] 正在从实验性工具
[29:23] 走向可商业化的创作阶段
[29:25] 最后AI音乐和唱片巨头
[29:28] 谈判最近破裂了
[29:29] AI音乐公司Sona
[29:30] 跟全球唱片公司
[29:32] 目前陷入僵局谈判以后
[29:33] 金融时报指出
[29:35] 双方在授权和分论上的分歧极大
[29:37] 双方的冲突逐步的展现
[29:39] 一系列的AI风暴拉升以后
[29:41] 我们就可以了解
[29:42] 整个新的时代已经来临
[29:44] 可是旧有的法律系统还没有跟上
[29:47] 好我们做个结论
[29:47] 好今天我们聊的范围很广
[29:49] 台股上涨211点
[29:51] 所在36937点
[29:52] 要三万七了
[29:54] 总结而言
[29:55] 今天我们同时三个交互的时间线
[29:58] 一个是战争没有结束
[30:00] 但是资本已经提前反应
[30:01] 风险解除之后
[30:02] 而且把资产价格给推高了
[30:04] 美中表面竞争维持稳定
[30:07] 底层我们看到在能源
[30:08] 在军事
[30:09] 在科技上已经开始升级
[30:11] AI现在看似高速运转
[30:13] 但是问题是卡在法律
[30:14] 如果监管和商业模式
[30:16] 没有全面的放松
[30:17] AI往前冲是有难度的
[30:19] 可是这还是取决于
[30:21] 我们看美国内部
[30:22] 到底是地方政府还是中央政府
[30:25] 在AI的主导权上占据主流
[30:27] 真正的关键
[30:28] 我们要看出这些结构性的变化当中
[30:31] 谁能够成果波动
[30:32] 可是至少我们可以确认的事情是
[30:34] AI时代已经正式来临
[30:36] 越来越多的AI电影
[30:38] 越来越多的AI歌曲
[30:40] 而且发现还蛮好看的
[30:41] 蛮好听的
[30:42] 这也是我们这个时代
[30:44] 要面临的工作机会的竞争冲击
[30:46] 在这样的一个效果底下
[30:48] 等同于新的时代来临
[30:50] 我们除了拥抱这项科技
[30:51] 其实也别无他法了
[31:21] 他们如何呢
[31:23] 那又能怎
[31:25] 天上我到底有用
[31:28] 空在哪我不懂
[31:30] 千金三金换不来
[31:32] 没了钱谁理他
[31:34] 别管那么多
[31:37] 起跳
[31:39] 到到到
[31:40] 视线来报到
[31:42] 到到到
[31:44] 烦恼全抛掉
[31:46] 举杯尽尽招
[31:48] 醉了也不到
[31:50] 超自白的彩云间
[31:54] 赶场赶半天
[31:56] 像汉夜正提拨住
[31:58] 老板催我路
[32:00] 抽到大水水更流
[32:02] 加把没尽头
[32:04] 举杯小手抽更抽
[32:06] 不如喝口酒
[32:08] 如何能
[32:12] 又能怎
[32:13] 铁手握他屁股
[32:15] 又要动在哪
[32:17] 我不懂
[32:18] 金色金花不来
[32:20] 没了钱谁擂台
[32:22] 走开
[32:22] 花钱一壶酒
[32:24] 不如来游吧
[32:26] 不来深陷阶级末
[32:28] 我偏要快活
[32:30] 望见明月光
[32:32] 叫我跳得狂
[32:34] 一时低上霜
[32:36] 不如要一场
[32:38] 花马
[32:39] 神经球
[32:40] 要个珍藏
[32:41] 不用唱
[32:43] 早早早
[32:48] 视线来报道
[32:50] 烦恼全抛掉
[32:53] 举杯紧紧照
[32:56] 醉了也不倒
[32:58] 天生万才必有
[33:00] 谁也比不了
[33:02] 不不快的飙
[33:06] 心情全飘掉
[33:10] 飞鸟只想三千次
[33:12] 不如再一次
[33:14] 打破狂欢又怎样
[33:16] 开心最重要
[33:17] 哦
[33:21] -
