[00:00] 欢迎收听谷爱,我是星梦宫,本集节目由雨伞王赞助
[19:53] 是相对的还蛮顺利的
[19:55] 所以才会被Award一些东西
[19:57] 所以这个就是稍微的不同
[19:59] 与像前面BrockCon老板所讲的
[20:01] 他说这些都是
[20:01] 就是像小屁孩一样
[20:03] 在后面垂
[20:04] 不管是Marvel或是联发科都是
[20:06] 那看来这些小屁孩
[20:08] 真的都是有去获得一些时机
[20:10] 也不要说我们要去挑战博通
[20:12] 或是要把柏通踩下去
[20:13] 但他们确实是有打出自己的一个市场
[20:16] 所以这个Triggerfish
[20:17] 就稍微简单跟大家讲一下
[20:18] 它就是一个
[20:20] 反正你想象成是加强版的晶片
[20:21] 它并不是额外再拉一个东西出来
[20:23] 反正在柏通这边
[20:24] 就真的有新东西出来
[20:26] 我不知道我们在节目跟大家讲过
[20:27] 但反正就稍微快速的复习一下
[20:29] 我们都知道说
[20:30] 柏通在第八代有看到它的东西
[20:32] 可是第九代
[20:33] 大家发现说它的东西怎么不见了
[20:34] 大概在几个月前的节目
[20:35] 我跟大家聊到说
[20:36] 你去观察它的ROMA
[20:37] 好像少了一颗东西
[20:38] 然后后来那个东西有跑出来
[20:40] 叫做Wellfish
[20:42] 是双拼的晶片
[20:44] 二拼一
[20:45] 所以这可能是在载板这边
[20:46] 我觉得可以找到一些机会的东西
[20:48] 那他就是
[20:49] 作为是他的下一代去做采用
[20:51] 所以最后面就是去解决了
[20:53] 我们这些市场人士
[20:54] 本来心中的一个问题
[20:55] 奇怪怎么博通被跳过了一代
[20:57] 他没有被跳过
[20:57] 他就是有新的产品的产生
[20:59] 所以大概是这样子
[21:01] 那再来呢
[21:02] 我们也有去注意到说
[21:04] 在被动元件这边
[21:05] 接下来的
[21:07] 可能我猜快的话
[21:08] 7月初
[21:09] 还是会有新一波的涨价产生
[21:11] 那这边我就必须要去赞叹一下
[21:13] 市场的一个效率
[21:14] 那我们的节目听众知道
[21:15] 虽然我自己是
[21:16] 有看到被动元件的趋势
[21:18] 也有在第一时间跟大家讲
[21:19] 可是那时候我心中的一个OS
[21:21] 跟我实际上讲出来的说法
[21:22] 是有对到
[21:23] 就是说其实电阻
[21:24] 我感觉它应该是
[21:25] 没有这么好的一个市场
[21:26] 可是我们最近开始去密集的注意到
[21:28] R-chip的一个涨价的趋势
[21:30] 然后现在已经是
[21:32] 怎么讲
[21:32] 有点像压不住了
[21:33] 终于要持续的喷射上去
[21:35] 那我自己的猜想是这样子
[21:36] 因为一开始我们去
[21:38] 做这些产业研调的时候
[21:39] 我们就注意到说像电阻的驾动率
[21:41] 它真的是相对低
[21:42] 就如果说你电容跟电感都没有喷上去的话
[21:45] 那你去讲电阻太怪
[21:46] 因为它那个驾动率就是没有上去
[21:48] 但可能就是在这一波被动源间
[21:50] 因为终于被市场发现
[21:51] 前面讲的时候
[21:52] 你知道其实有很多严调单位
[21:53] 或是很多的券商报告的人
[21:55] 他们都认为说
[21:56] 这不会有事情
[21:57] 这扩散很简单或什么
[21:58] 然后现在开始发现说
[21:59] 有点包不住了
[22:00] 开始要出大事了
[22:02] 火要烧起来了
[22:02] 那一些地方采购可能也意识到这件事情
[22:05] 所以我相信可能它的一个
[22:07] 就假设我们开上帝视角去看的话
[22:09] 是前面的一些料出现了被卡住
[22:12] 然后跟叫不到
[22:13] 所以导致说他怕后面的一些料会不会我动作慢
[22:17] 我也被卡住
[22:18] 所以他立刻的去做加单跟下单
[22:21] 所以才会导致说一些店主
[22:22] 我们也开始发现说在市场里面
[22:25] 就是他供需的状况开始变紧
[22:27] 甚至有些涨价先会发出
[22:28] 甚至有一些说法是后面的一些涨价的主轴
[22:31] 在短期内你会看到的是店主
[22:33] 因为前面的店容已经是相当程度有去做一些涨价
[22:36] 而且有成功的反映到一些大型的EMS或是ODM
[22:39] 他们是有接受涨价的
[22:40] 而且中位数的数字
[22:42] 在过去几集有跟大家讲
[22:43] 中位数的数字是超乎我们的预期
[22:45] 所以电阻后面也会看到一些涨价的产生
[22:49] 功率元件最近的话
[22:51] 就像上集跟大家讲到
[22:52] 它可能比较偏向是一个产能的问题
[22:54] 必须要去克服
[22:55] 甚至后面会产生的问题是
[22:57] 如果没有办法拿到这些
[22:59] 当然最密集使用的可能是8寸晶圆的话
[23:01] 有可能它的营收获利就不一定可以开出来
[23:04] 所以可以掌握
[23:05] 不管是你自己是有垂直代工
[23:07] 去制造晶片的能力
[23:09] 或者是你有去secure到
[23:10] 不管是在一些
[23:11] 成熟制成的厂房
[23:12] 或是后段的风车
[23:13] 那就有机会
[23:14] 你在后面可以开出一些成绩
[23:15] 所以目前
[23:16] 以我们的角度来看的话
[23:18] 整个市场上的结构
[23:19] 并没有发生太大的一个转变
[23:22] 比较平常是
[23:23] 因为可能前面就涨很多
[23:25] 所以出现一些拉回的现象
[23:28] 市场里面的一些利多
[23:30] 之所以没有办法
[23:31] 去对它做驱动
[23:32] 就像是联发科的一个涨价线
[23:33] 或者是说像是Triggerfish
[23:35] 就额外再多了一个东西
[23:36] 為什麼可能沒有去動或怎麼樣
[23:38] 就有可能就是當然前面漲多
[23:40] 然後再來就是因為其實市場下
[23:42] 就是在一個回檔的一個狀態
[23:44] 所以去看一些東西是不一定是準的
[23:46] 但是其實在今天的尾盤
[23:48] 我覺得已經有注意到一些不一樣的情形
[23:51] 就是開始有一些東西有在拉尾
[23:53] 以我們的角度來講
[23:54] 就這些拉尾的東西就有機會會是
[23:57] 假設國際盤在今天晚上穩住
[24:00] 然後明天開始要反攻的話
[24:01] 就會衝底棒的東西
[24:03] 所以整體來看
[24:04] 像我自己是沒有在部位的
[24:06] 总水位上面去做太多的一个调整
[24:08] 就是反正
[24:09] 以我的想法就是
[24:10] 当今天可能哪些东西
[24:11] 有一些邦匹的状况产生
[24:13] 我就调一点调一点
[24:14] 但是我会去找新的东西去弄
[24:16] 那现在市场给我的一个感受就是
[24:18] 其实新的东西还是非常多
[24:19] 在那边排队
[24:20] 所以并没有到特别紧张的一个感觉
[24:23] 那我们也不喜欢当预言家
[24:24] 就是在某个地方去猜说
[24:25] 这里就是反转的开始
[24:27] 我觉得这是没有意义的
[24:28] 反正去做交易或者做投资
[24:30] 就是你看到什么
[24:31] 你就去做相对应的东西
[24:32] 那有时候甚至要去把自己的一些
[24:34] 那种敏感度的东西调低一点
[24:36] 因为假如太敏感的话
[24:37] 就像是之前跟大家分享
[24:39] 有些人会去用那什么
[24:40] CNN的恐惧贪婪指标去做交易
[24:42] 那个不太可能
[24:43] 我再想说
[24:44] 就整天在贴这些东西
[24:45] 搞不好自己不一定有在交易
[24:47] 因为你真的这样子做的话
[24:48] 你就是每天在最高杀低
[24:50] 简单来讲是这样
[24:51] 你交易的频率太高了
[24:53] 所以你根本什么波段都不用报了
[24:54] 你是这样
[24:55] 你要做日内当冲的话
[24:57] 那你不应该是用手动在点
[24:59] 所以就是有一些那种
[25:00] 比较短期的讯号
[25:01] 其实真的是不用太在意
[25:03] 但你可以理解
[25:04] 就是因为市场随时都有新的人加入
[25:06] 如果当然你是在过去一两个月加入的
[25:08] 你看到一定觉得说很烙赛
[25:10] 我想我身边朋友开始有些
[25:11] 自己的邻居来
[25:13] 他们有说大场面
[25:14] 我想说这个真的不是大场面
[25:16] 这个真的离大场面非常远
[25:18] 如果说真的大场面出来
[25:20] 应该就往生了
[25:22] 应该会往生
[25:22] 所以还是要非常小心就是说尽量不要因为短线的一些波动而产生然后就对市场是直接全面的改观没有必要这样子就如果你发现你的情绪会在
[25:33] 可能两三个礼拜之间
[25:35] 变换三四次以上
[25:36] 你应该是哪里做错了
[25:38] 应该是哪里做错
[25:39] 所以大概跟大家报告一下
[25:41] 就是下下市场自己的一些看法
[25:43] 然后跟正在发生中的事情
[25:45] 目前看起来是no change
[25:47] 没有什么特别的变化
[25:48] 比方说就涨多稍微的休息一下
[25:50] 那后面可能明确的有看到一些新的趋势
[25:52] 才有办法再跟大家去做一些剖析
[25:55] 好 大家就这样子
[25:56] 好 那接下来我们就来进入Q的部分
[25:57] 第一位Lan Young
[25:58] 那应该不是L
[26:00] 那应该是I
[26:01] Ean Young
[26:02] 孟公想请你用猛男的声音
[26:03] 对台南的士气说
[26:05] 在台南一个人搏起会不会很孤单啊
[26:07] 有时间上来台北一起硬啊
[26:09] 还有想请孟公报名牌
[26:11] 最爱喝的手摇饮
[26:12] 是哪一家的什么品项呢
[26:14] 冰块甜度
[26:15] 感谢孟公
[26:15] 祝孟公全家身体健康平平安安
[26:17] 以前还是学生实习的时候
[26:19] 非常喜欢喝清新的多多绿
[26:21] 微糖少冰
[26:23] 那这个是我最有印象的东西
[26:25] 后来稍微的长大一点之后
[26:27] 我就加入了无糖茶的行列
[26:29] 那我后来发现各家的无糖茶
[26:31] 我都可以找到他的故宗奥妙
[26:34] 我都会觉得说
[26:35] 他可能有他有趣
[26:36] 或是很赞的一个点
[26:39] 就是我没有办法去帮他分一个稿下
[26:41] 可能今天喜欢喝这家
[26:42] 明天喜欢喝那家
[26:43] 所以只要是无糖茶少冰
[26:45] 对我来讲都是喜欢赞
[26:47] 大概是这样子
[26:49] 林口有一个卖乌龙茶
[26:50] 我暫時忘記他的名字
[26:52] 在Outlet裡面有
[26:54] 烏龍茶的什麼春茶青茶什麼的
[26:56] 我覺得都蠻不錯的
[26:58] 還有貝茶
[26:58] 就我一次點三種
[26:59] 然後放在冰箱裡面
[27:00] 下面一位
[27:01] 甲賀忍蛙
[27:02] 甲賀甲賀
[27:03] 夢宮能夠理解一下小朋友的六七嗎
[27:06] 他們要把它稱什麼
[27:07] Six Seven
[27:08] 就是不知道講什麼
[27:09] 就Six Seven
[27:10] 不能理解
[27:11] 不曉得諾亞會不會
[27:13] 你會對他比六七的手勢
[27:15] 他搞不好會回應你
[27:16] 請問床蕩到現在
[27:18] 還有恍然大悟的時候嗎
[27:19] 可以聊你在最开始
[27:21] 每增加一位数的心态转变吗
[27:22] 以你相对快的累积速度
[27:24] 当时认知卡很久吗
[27:26] 还是很快就掌握
[27:27] 再来一次挂号没有现在的认知
[27:28] 你还会用当时的打法吗
[27:30] 以及当时的心态是死了算了
[27:32] 大不了回去改飞机
[27:33] 还是更相信自己的研究策略跟认知
[27:36] 先讲前面
[27:37] 就是Six Seven他是不会
[27:39] 但是他有一个什么
[27:40] 阿嬷掉进洗衣机
[27:42] 然后什么阿公打我屁屁
[27:44] 我一直在想说这大家傻小
[27:45] 为什么他跟他一些同学
[27:47] 在外面都在唱这个
[27:48] 然后后来我去跟林口父爸爸
[27:50] 就林口的一个同业聊天
[27:52] 他说他女儿有在唱这个
[27:53] 他女儿跟我儿子的年纪
[27:54] 是有一个差距的
[27:56] 所以这好像变成一个
[27:56] 那种全球现象还是怎样
[27:58] 就是全台现象
[27:59] 然后后来我再去问
[28:00] 我的健身教练
[28:01] 他的女儿也知道这个
[28:03] 所以对
[28:04] 我不知道这是什么东西
[28:05] 这可能有点类似说
[28:06] 以前我们在客家庄
[28:07] 就是会有那什么
[28:08] 欧洲 荷兰 意大利 墨西哥
[28:10] 不是世足在
[28:11] 欧洲 哈兰 意大利 墨西哥
[28:13] 肮脏的睾丸
[28:14] 超大一颗 没有洗过
[28:15] 就是那些那种
[28:16] 小朋友的go to phrase
[28:17] 然后看到别人就要讲这个
[28:18] 就有点类似
[28:19] 他们家什么阿嬷掉进洗衣机
[28:21] 什么阿公拿锅子打我屁屁
[28:23] 然后就哈哈哈哈狂笑
[28:24] 我觉得一点都不好笑
[28:25] 但我还是会稍微配合一下
[28:27] 然后再讲说
[28:28] 会不会有那个恍然大悟的时候
[28:30] 我觉得至今都还是有
[28:31] 甚至是一段时间没有那种
[28:33] 我又学到什么
[28:34] 又恍然大悟的感觉
[28:35] 我觉得非常的失望
[28:36] 那这个东西不一定是在股票跟市场里面
[28:39] 也有可能是在生活之中
[28:40] 也有可能是在一些兴趣的发展上面
[28:43] 就在说像我刚才自己都吓到
[28:45] 为什么我开头可以跟大家洋洋洒洒的讲说
[28:48] 我对这些东西的看法
[28:49] 就这个东西其实我入坑没有多久
[28:51] 但我真的非常认真的研究
[28:53] 所以我就真的就是有办法讲出一些东西
[28:55] 所以这就是另外一个恍然大悟
[28:56] 是我没有乱花钱
[28:58] 我真的有学到一点东西
[28:59] 所以就还蛮高兴的
[29:00] 然后再讲说每增加一位数的心态转变
[29:03] 其实就只有大概到百到千
[29:06] 蛮有印象的
[29:07] 可是后面都没有什么印象
[29:09] 后面数字在往上加都没有印象
[29:10] 像我今年去
[29:11] 有新办了一个账户
[29:13] 我还跟我老婆开玩笑说
[29:15] 因为他一直想说
[29:16] 你再去弄一个有草地的地方
[29:18] 然后让秋口可以跑
[29:19] 这是他的愿望
[29:20] 我说不然这个账号
[29:21] 你看年底到多少钱
[29:23] 就让你去做你想要做的事情
[29:25] 就早就打标了
[29:26] 也是打标数倍
[29:27] 这个是我连想象都不敢想的
[29:29] 当然也没有觉得很高兴
[29:31] 就只是你没有这样的预期
[29:33] 可是当它真的发生的时候
[29:34] 你也没有觉得说很高兴
[29:35] 或者说你的生活形态就改变
[29:37] 就多花钱
[29:37] 它就是工作的一环
[29:39] 那你说当年的感觉是怎么样
[29:43] 我记得
[29:44] 你第一次變百萬的時候
[29:46] 覺得說啊
[29:46] 第一桶金百萬富翁
[29:48] 那只是當然你一下就發現說
[29:49] 第一桶金已經在這個時代
[29:51] 好像也不能夠幹嘛
[29:52] 那後來到千萬的時候
[29:53] 甚至是沒有百萬高興
[29:55] 為什麼
[29:55] 因為到千萬的時候
[29:56] 你肯定認識一些人
[29:57] 認識一些怪物
[29:58] 所以你就會覺得說
[29:59] 我到底在幹嘛
[30:00] 人家賺這麼快
[30:00] 我到底在幹嘛
[30:01] 那到現在呢
[30:02] 我上面都還是有一大堆的怪物
[30:04] 在那一邊
[30:05] 那我也不會想要去
[30:07] 怎麼講追上人家
[30:08] 或是怎麼樣的
[30:09] 以前會覺得
[30:10] 我就是要跟進
[30:11] 那可是我現在的想法是
[30:13] 因为其实对我们来讲
[30:14] 生活都是就够用的
[30:16] 可以活好几个辈子
[30:17] 所以要去做一些有益的事情
[30:19] 对我来说是这样
[30:20] 我的人生规划是
[30:21] 我认为就是不应该只有股票
[30:23] 股票是一个很好的东西
[30:25] 我非常喜欢
[30:25] 我也很热情的投入
[30:27] 但不应该只有股票
[30:28] 因为我会去假设说
[30:29] 假设我今天挂了
[30:30] 我会觉得很后悔
[30:31] 我都只有在做同样一件事情
[30:32] 所以就是应该要去做更多的事情
[30:35] 总之就是对我来说
[30:37] 并没有太多所谓的思想上的大转变
[30:41] 或是心态转变
[30:42] 但要用一个比较笼统的方式来说的话
[30:45] 越来越沉默了
[30:46] 就是以前你可能看到一些东西
[30:47] 又想去跟人家吵架
[30:48] 想去跟人家辩论或什么的
[30:49] 然后后来你就会知道说
[30:50] 可以救的就是可以救
[30:52] 不能救的就是不能救
[30:53] 你越来越去理解说
[30:54] 每个人都是很属于在他的这个地方
[30:57] 当你觉得你不属于这个地方
[30:59] 你要去做改变
[31:01] 你才会跑到下一个地方
[31:02] 不只是心态上
[31:03] 或是面对事情的态度或什么的
[31:05] 对
[31:06] 所以你大概是怎么样认知
[31:08] 你就会停在什么地方
[31:09] 之所以我没有卡很久的一个主因
[31:10] 是因为我算相对幸运的
[31:12] 我有认识一些贵人
[31:13] 然后他们会把我往上打
[31:15] 那你各位也不要觉得
[31:16] 你们没有认识贵人
[31:17] 其实这个节目
[31:18] 当然我们不要往自己脸上贴金
[31:20] 可是你就想一堆小白跑来听
[31:22] 什么都不知道的
[31:23] 我刚刚讲说
[31:24] 你就买个指数就好
[31:25] 他随便买个指数
[31:26] 他就屌干一堆人的
[31:28] 他把一堆
[31:29] 整天梦想要什么全职交易的
[31:31] 屌干在地上
[31:32] 他根本就什么都没做
[31:34] 就买那个东西而已
[31:35] 所以严格上来说
[31:36] 就这个就有帮到你了
[31:37] 你知道我当年是
[31:38] 没有人会跟我讲说
[31:39] 可以买这个东西的
[31:40] 我是后来自己知道说
[31:41] 其实0050是可敬的对手
[31:43] 他蛮屌的
[31:44] 有一天我打不赢他
[31:45] 我要加入他
[31:46] 所以你知道
[31:47] 就有人去点你这些东西
[31:48] 就有差了
[31:49] 然后再来就是
[31:50] 我觉得这个平台
[31:51] 有一个不错的点是
[31:52] 我自己去吸收到一些东西
[31:54] 我没有想要去输出
[31:55] 给大家教育大家的意思
[31:57] 因为你们怎么样干我屁事
[31:58] 我不认识你们
[31:59] 但我自己在反处
[32:01] 在思考的过程中
[32:02] 如果你们也可以跟着
[32:03] 去吸掉一点东西
[32:04] 那是蛮不错的
[32:04] 所以像我自己
[32:05] 很喜欢的事情是
[32:06] 我反而不喜欢去抓着
[32:07] 一个人狂问他问题
[32:08] 我喜欢
[32:08] 你就让我坐在旁边
[32:09] 我听你们讲话就好
[32:10] 然后最好是我自己也不用讲
[32:12] 就听你们讲话
[32:13] 类似我去那种品酒会
[32:14] 听人家讲话
[32:14] 就学到超多东西
[32:16] 在人家对话之中
[32:17] 可以学到蛮多东西的
[32:18] 所以对心态转变的话
[32:21] 因为我一直都是抱持着
[32:22] 类似Fake it, Tell you, Make it的心态
[32:24] 不是去假装成为自己不是的人
[32:26] 而是你去模仿
[32:27] 你模仿人家是怎么样做
[32:29] 所以对我来讲
[32:30] 我心态转变没有到很困难
[32:32] 当然绝对数字
[32:33] 这个是对每个人来讲
[32:34] 都是一个挑战
[32:34] 到现在都还是
[32:35] 我说你自己靠你自己的日内震荡
[32:37] 这个震荡的钱
[32:38] 可以做什么事情
[32:40] 我怎么允许震荡的发生
[32:42] 可是你也不能够矫枉过震
[32:43] 就如果说
[32:44] 你一直想避免这些震荡的发生
[32:45] 你什么小都抱不住
[32:46] 你就不会赚到大钱
[32:47] 你就要一直持续的去辛苦的赚小钱
[32:49] 所以那个确实是一个
[32:51] 需要去调试的东西
[32:52] 然后再来讲说
[32:53] 会用当时的打法
[32:55] 我觉得我不会去开到太大的杠杆
[32:57] 可是其实我一直以来
[32:58] 都算是一个相对保守
[32:59] 我已经跟大家讲过很多次
[32:59] 我是没有被追缴过的人
[33:01] 这个应该是很罕见
[33:03] 很多来跟你分享投资什么
[33:05] 他们都被追缴过
[33:06] 甚至有几个是破产过
[33:07] 我不知道去凑人家怎么样
[33:08] 我意思是说
[33:09] 那个对我来讲是不可以接受的事情
[33:11] 就是这个是一个很基础的风鸿
[33:13] 所以你如果让我再来一次的话
[33:15] 我还会再更小心
[33:16] 是这样子
[33:17] 我宁愿稍微慢一点
[33:17] 我也不要让自己有风险
[33:19] 因为你知道现在有蛮多人
[33:20] 很流行那一种
[33:20] 反正就是保证金已经全包用光
[33:23] 打到底那种
[33:24] 你要去想
[33:25] 你在你的人生的范围内
[33:26] 你一定会遇到几次
[33:28] 我们随便举例
[33:29] 突然川普又决定要去打谁
[33:31] 突然间习近平决定说
[33:33] 我去弄一下金门或什么的
[33:34] 最后面可能半年后回头看
[33:36] 没事情
[33:36] 可是当下大恐慌跌停
[33:38] 你知道很多人杠的方式是
[33:40] 他可能一根或是一根半
[33:41] 他会直接归零
[33:42] 因为他杠的倍数太大了
[33:44] 所以你不要去做那些
[33:46] 可以让你立刻被秒杀的事情
[33:47] 这个可能是还蛮重要的
[33:49] 所以简单来讲
[33:50] 就是这边简单来跟你分享一下
[33:51] 下面一位
[33:52] Hell 孟公安安
[33:54] 来跟Lisa告白
[33:55] Lisa脸书会分享
[33:56] 收容所黑狗的讯息
[33:58] 本身喜欢动物
[33:59] 也喜欢喜欢动物的人
[34:00] 爱Lisa
[34:01] 那也想跟大家说
[34:02] 想拥有跟Choco一样可爱的狗
[34:04] 可以多去收容所逛逛
[34:06] 我老婆今天才刚从收容所回来
[34:08] 她真的蛮屌
[34:09] 她每次去收容所
[34:10] 她都会尽可能的
[34:11] 把所有狗都带出去遛一次
[34:12] 就是收容所有两层
[34:14] 那有些狗在上面的
[34:15] 他们可能就
[34:16] 不再想要去抱上面的狗
[34:17] 就有些人去就觉得说
[34:18] 也不怪人家
[34:19] 因为大家
[34:20] 都已经来帮忙了
[34:21] 已经是很可贵了
[34:22] 每个人体力有限
[34:23] 可是我老婆就是会有那种
[34:24] 很硬气的态度
[34:25] 每只我都要抱下来
[34:27] 都要带出去散步
[34:28] 所以她是真的
[34:29] 对狗是付出非常多
[34:30] 我觉得她喜欢狗
[34:31] 是远大于人
[34:32] 或是他老公
[34:33] 大概这样
[34:34] 下面一位
[34:34] 凭证留言密码
[34:36] 老公好
[34:36] 感谢老公制作优质节目
[34:38] 不管这个节目未来有没有
[34:40] 都希望老公
[34:40] 愿意有新东西可以玩
[34:42] 刷爆人生的体验
[34:43] 最后也祝我太太
[34:45] 那四个字
[34:45] 是生日快乐
[34:47] 不是你娘卡好
[34:48] 也祝观众们讥笑喷色
[34:50] 这他讲不做假
[34:51] 然后这个
[34:51] 凭证留言密码
[34:53] 他大头贴
[34:53] 我是不是在IG有看过
[34:55] 你是不是V开头的一个兄弟
[34:56] OK
[34:57] 我们先祝你太太
[34:58] 那四个字
[34:59] 你娘卡好
[35:00] 也希望他生日快乐
[35:02] 非常感谢你对我的祝福
[35:05] 就永远有新东西玩
[35:06] 对我来讲
[35:06] 可能是蛮重要的事情
[35:07] 下面一位
[35:08] 我把你当兄弟
[35:09] 你把我当烟地
[35:10] 看到尬电工被泼碎物
[35:13] 让我想起
[35:14] 还是那是废物
[35:16] 就脏东西
[35:16] 废物还是碎物
[35:17] 二十几年前
[35:18] 我老爸传授的泼石心法
[35:20] 一 石一定要煮过
[35:22] 才能够发挥最大的熏味
[35:24] 二 要加入适量的油漆
[35:26] 喷洒石才可以附着在建物上
[35:28] 久久不能清理
[35:29] 我好像不应该把这段念出来
[35:32] 因为他把泼屎的秘技教出来
[35:34] 我们这样不要去泼屎
[35:35] 你要知道这是违法行为
[35:36] 在这边稍微的宣导一下
[35:38] 我刚才也不应该笑的
[35:39] 下面一位
[35:39] 小明孟公安
[35:41] 为什么来这里教大家泼屎
[35:45] 孟公安
[35:46] 我去年去韩国首尔
[35:48] 觉得当地人力气很重
[35:49] 天天都被路人撞
[35:51] 不管男女老少都敢撞我
[35:53] 177 slash 82超勇的
[35:55] 今年朋友去回来说
[35:58] 几次被陌生路人请客结账
[36:00] 说股票赚很多
[36:01] 是我性别错误
[36:03] 还是韩国人股市赚太多
[36:05] SK海力士
[36:06] 8月要在美国上ADR了
[36:08] 你认为捷马美光配置一部分吗
[36:10] 谢谢孟公
[36:11] 我没有办法给大家
[36:12] 买进与否的建议
[36:13] 那我自己是已经很久
[36:15] 没有再去买进记忆体股票
[36:16] 就剩美光有一些报纸这样
[36:18] 然后后来都在弄别的题材
[36:19] 你喜欢当然就多买一点
[36:20] 没有关系
[36:21] 然后再来讲说
[36:22] 韩国人戾气很重
[36:23] 这个我在可能几年前的节目
[36:25] 跟大家讲
[36:25] 因为我老婆那段时间
[36:26] 很喜欢去韩国
[36:28] 他喜歡去韓國去逛街
[36:29] 然後或者去弄一些醫美
[36:30] 不是整形
[36:31] 然後跟我講說
[36:32] 你也跟大家講說弄醫美
[36:33] 大家以為我整形
[36:34] 我老婆沒有在做整形
[36:35] 她就是可能去打一些東西
[36:37] 讓那個皮膚看起來亮晶晶這樣子
[36:39] 那時候蠻喜歡去韓國的
[36:40] 因為他們怎麼講
[36:41] 就是說蠻多老外
[36:42] 都是被韓國的文化影響
[36:44] 他們很喜歡去
[36:45] 那一開始去我自己都是非常不悅
[36:47] 所以那時候節目
[36:48] 就是很多時候要跟大家去
[36:50] 找到一些東西
[36:51] 然後來說服我自己
[36:52] 為什麼在韓國
[36:53] 我喜歡吃醬蟹
[36:54] 我喜歡什麼
[36:54] 但是我其實超級不喜歡去韓國
[36:56] 就韓國真的是一個
[36:57] 對男生來講很無聊的地方
[36:59] 可是老婆可能會很喜歡的地方
[37:00] 他們喜歡去逛那邊
[37:01] Olive Tree還是什麼
[37:02] Oliver
[37:03] Oliver什麼
[37:04] Oliver Young
[37:05] Oliver Young不是Olive Tree
[37:06] 反正他們就是有很多東西可以玩
[37:09] 那一開始都只是我在抱怨
[37:10] 不然說他們的人是比較兇一點的
[37:12] 然後再來就是
[37:14] 你去坐計程車的時候
[37:15] 應該在韓國有坐過計程車
[37:16] 不是只有一次的
[37:17] 你多坐幾次你一定會遇到
[37:19] 那機率太高了
[37:20] 因為我就整天都搭計程車
[37:21] 所以我非常的理解
[37:22] 他們超喜歡油門煞車
[37:25] 幹你老實
[37:26] 我想說以前我們在開車的時候
[37:27] 我這樣開車
[37:28] 我一定給我爸幹的
[37:29] 我一定給我阿嬤幹的
[37:31] 我阿嬤想說你開車是怎樣
[37:32] 你最後面那個煞車輕輕點
[37:34] 然後最後面要有點像滑行的姿態
[37:35] 甚至連停車的
[37:37] 那感覺又感覺不到
[37:38] 他們沒有在屌你
[37:39] 油門煞車油門煞車
[37:40] 所以你在韓國
[37:41] 就是很多事情都讓你不悅
[37:42] 然後有一次
[37:43] 我不是去改搭另外一個機場嗎
[37:45] 因為我朋友跟我講說
[37:45] 那個機場怎麼離市區比較近
[37:47] 比較快
[37:47] 不要去首爾的那個人船
[37:49] 要去那個機場
[37:50] 忘記叫什麼
[37:51] 反正我就跑到那個機場去
[37:52] 然後我第一次覺得
[37:53] 我可能會死在那邊
[37:54] 他就让一堆人挤到
[37:56] 那种手扶地全部挤满
[37:57] 我想说他们又发生什么
[37:58] 离太远什么有的没有的
[37:59] 就韩国真的是很多时候
[38:00] 会给你那种
[38:01] 就是我可能会死在这个地方的感觉
[38:04] 然后不然说像之前有一次去
[38:05] 也是遇到那种暴风雪
[38:07] 然后什么小都叫不到什么车都叫不到然后还收到那个简讯通知告诉你说要小心从北韩过来这边的高空气球我还去找翻译那个高空气球它里面写装什么装大便
[38:18] 他们装大便
[38:19] 然后来这边空投
[38:20] 我觉得说
[38:21] 这个地方真的很有想法
[38:22] 我真的很不喜欢
[38:23] 然后后来是
[38:24] 我老婆有一次去做SPA
[38:26] 然后给人家诈骗
[38:27] 真的是被诈骗
[38:28] 被拐钱
[38:29] 人家拐了钱
[38:30] 他超不爽
[38:31] 他跑出来跟我讲
[38:32] 一直哭
[38:32] 我想说我进去
[38:33] 要把他跟他输赢
[38:34] 想说算了
[38:35] 我们后面还有行程
[38:36] 你到底想怎么样
[38:37] 心中有去闪过一丝念头
[38:39] 要不要报警
[38:39] 后来才想到
[38:41] 人家跟我讲过
[38:41] 你在韩国报警
[38:42] 他们只会挺自己人
[38:43] 所以你不用报警了
[38:44] 你那个效率也超低
[38:45] 怎么办
[38:46] 我就跟阿朱马说
[38:47] 你现在要多少钱
[38:48] 他说他那个钱
[38:48] 我直接说我只要付你一半
[38:50] 你要不要收
[38:50] 他就想说
[38:51] OK
[38:52] Card or cash
[38:53] 我其实说
[38:53] 你妈这一群笨手
[38:55] 所以那时候去
[38:55] 印象不太好
[38:56] 但有时候还是会想到那个地方
[38:58] 因为还是有好的人
[38:59] 只是就是还有很多地方
[39:01] 会让你觉得
[39:02] 你会被冒犯
[39:03] 你会很不爽
[39:04] 他们是一个很竞争的地方
[39:06] 我感觉跟去香港越像
[39:08] 就是他们给我的感觉很像
[39:10] 就是一个
[39:11] 就是他们大家都在
[39:13] 你知道
[39:14] Fighting
[39:14] Everyday Fighting
[39:15] 他们可能压力真的很大
[39:18] 给你的感受是不太好的
[39:19] 但我有听说
[39:20] 就是最近可能
[39:21] 蛮多韩国人股票赚很多钱
[39:23] 生意率也拉起来了
[39:24] 说不定变成一个不一样的地方
[39:25] 有空再去
[39:26] 但我老婆那一次被气到
[39:27] 说再也不要去韩国
[39:29] 下面一位FAU
[39:30] 孟公很幸运
[39:31] 可以选择要mute掉哪些人
[39:33] 说不见面就不见面
