[00:00] 欢迎收听谷爱,我是圣梦公,本集节目由Sally赞助
[20:12] 現在就會覺得這些東西是實際上我一看就知道會影響到我的工作
[20:17] 我的生活或者說我的娛樂
[20:19] 他會直接去做很大幅度的躍升
[20:22] 所以看到這樣的東西是覺得超級的開心
[20:25] 在聯發課這邊我有去跟他們聊了一下
[20:28] 因為其實RTX Spark它會分兩個規格
[20:31] 反正就NYX跟N1
[20:33] 比較高規格的話它的ASP應該就是會落
[20:36] 我們不是在講晶片
[20:37] 我們在講說筆電出去應該大家要買到的話要9萬到10萬台幣左右
[20:41] 那如果是N1就是比較低規格的話
[20:43] 那應該是會在五六萬左右
[20:45] 那當然其實我也覺得要去買這個東西應該要直上
[20:48] 就是雖然大家都知道我是直上仔
[20:50] 所以你什麼都推直上
[20:52] 可是這個是真的要直上為什麼
[20:53] 因為你重點就是你要有這麼大的一個Unified Memory
[20:57] 你就要有這麼大的記憶體Po
[20:59] 所以你買比較低規一點的
[21:00] 其實我會覺得你應該會蠻失望的
[21:03] 因為有很多很酷的嘗試
[21:05] 或者是說可能過去一兩年還不敢拿出來
[21:07] 已經有這樣子的東西
[21:08] 但是知道拿出來
[21:09] 因為它會卡頓
[21:10] 你demo一定会给大家笑死
[21:12] 就是因为它有很大的unified memory pool
[21:14] 所以我会觉得说
[21:16] 那个记忆体的容量是很大的关键
[21:18] 你就是必须要买到那个顶规
[21:20] 那你才可以去跑一些
[21:21] local端的agentic AI
[21:23] 或者说去跑
[21:25] 前面所讲到的超快的剪片修图
[21:28] 跟图像rendering什么的
[21:30] 或者说游戏里面的补帧或什么的
[21:32] 那应该都是需要大量的memory
[21:33] 才可以去支撑这样的事情
[21:35] 所以我自己目前的猜想就是
[21:36] 等到那个RTX上了之后呢
[21:38] 应该会是高阶的销量要好一点
[21:41] 当然这是在理性的结果之下
[21:42] 说不定很多人是
[21:43] 长线党
[21:44] 然后他也没有认真去研究
[21:45] 他想说
[21:46] 我先买一个入门款
[21:47] 然后就入门款卖得更好
[21:48] 但我会觉得说
[21:49] 买入门款的人
[21:50] 应该会干掉
[21:51] 我会觉得说
[21:52] 他们应该会干掉
[21:53] 因为你要去塞
[21:54] 很大的模型
[21:55] 或是要做上述的东西
[21:56] 你都需要大量的集体
[21:58] 跟大量的算力
[21:59] 所以应该是要一次买到位
[22:00] 才会有机会
[22:01] 那这个产品会不会跟过去的
[22:04] 像高通啊
[22:05] 或者说我们知道MacBook
[22:06] 大家都有在推Local AI
[22:08] 高通的那一次
[22:09] 严格上来说是有一点失败
[22:12] 不能够怪他
[22:13] 而是说就时间还没有到
[22:14] 类似AIP那时候出来
[22:15] 我们也想说
[22:16] 他在几年之后
[22:18] 说不定有机会
[22:18] 可是在这个时间点出来
[22:19] 就一定是没有办法
[22:20] 因为时间是还没有到的
[22:22] 我觉得这是RTX Spark
[22:24] 目前纯用Demo的内容来看
[22:27] 我觉得他成功的几率会是高的
[22:29] 但他还缺临门一脚
[22:31] 临门一脚是什么
[22:32] 因为我说的成功几率高
[22:34] 是based on我现在的一个生活的做法
[22:36] 是怎么样
[22:36] 我用了很多的Property Computer
[22:38] 我已经开始有用很多的AI的内容
[22:40] 所以这些AI的内容对我来讲
[22:42] 因为我现在用的AI
[22:43] 并不是可能一般消费者
[22:44] 会去接触到的
[22:45] 我一个月几百块之中
[22:46] 我是一个月是付6000固定的月费
[22:48] 然后外加
[22:49] 我还会再去额外的买Token
[22:50] 因为这东西太好用了
[22:51] 它已经是在我的实务层面
[22:53] 就像说我现在要去买一些红酒
[22:55] 那我要知道说它在拍卖的价格
[22:57] 或说它在各个网站上的评价是怎么样
[22:59] 其实我透过Argent AI去爬超级快
[23:01] 而且很准确
[23:02] 就是他会去检查资料
[23:03] 那当然他准确跟超级快的一个代价是什么
[23:07] 就是说要花蛮多的钱
[23:09] 所以其实每个月可能都花了几万块在AI上面
[23:12] 而且他是很被动的一直出资进去
[23:14] 因为就好用嘛
[23:14] 你一直用嘛
[23:15] 他就一直上去
[23:15] 所以不是说什么
[23:16] 我去买一个东西
[23:17] 那我都没有来用
[23:18] 而是因为你就是真的把用量都用完的
[23:20] 所以在我的角度会去考量的是
[23:22] 如果说有些东西可以把它结合到地段的模型的话
[23:26] 就类似我们前面在聊Snowflake
[23:28] 可能有些东西下次要外包到LRM
[23:30] 没有办法
[23:31] 那等到你开始有些data
[23:32] 把它建立进来之后
[23:32] 有些东西可以在地端
[23:33] 直接去跑的话
[23:34] 那说不定每个月
[23:36] 你就可以省下
[23:36] 我们随便举例
[23:37] 一万块好了
[23:38] 那你省十个月
[23:39] 你的笔电就回来了
[23:40] 那是不是就很合理
[23:41] 就类似说像XAI
[23:42] 像他把他的Colossus
[23:44] 租给Amthropic
[23:45] 那个其实算下来
[23:46] 就是说一年内就有回本
[23:47] 那对你来说
[23:49] 你是不是就很有动机
[23:50] 去买这个硬体
[23:51] 所以我目前看下来
[23:52] 会认为
[23:54] 以我的这个使用前景来说
[23:56] 我非常有动机去买它
[23:57] 可是不是每个人会这样子做
[23:59] 所以那时候就问了
[24:00] 联发哥帮我展示的这位大哥
[24:02] 我就说这个可不可以打游戏
[24:05] 他就说NVIDIA的东西一定都是可以打游戏
[24:07] 因为他们就是从游戏起家的
[24:09] 这个RTX Spark
[24:11] 它虽然是很小的一个晶片
[24:13] 可是它大概是等效5070的东西
[24:15] 我就觉得这是有搞头的
[24:17] 如果说它是可以做到5070
[24:20] 并且因为在大量的记忆体之用之下
[24:24] 可以有很多的AI的功能导入
[24:25] 甚至去优化一些游戏
[24:27] 或者说一些软体的表现的话
[24:28] 那搞不好可以把这个5070等效的表现
[24:31] 又推到一个更新的高度
[24:33] 在后面的一些软体更新跟优化上
[24:35] 那他拿来打游戏就会很赞
[24:37] 就是说你花10万块去买一个
[24:39] 你不要想要的是AI笔电
[24:41] 因为AI不一定是很多人会用的东西
[24:42] 但是他家是AI笔电
[24:44] slash电竞笔电
[24:45] 那这样就不一样
[24:47] 因为电竞笔电本来就蛮贵的
[24:48] 那可是这一台电竞笔电
[24:51] 虽然我们家不会这样去行销它
[24:52] 但是呢我会用这样去看它
[24:53] 这台电竞笔电
[24:54] 它对可能比一般电竞笔电又再贵一点可是它是轻薄的因為很多電競筆電是超級厚的然後大家可能放很多的的風扇或什麼的當然其實我們現在講可能都太快了因為你不知道它會不會後來跑電腦
[25:06] 一些什麼軟體
[25:07] 或是說可能像是遊戲
[25:09] 然後有熱蕩的狀況產生
[25:11] 這個不太確定
[25:12] 你怎麼可以做這麼輕薄
[25:13] 所以這個還要再觀察
[25:14] 但如果說它在遊戲的部分表現很好的話
[25:18] 你買這台筆電
[25:19] 你就試想GTA6是不是要出了
[25:21] 你買這台筆電可以直接無痛打GTA6
[25:23] 買不買還可以順便搞AI
[25:25] 買不買 買
[25:26] 就很多人就會覺得說 賣
[25:28] Shut up take my money
[25:29] 所以我會認為說
[25:31] 如果可以把遊戲的東西
[25:32] 稍微的加強去講的話
[25:34] 搭配前面的工作性的軟體
[25:37] 生產力軟體
[25:38] 不管是剪片修圖什麼的
[25:40] 然後搭配Agentic的Local AI
[25:42] 大量的參數可以直接掛進去
[25:44] 我覺得這台筆電
[25:45] 至少我會買得很高興
[25:47] 而且我覺得它比前面的幾款AI筆電
[25:49] 會有更高的一個成功機率
[25:51] 大概這樣子
[25:52] 最後面我們去看了ASUS ROG
[25:54] 那我觉得这次ROG也是精锐尽出
[25:58] 他们已经是洪荒之力了
[26:00] 很明显
[26:01] 前面他讲他们跟市面上的
[26:03] 这个太太们宣战
[26:04] 那真的是直接宣战
[26:05] 他们就是做出很多的酷东西
[26:07] 那我稍微的侧面了解一下
[26:09] 就是其实好像今年的消费性厂家
[26:12] 蛮多都做了很多的酷东西
[26:13] 不管是可能在键盘上面
[26:15] 很夸张啦
[26:16] 现在开始会去做一些什么客制化
[26:18] 或者说很酷的内容
[26:20] 一些什么剑帽
[26:21] 它已经是像盲盒一样可以用抽的
[26:24] 那后面还有一个什么24K镀金的一个小背板
[26:28] 但是坐在那个根本就不会有人看到的地方
[26:30] 但是说你要低调奢华要炫一下的话
[26:32] 找那个女生来家里看猫咪的时候
[26:34] 那个键盘可以不小心
[26:35] 键盘翻过来了
[26:36] 怎么会有一个24K金的金卡在这呢
[26:40] 送你
[26:40] 然后这个可能就直接就结婚了
[26:43] 所以他们有很多这种看起来超级中二的东西
[26:47] 就是花一堆心力去强调产品的外观之外
[26:51] 连实用性的部分也都做得很好
[26:53] 为什么
[26:54] 因为消费级的表现不好
[26:56] 所以大家都必须要使出全力
[26:58] 然后看怎么样去吸引到更多的消费者
[27:01] 所以看到了
[27:02] 不管是他们跟T1联名的显示卡
[27:05] 然后再来就是像那些键盘滑鼠
[27:07] 或者说硬体电脑
[27:09] 你知道现在很夸张
[27:09] 它现在的主机
[27:11] 以前我们的主机是怎样
[27:12] 就是说RGB三原色
[27:13] 我讲说那个是宅男的博文灯
[27:15] 只是没有想到博文灯下已经进阶到
[27:17] 我就直接放一个面板在那边
[27:20] 然后上面可以去放自己客制化
[27:22] 自己去选的影片
[27:23] 那一开始我看到
[27:24] 想说谁会买这个东西
[27:25] 然后我隔壁
[27:26] 那个天钻法师
[27:27] 又跟我去看展
[27:28] 他直接想说
[27:28] 我会买
[27:29] 他直接说他会买
[27:30] 所以立刻就谈成了一个生意
[27:32] 然后看完之后
[27:33] 就立刻被说服了
[27:34] 所以你说电玩展
[27:35] 是不是有很多
[27:36] 像刚才前面讲
[27:37] 无关紧要的人
[27:38] 怎么跑进来
[27:39] 像那个法师
[27:40] 他其实根本就不需要看展的
[27:41] 他看现行的
[27:42] 他屌你基本面啥
[27:43] 他根本不管
[27:44] 他进来随便看一下
[27:45] 你看他就直接就买一台电脑
[27:46] 然后前面一堆那种
[27:47] 哈拉一大堆
[27:48] 讲说什么
[27:48] 那个谁进来怎么
[27:49] 你們到底會花多少錢
[27:51] 你們有花多少錢
[27:52] 隨便找一個像我講的這種路人進去
[27:55] 20萬的電腦直接就要給他刷下去
[27:57] 他就直接就要買了
[27:58] 當然現場沒有賣
[27:59] 後面就是要直接去買
[28:00] 然後看了周邊
[28:01] 他看了之後他就是要直接包鬼
[28:03] 要全包
[28:03] 所以你看大家還是要去敞開心胸
[28:05] 就是一些那種感覺是
[28:07] 他平常跟我不會來看展的
[28:08] 他被我帶來看
[28:09] 然後他就就是要買下去
[28:11] 這個是一些意外的發展
[28:13] 反正總之就是ROG的各種產品
[28:16] 現在開始是往那種精緻化的方向去走
[28:18] 然后外甲他们有给我展了一个眼镜
[28:21] 这个眼镜也非常厉害
[28:22] 我看下来我感觉它有点像是
[28:24] 轻量化的Apple Vision Pro
[28:26] 我必须得说当那时候Vision Pro出来
[28:29] 我去买的时候
[28:29] 我已经知道我自己会是一个盘子
[28:31] 但我其实还是蛮喜欢这个产品的
[28:33] 那我对它诟病的点就是说
[28:34] 它真的太重
[28:35] 所以我不会想要整天把它拿出来
[28:36] 那到现在老实跟大家说
[28:38] 它就是放着在那边养灰尘
[28:40] 虽然在过去有一个感动时刻
[28:41] 就是我曾经用它来录儿子
[28:43] 那后来去回放这些影片的时候
[28:45] 很感动
[28:45] 那会有换肢的效应
[28:46] 好像说你真的抱到这个孩子
[28:48] 那还是非常感动
[28:49] 可是真的太重了
[28:50] 它在生活中是难以去做应用的
[28:51] 所以这个就是回到
[28:53] 我们刚才前面所聊到的一个概念
[28:54] 就是什么东西是让你在
[28:56] daily basis
[28:57] 你也可以去使用的东西
[28:58] 这非常重要的
[28:58] 你不可以跟我讲太多太科幻的东西
[29:00] 可是它要付出巨大的代价
[29:02] 那个对人家来讲
[29:03] 就是很难去做到每天的尝试
[29:05] 可是ROG的这款眼镜戴上去之后
[29:07] 它给我的第一个感受是
[29:09] 它的画面是非常好的
[29:11] 然后跟流畅度或什么的
[29:12] 那就像是我那时候在看Vision Pro
[29:14] 甚至是超越了
[29:15] 然后它只是一个眼镜的重量
[29:17] 所以我很難去想像說
[29:19] 你再給他們一兩年的時間
[29:20] 他們會把這個東西
[29:21] 完成什麼樣子
[29:22] 所以其實我當下的想法
[29:23] 就是說
[29:24] 眼鏡可能真的是
[29:25] 非常有搞頭的東西
[29:26] 可能我們過去
[29:28] 看了很多的VR gargle
[29:29] 然後跟AR的一些demo
[29:31] 我們覺得說
[29:32] 這個東西可能還太遠
[29:33] 可是就是這次的電腦展
[29:35] 綜合剛剛前面所講的東西
[29:37] 它給我的感受就是說
[29:38] future is now
[29:39] 就是所有東西之下
[29:40] 都可以立刻實現的
[29:41] 而不是說
[29:42] 停留在紙上尬吹的環節
[29:44] 總之就是收穫非常多
[29:46] 那最后Mickey还带我们去看了
[29:48] SOOS的私展
[29:49] 他们一样在南港展览馆里面
[29:50] 有包一个小空间
[29:52] 那以前上上去的时候
[29:53] 是里面有什么机械狗
[29:54] 那这次一样没有看到机械狗
[29:55] 那但是呢他们多了蛮多
[29:57] 除了去展示伺服器之外
[30:00] 那伺服器一样
[30:01] 我觉得反正现在大家都差不多
[30:02] 那但是呢
[30:03] 他有去秀了一些软体的应用
[30:05] 然后这些软体的应用呢
[30:06] 可以快速的去识别说
[30:07] 哪个地方
[30:08] 哪一排的伺服器的哪一个环节
[30:10] 可能目前是有问题的
[30:12] 那可以立刻去做一些状况的排除
[30:14] 那他是跟我讲说
[30:15] 這些軟體的應用其實成如我節目所講的
[30:19] 你沒有辦法很輕鬆的說有AI agent
[30:22] 所以就不需要所有的軟體
[30:24] 因為真的不是這樣子
[30:25] 有些東西會下去有些東西會上來
[30:27] 在這些AI的coding的協助之下
[30:30] 其實他們更是做出了很多很實用的軟體
[30:32] 如果客戶要跟他們買這些東西的話
[30:34] 他都可以幫抖一起出去給他
[30:35] 所以看下來是印象深刻
[30:37] 所以總之就是以上我電腦展的感受
[30:40] 這次覺得是把很多
[30:43] 可能在过去是像纸上谈评的东西
[30:46] 直接把它非常扎实的展现出来
[30:49] 然后去加速大家的工作
[30:51] 他要做的诉求并不是在告诉你说
[30:54] 这是一个无人的世界
[30:56] 所有东西都自动化去跑
[30:57] 他在告诉你说
[30:58] 这是一个让你变得非常轻松的世界
[31:00] 你只要去下个指令
[31:02] 只要稍微的看一下
[31:03] 拿着咖啡让你的电脑去跑
[31:05] 那他就可以完成你的很多任务
[31:07] 那同时呢
[31:07] 你还是会维持很多的个人化色彩在里面
[31:10] 你不会因为说让AI去做
[31:12] 然后产出一个random的结果
[31:14] 它是把各种产出跟执行
[31:16] 变得更加的可视化
[31:19] 跟可以直接很无脑的
[31:21] 类似像是no code的一个形式
[31:23] 你可以用drag and place的方式
[31:25] 就可以完成超多事情
[31:27] 我觉得这个是我们期待的一个未来
[31:29] 我觉得这也是会让产业加速的一个
[31:31] 很有机会的一个未来
[31:34] 所以目前是觉得非常喜欢这一次的电脑展
[31:37] 大概这样
[31:37] 简单跟大家分享一下
[31:38] 因为聊一聊就已经没有时间了
[31:40] 没有时间跟大家聊说
[31:41] 因为大家知道说像昨天夜盘
[31:44] 已经出现了大场面
[31:45] 最深的时候
[31:46] 我看台子有摸到-10%
[31:48] 后来拉到-6%-7%
[31:49] 所以下礼拜大家就是braise for impact
[31:51] 也没有什么好讲的
[31:53] 因为我们本来就知道说
[31:54] 你束缚久了
[31:55] 你就是会要还
[31:57] 一定会有天罚
[31:58] 一定会有天钱
[31:58] 然后你在束缚的当下
[32:00] 你跟大家讲
[32:01] 当然老听众一定都知道
[32:02] 大家都已经实际做好心理准备
[32:03] 可是新的人一定不相信
[32:05] 股票只会涨
[32:06] 你看每天叠个一趴
[32:08] 那边干干叫
[32:09] 礼拜一就有大场面了
[32:10] 可是以我自己的角度來講
[32:12] 我覺得這樣子去洗一下籌碼絕對是好事
[32:14] 禮拜一這樣殺一殺
[32:15] 如果有些是鎖死的話
[32:17] 可能就需要再兩三天的時間
[32:18] 去把裡面的這些槓桿仔給清掉
[32:22] 融資融最大的
[32:23] 股息槓最大
[32:24] 其實過去的幾天已經有在殺股息了
[32:26] 那種股息槓最大
[32:27] 你看到一大堆股息8.45分開盤
[32:29] 直接開超低
[32:30] 然後接著馬上拉上來的
[32:31] 你知道怎麼開一個超低嗎
[32:33] 那就是那些人自殺了
[32:34] 因為沒有辦法
[32:34] 只要你要槓這麼大
[32:35] 那就被洗掉了
[32:36] 所以在後面可能還會有一陣子的腥風血雨
[32:39] 但其實整體看下來我覺得
[32:41] 我們在產業端這邊是沒有看到什麼太多的問題
[32:44] 特別是去電腦展更是充滿了很多的信心
[32:47] 所以我覺得就是過程之中
[32:48] 漲多也會可能跌的時候也會多一點
[32:51] 後面整理之後我們再看新的方向在哪裡
[32:54] 再持續的跟大家分享
[32:55] 希望大家在下一拜一
[32:56] 當然我們美股的朋友們
[32:57] 不然像我自己禮拜五已經去承受了
[32:59] 禮拜一換台股要承受一下
[33:01] 大家做好自己的心理準備
[33:03] 接下來進入Q&A部分
[33:04] 第一位林口區金城武都在同間健身房
[33:06] 怎麼完全沒有遇到過
[33:07] 夢工您好有兩點要請教
[33:09] 一要怎么学川普语音包
[33:11] 尝试好几次都不像
[33:12] 二目前25岁
[33:13] 美股绩效YTD目前是25%
[33:15] 括号自知偏烂
[33:17] 主要操作大权之股
[33:18] 但不太会有大涨大跌
[33:20] 采取短期持有获利
[33:22] 那虽然资金轮动较快
[33:23] 但常有卖飞的情况
[33:25] 有什么操作建议呢
[33:26] 能够开进口唱七里香吗
[33:28] 祝您全家健康幸福爱你
[33:30] 从上集就讲
[33:31] 就像已经开始有那个吃土的味道
[33:34] 只唱了出救命
[33:35] 现在没有办法唱七里香
[33:36] 那再来川普的语音包
[33:38] 我觉得你可以加上首饰
[33:39] 你试看看加上手势
[33:40] 然后跟稍微往前倾
[33:42] 然后头要这样歪一点点
[33:43] 应该就会更有办法
[33:45] 那再来说
[33:46] 你自己都知道说绩效没有到很好
[33:48] 那你再去问西部的操作
[33:49] 我觉得也是没有什么用
[33:50] 就是有时候还要从大方向去改变
[33:52] 选择比较重要
[33:53] 那再来才能努力
[33:54] 下面一位
[33:55] 对股市懵懵懂懂的小蜥蜴
[33:57] 向帅气幸福勇猛的孟公大大许愿
[34:00] 您好
[34:01] 最近因为男友的关系接触股外
[34:02] 男友是您的忠实粉丝
[34:04] 常常听他孟公长孟公短
[34:05] 也跟我分享一些贵节目的乐趣
[34:07] 还有孟公大大的幸福家庭
[34:09] 那在此想请孟公大大
[34:10] 用最幸福面满的声音
[34:11] 祝六月三号生日的
[34:13] 熏熏生日快乐
[34:14] 谢谢帅气幸福勇猛的孟公大大
[34:16] 那我们祝熏熏生日快乐
[34:17] 下面一位
[34:18] 愤怒小共玩的哥哥暖寿
[34:20] 孟公请你跟自己说
[34:22] 挂好大号压的声音
[34:24] 那四个字
[34:24] 你娘卡好
[34:25] 那或是用跟秋口的声音
[34:27] 祝自己生日快乐
[34:29] 生日快乐爱你
[34:30] 另外也在想
[34:31] 孟公484最近被太多人
[34:32] 说生日快乐
[34:33] 才突然狂爆发言
[34:34] 因为这两个留言
[34:35] 都跟生日有关
[34:37] 我自己是觉得还蛮好笑的
[34:40] 只是因为那个妈妈
[34:41] 她说她要抬轿
[34:42] 所以就
[34:43] 我怎么可以后面乱接话之类的
[34:45] 但我其实还蛮喜欢乱接话
[34:46] 因为上次乱接的话
[34:47] 严格上来讲叫普遍级的
[34:49] 我不知道大家是活在
[34:50] 什么粉红泡泡的世界是不是
[34:52] 因为发现
[34:53] 当然绝大多数的听众
[34:54] 都是说很好笑很好玩
[34:55] 那还是有少部分就是说
[34:56] 好像我讲了什么很严重的话
[34:57] 赶快滚回去
[34:59] 要不要看巧虎
[34:59] 还是有很多这种怪小
[35:01] 还是觉得这个节目大了
[35:02] 有时候会唠叨一些
[35:03] 我真的很不喜欢的人
[35:04] 你觉得这个很严重
[35:05] 你赶快回去听巧虎
[35:08] 下面一位
[35:08] 我白头昂庆星
[35:11] 那六月六号是什么好日子
[35:13] 被念到可以吹一辈子
[35:14] 孟公你听过第二根脚趾头
[35:15] 比大拇指长的玄学吗
[35:17] 据说第二根脚趾较长的
[35:19] 俗称希腊脚
[35:20] 人生通常顺遂
[35:21] 不需要去走太多的弯路
[35:23] 那不知道孟公去搞脚趾头
[35:24] 是什么脚
[35:25] 我有试着找你穿拖鞋的照片
[35:27] 放大来看
[35:28] 但还是看不太清楚
[35:29] 如果有幸被您念到留言
[35:30] 可以po在线洞
[35:31] 你脚趾头给我看吧
[35:32] 拜托了生日快乐爱你
[35:33] 那对了我也会拍我的脚趾头给你看
[35:36] 我一点都不想看
[35:37] 拜托不要突然间什么拍脚趾头
[35:40] 还什么奇怪的照片
[35:41] 有些奇怪的照片不要讲
[35:43] 怕给人家一些灵感
[35:44] 但我有一个朋友他开那个按摩店
[35:46] 然后就会有人传那个屌照给他
[35:49] 他没有想法
[35:50] 整组直接传给他
[35:51] 然后他就要去报警很麻烦
[35:52] 那脚的话
[35:54] 我刚刚叫他什么罗马脚
[35:56] 就是1234
[35:57] 那是比较这个序列排列的
[35:59] 那如果是西拉脚的话
[36:02] 就是第二个比较长
[36:02] 我知道很多人都这样子
[36:03] 我們家裡也有人是那樣子
[36:04] 我不是我是這個第二根是
[36:06] 拍在第一根後面這種大概是這樣
[36:09] 那你說第二根比較常見我們比較順遂
[36:11] 好像還好
[36:12] 下面一位2026績效大爆社三個問題想問
[36:16] 16小孩的時候會放著6還是一直盯著
[36:18] 孩子阿公都說放給他自己玩就好
[36:20] 掛號每天都愛帶他
[36:21] 但我帶的時候就是沒有辦法
[36:23] 哪不全程盯著掛號非生父
[36:25] 二公口問題你是屬於無毛派還是有毛派
[36:28] 因為你們是東西方合併家庭會請向哪一邊
[36:31] 如果是無毛派會請人處理嗎
[36:33] 三一直看到Frez有人在谢谢你
[36:35] 讲Marvel跟被动元件什么的
[36:36] 总觉得这些人很快乐宝贝
[36:38] 还是我才是
[36:39] 就是觉得看的很白痴
[36:40] 第一个我是属于会盯着看的
[36:43] 那如果说你们家是长辈去放小孩的话
[36:46] 我更觉得要盯着看
[36:47] 因为长辈的速度会比较慢一点
[36:49] 那所以建议都还是要看着
[36:51] 那第二个是乌猫派有猫派
[36:53] 我觉得有猫比较好一点
[36:54] 那第三个
[36:55] 对我也是蛮不喜欢这样子的东西
[36:58] 因为像之前大概半年还一年前吧
[37:01] 我就印象深刻
[37:02] 那時候也是反正我在美國也是突然間killing spree
[37:06] 這表現的還蠻好的
[37:07] 然後後來因為我在看好那個SDR Labs
[37:10] 那SDR Labs大家都知道說
[37:12] 他從200多就直接摔到100
[37:14] 反正就直接摔成狗就對了
[37:16] 我是沒有後來去看怎麼樣
[37:18] 可是那時候我就記得說有蠻多人就說
[37:20] 你看他什麼過去表現超強
[37:22] 就是無腦根就對了就支持他
[37:24] 其實我很不喜歡看到這種
[37:25] 因為什麼叫做支持我什麼叫無腦根因為老實講幹你賺錢與否跟我一點關係就沒有我這邊也沒有說什麼收費所以呢如果你在那邊催我很好的話我會賺比較多錢沒有就是蠻多人會把他自己的選擇外包給我
[37:39] 就是說因為我是相信孟公
[37:41] 所以我幹嘛
[37:42] 所以我看到這種
[37:43] 我想法跟你一樣
[37:44] 但我很意外有人的想法跟我一樣
[37:46] 因為我有一般聽眾只會覺得
[37:47] 就蠻中性的看這件事情
[37:49] 但我自己會覺得
[37:50] 那你自己的事情
[37:51] 就像現在有些人開始會說什麼
[37:53] 聽我講完他就決定要去做什麼事
[37:54] 沒有你幹你不要說那是我
[37:56] 那是你自己的事情
[37:57] 你不要把选择
[37:58] 好像说放在别人身上
[38:00] 那我也不是说什么
[38:01] 我要去逃避责任什么
[38:02] 如果今天是
[38:03] 就像说我是你的financial advisor
[38:04] 我有收你的钱
[38:05] 我是你的理专
[38:06] 我有收你的钱
[38:07] 你当然是要找我负责
[38:08] 这是没有问题
[38:09] 可是我也没有收你钱
[38:10] 那我在节目分享的东西
[38:12] 就是老实讲
[38:13] 我也觉得这个节目的走势
[38:14] 实在还蛮特别的
[38:16] 就最早其实真的是我
[38:17] 为了要去交一些股票圈的朋友
[38:18] 那有这个东西
[38:20] 然后后来就出圈了
[38:21] 所以出圈之后
[38:21] 你发现我有些东西
[38:22] 会讲的比较收一点
[38:23] 因为有些听众是
[38:25] 不特定多數人
[38:26] 他不一定懂股票
[38:26] 你講了這個東西
[38:27] 嚴格來說
[38:28] 你有機會會害到他
[38:29] 如果大家看久
[38:31] 會知道說一些標的
[38:32] 我們不用講西部每個標的
[38:34] 我們講台股好了
[38:35] 台股這種
[38:36] 現在4萬多點
[38:38] 4萬多點的一個股票
[38:39] 然後竟然在過程中
[38:40] 這麼多人會賠錢
[38:41] 所以一個同樣的東西
[38:43] 還是會有很多人賠錢
[38:44] 除了說一些技術實力
[38:46] 認知能力之外
[38:47] 腦力抗壓性或什麼
[38:50] 全部都要去放行考驗
[38:51] 所以就是不要去講說
[38:52] 我都是聽誰講的
[38:54] 然後我去買
[38:54] 我觉得这种人就是拿香根拜的
[38:56] 拿香根拜的
[38:57] 你有看过哪一个拿香根拜的
[38:59] 最后面走得很好的
[39:00] 大家自己他妈的动动脑
[39:01] 所以对我也是觉得看到这种人
[39:03] 会比较浮躁一点
[39:04] 下面有位
[39:05] 宜兰小农停为腰酸背痛的小农
[39:08] 害孟公小弟身受腰酸背痛困难好一阵子
[39:10] 那本来想说应该是长期务农
[39:12] 加上年纪增长的关系
[39:13] 就没有太在意
[39:15] 听到孟公分享之后才开始在想
[39:16] 也许我不必如此
[39:17] 对那时候就是
[39:18] 我的想法就是这样
[39:19] 也许我不用这样子
[39:21] 那不知道怎么像孟公这样的健身教练
[39:23] 有什么关键字
[39:24] 能不能请Ren哥分享一下
[39:25] 那另外孟公如果有空来宜兰
[39:27] 欢迎来树仔夏农场走走
[39:29] 我很乐意带你们全家下田体验种稻
[39:31] 非常感谢
[39:32] 可能不是体验
[39:34] 可能就是如果说
[39:35] 这样的盘再维持一段时间的话
[39:37] 就请兄弟可以给我一个工作
[39:39] 我们以前也是苗栗会种牛
[39:41] 我们会赶牛
[39:42] 以前家族有种田的基因
[39:45] 所以我相信这个工作我可以升任
[39:47] 请老板到时候考虑我
[39:48] 那再来讲说要找什么样的关键字
[39:50] 那个叫做功能性训练
[39:52] 你去找一下功能性训练
[39:53] 然后搭配物理治疗师
[39:55] 因为我的想法就是
[39:56] 跟你一开始一样
[39:58] 反正我就是年纪大了
[39:59] 我就是久坐
[40:00] 一定会这样子或什么的
[40:01] 然后后来就是
[40:02] 开始去做一些训练之后
[40:03] 发现说身体有逐渐在改善
[40:05] 所以当你的问题从十个
[40:07] 你就是放腿
[40:08] 我不管了
[40:09] 死了算了
[40:10] 到你剩下两个
[40:11] 剩下两个你就会去认真想说
[40:12] 那我是不是要认真去解决
[40:13] 这两个问题
[40:14] 那我觉得找物理治疗师的
[40:15] 帮助也很大
[40:16] 所以有点像是说
[40:17] 你终于把注意力
[40:18] 放到这个东西上面
[40:19] 你除了有功能性训练
[40:21] 或者是物理治疗师
[40:23] 然后再来
[40:24] 我自己平常也会去找神展师
[40:25] 就直接把所有的东西都装了起来
[40:27] 那就是讲说
[40:28] 你不要只是让我好像暂时不痛
[40:31] 我现在就是要解决这个问题
[40:32] 然后请大家帮忙及时广义之后
[40:34] 就慢慢的有去识别出问题
[40:35] 就真的把它解决掉
[40:36] 那我甚至觉得最夸张的是
[40:39] 原来跟呼吸这么有关系
[40:40] 当我开始学会去做
[40:42] 复式呼吸
[40:43] 而且不只是到复
[40:43] 你还要去cue到你的背
[40:45] 我不知道我们在节目讲过
[40:46] 应该是有讲过
[40:46] 反正就是你的
[40:48] 要怎么样让你的呼吸
[40:50] 感觉会到你的背呢
[40:51] 特别是久坐足
[40:52] 你在呼吸的时候
