[00:00] 歡迎收聽谷外,我是孟公,本期節目由英國TravelBlue贊助
[18:09] 他要的是什麼
[18:09] 他其實要的就是錢
[18:10] 他一定不是說什麼
[18:12] 我覺得你的Trainium系列真好
[18:14] 我想用你的server來做training
[18:16] 絕對不是這樣子
[18:17] 因為Trainium
[18:18] 可能對Amazon來說是一個不錯的選擇
[18:20] 可是對其他人來講
[18:21] 他一定沒有像TPU這樣
[18:23] 有很大的一個優勢
[18:25] 就如果我們站在ASIC的角度來看
[18:26] 所以可能某個程度上
[18:28] 它會類似像Santhropic這樣子
[18:30] 就是我除了去用Google的東西之外
[18:33] 那我也會去用可能AWS的Tranium
[18:36] 那這樣就變成說
[18:37] 反正我兩邊都綁裝
[18:38] 那對Amazon這邊來講
[18:39] 它也是希望說
[18:40] 它自己的這個伺服器裝置
[18:41] 有人要用
[18:42] 可以去做更多的推廣
[18:43] 所以就是會有機會
[18:45] 然後會去宣佈說
[18:47] 反正一邊是拿到錢
[18:48] 然後另外一邊是拿到
[18:50] 這個OpenAI的一個使用的允諾
[18:53] 就是我後面會去用
[18:54] 用它的server的配備
[18:56] 那只是我想法
[18:57] 跟一個月前有很大的差距
[18:59] 我在一個月前
[18:59] 跟大家分享這件事情的時候
[19:01] 就是在提到說
[19:01] 我們有收到這樣子一個rumor
[19:03] 那同時呢
[19:03] 大家可以關注一下
[19:04] AWS re-invent
[19:05] 那後來我的心得是
[19:07] 因為特別是看了這麼多
[19:08] AWS chain
[19:09] AWS supply chain
[19:10] 相關的一個股票
[19:11] 那他們的走勢
[19:12] 其實都不是太好
[19:13] 所以我自己還是按照
[19:14] 這個走勢去做判斷
[19:15] 就是我覺得
[19:16] 就算後面他真的是
[19:18] 真的
[19:19] 就是像這個
[19:20] 可能information
[19:21] 或者說bloomberg
[19:22] 或是
[19:23] 這些報道所提到的
[19:24] 反正就是他們有一個
[19:25] 新的臥底聯盟的
[19:27] 一個行程
[19:27] 那他有可能要去
[19:28] 用他裝置的話
[19:29] 我感覺啦
[19:30] 因為按照像他這種
[19:31] 重重壓力的狀況來說呢
[19:33] 就在那個線圖上面
[19:34] 有很多軍線都疊在上面
[19:35] 這些股票不一定
[19:37] 可以拉很遠
[19:38] 他可能就是一兩根
[19:39] 然後給一個逃命的機會
[19:41] 然後接著
[19:41] 就要再稍微的整理一下
[19:43] 他需要一段時間
[19:43] 我不覺得說這些東西
[19:45] 就會就此崩掉
[19:46] 因為他們還是有一些
[19:47] solid的fundamental在背後
[19:49] 只是要一瞬間
[19:50] 那種開出去的話
[19:51] 對我來說
[19:52] 這個是機率比較低的
[19:53] 一個劇本
[19:53] 因為形態真的不好看
[19:54] 所以大概參考一下
[19:57] 跟大家講說你知道我們看到 Google相關的活動
[19:59] 就把Google Chain推上去
[20:00] 那接下來換AWS接棒
[20:02] 當時我也是滿心期待
[20:04] 然後後來發現AWS Chain真的是美紅幹之後
[20:06] 其實像我自己在AWS Chain的一個資金佈局
[20:09] 就有去稍微做降低
[20:11] 因為那個型態已經是整個醜掉了
[20:12] 所以我就感覺市場的重點沒有在這邊
[20:15] 或者說不知道
[20:16] 就後面可能會有一些訊息來證明說
[20:18] 之所以它的股價會走得比較疲軟
[20:20] 可能是有道理的
[20:21] 所以會稍微往這個方向去做判斷
[20:24] 但還是先看
[20:25] 如果說這個事件最後面成真
[20:27] 股價怎麼樣去表態
[20:28] 就要說如果他就連續拉個
[20:29] 幾十趴的話
[20:30] 那我就相信他真的
[20:31] 我搞不好再跑回來加嗎
[20:32] 所以這是目前對這個東西的一個規劃
[20:35] 那再來呢
[20:36] 目前看到這個盤面上
[20:38] 有一些新的故事跑出來
[20:40] 就有一些那種低軌衛星的股票
[20:42] 開始去走
[20:43] 然後就有看到有朋友貼給我
[20:45] 因為其實我每次注意到什麼
[20:46] 我就會立刻的
[20:47] 就要說在我的粉專去做發文
[20:50] 那當然不是要去做喊盤
[20:51] 因為我都不會直接去點名說什麼
[20:52] 哪些標題我在看這
[20:53] 我就只是
[20:54] 因為我注意到市場有一些變化
[20:56] 所以我就會立刻去找說
[20:58] 那有可能是什麼東西
[20:59] 造成這樣的變化
[21:00] 那我去發出一個文之後呢
[21:02] 那這就是一個拋磚引玉的效果
[21:04] 就有人跟我講說
[21:05] 哎 艾大
[21:05] 我們家公司看到了什麼訂單
[21:08] 你這個貼的東西
[21:09] 就是一個正在進行
[21:10] 是有什麼
[21:11] 類似這樣
[21:11] 我很多時候會收到這樣的feedback
[21:12] 所以某個程度呢
[21:14] 這個是我幫大家提醒說
[21:15] 一下市場可能成交的量能
[21:17] 在哪個地方
[21:18] 然後人家就會跟我講說
[21:19] 哎 他可能是什麼故事
[21:20] 所以大家互相幫忙
[21:21] 然後就有看到有
[21:23] 反正就是自己的好朋友傳給我
[21:25] 然後一個截圖還是什麼的
[21:27] 然後裡面就寫到說什麼
[21:28] 他去追了某一個衛星的標的
[21:30] 然後看到什麼古來的籌碼
[21:32] 我想說
[21:33] 我沒有買這一隻
[21:34] 然後接著我去看他那個籌碼
[21:36] OK
[21:36] 就是因為裡面可能有一個
[21:38] 林口的分點在買
[21:39] 他就覺得說這是古來的籌碼
[21:40] 可是我想說
[21:41] 你不要太瞧不起人好不好
[21:43] 那買六張
[21:44] 六張可以幹嘛
[21:45] 六張
[21:46] 不可能買那麼少
[21:48] 如果真的要買的東西
[21:49] 一定是不知道
[21:50] 買個一兩千以上
[21:51] 怎麼可能只買個一百萬
[21:53] 然後還要發文
[21:54] 還要拱大家
[21:55] 我不會做這種事情
[21:56] 就要就是幹大的
[21:57] 我們不會幹這種小的
[21:58] 但就很好笑
[21:59] 反正就是有人是說
[22:01] 你看他現在在發
[22:02] 這個衛星相關的
[22:03] 他就在買這一隻
[22:04] 那種量很少的
[22:05] 一般就不會是我
[22:06] 因為我們沒有那麼少量
[22:07] 我們沒有到很大戶
[22:08] 可是我們也沒有這麼少量
[22:10] 沒有這麼好笑
[22:10] 那這當然就是因為
[22:12] 有看到這個全面性的
[22:13] 股票開始作動
[22:14] 但我們不排除
[22:15] 它可能是一個
[22:16] 那種題材的蔓延
[22:17] 因為前陣子在講說
[22:18] 接下來就是SpaceX
[22:19] 可能會有一個IPO
[22:20] 聽眾有問到這件事情
[22:22] SpaceX的IPO
[22:23] 會不會影響到Tesla之類
[22:24] 我是覺得很高几率會一起聯動著
[22:26] 那現在我們就在臺股
[22:28] 已經看到類似的狀況
[22:29] 這些低軌衛星相關的股票跑上去
[22:31] 那低軌衛星裡面
[22:32] 有一些那種原件相關的
[22:34] 像森達克之前有跟大家聊過
[22:35] 這個森達克確實是在
[22:37] Starlink的BOMB裡面
[22:38] 有看到這個蠻高的一個佔比
[22:41] 就用很多他的料
[22:43] 那股價就直接在右上角
[22:44] 那其他相關的像之前
[22:45] 應該是一兩年前跟大家分享過
[22:47] 華通啊 耀華
[22:49] 最主要應該是華通
[22:50] 因為華通的良率改善是比較好
[22:51] 他做那個衛星版
[22:52] 那時候跟大家分享
[22:52] 我忘記一片多少錢
[22:53] 2000美嗎
[22:54] 還是多少
[22:54] 我已經很久沒有去更新了
[22:56] 他說最近開始要重新去挖這些東西
[22:58] 因為那時候是第一波的低軌衛星
[23:01] 有跟大家去聊一下
[23:02] Starlink
[23:02] Kyper System
[23:03] 這些東西
[23:04] 但是現在發現說市場的資金又跑回來這邊
[23:07] 所以我們就很認真地看它
[23:08] 那時候的瞭解是華通的一個良率是比較高
[23:11] 要華來講
[23:11] 其實良率可能還沒有這麼好
[23:13] 可是都是有機會
[23:14] 都算是臺灣的衛星類股
[23:15] 那再來還有一些相關的
[23:17] 原建廠
[23:19] 或者說像那位朋友截圖給我看的時候
[23:21] 有人說什麼找到的分點
[23:23] 那個也是相關的
[23:25] 就是說這類的東西
[23:26] 都是所謂的泛衛星股
[23:28] 那衛星股的話
[23:29] 其實真的是有機會
[23:31] 從現在開始聞得到味道
[23:32] 它有點類似那種軍工的感覺
[23:34] 就是會先是一個題材
[23:35] 走在比較前面的一個狀態
[23:37] 然後大家去做一個預期的投射
[23:39] 因為基本上像比較大型的
[23:41] 這些衛星投射公司
[23:42] 已經可以現在就看得到
[23:43] 明年會去丟幾顆衛星
[23:45] 所以其實它整體的佔比會是多少
[23:48] 或者說營收的貢獻會是多少
[23:50] 理論上在這個時候是算得出來的
[23:51] 但有時候市場很有趣的地方
[23:53] 在這邊
[23:53] 就是你現在算得出來的數字
[23:55] 它很高几率在
[23:57] 如果這個題材為真之後
[23:59] 你會發現你是低估它的
[24:00] 因為那時候我去看
[24:02] 那個A16Z的其中一位創辦人
[24:06] 他聊到Uber的時候
[24:07] 他講到這個
[24:08] 他說其實人們很高几率
[24:09] 會去低估市場
[24:11] 它後續的一些發展
[24:12] 就比方說
[24:13] 我看到Uber這家公司的時候
[24:15] 我想到的可能是說
[24:17] Uber它會去取代計程車
[24:18] 所以我就用計程車市場
[24:19] 去算一個TAM
[24:21] 然後去看Uber可以吃掉多少
[24:22] 但其實理論上
[24:24] 你推出一個更新更好的東西
[24:25] 你是會構造改革市場的
[24:27] 你是會讓這個市場
[24:28] 有更多的可行性的
[24:29] 就是它不是隻是去取代既有的東西
[24:32] 就像說
[24:33] 像現在大家講衛星網路的時候
[24:34] 你可能會用
[24:35] 就是我們大家去使用的
[24:37] 網路的什麼總頻寬
[24:38] 或是總流量來算說
[24:40] 那衛星可以吃掉多少
[24:41] 可是呢
[24:42] 如果衛星它發展的很好
[24:44] 它可能會有一些延伸的應用
[24:45] 它是不只是
[24:46] 就是隻是取代既有的網路
[24:48] 它可能讓一些
[24:49] 本來不會去用網路的
[24:51] 像現在我們都知道說
[24:52] Starlink它的很多應用其實在remote area就是它並不是在城市裡面那我自己也實測過跟大家分享就是你在城市裡面放它的效果不一定是太好因為你要可以對得到天空所以如果說你是很密集的那種高樓群的話
[25:04] 你如果在你的陽臺
[25:05] 放一個start link
[25:07] 那效果可能不會太好
[25:08] 然後再來就是
[25:08] 如果你要去打一些FPS的話
[25:09] 你有斷線的問題
[25:10] 所以它可能是會讓一些
[25:12] 就是比較
[25:13] 以前那種光纖網路
[25:15] 去cover不到的地方
[25:17] 讓他們去使用網路
[25:18] 這是一個新的市場
[25:19] 但是這個市場
[25:19] 可能它的數量不會太大
[25:21] 可是有些新的應用
[25:22] 像在戰爭的應用上
[25:24] 就是以前可能打戰的時候
[25:25] 大家都是斷線
[25:26] 只能夠打微信電話之類
[25:27] 然後現在像烏克蘭的軍方
[25:29] 他們去使用這個Starlink之後
[25:31] 就可以去做很多
[25:32] 在戰場的一個網路連線
[25:34] 所以這也算是新的應用之一
[25:36] 所以就是說這類的應用
[25:38] 可能整體加起來
[25:39] 然後搭配說
[25:40] 可能不一定是完全在城市裡面
[25:42] 它可能是在這種市交的
[25:44] 這些應用上
[25:46] 全部把它包一包之後
[25:47] 它有可能會讓整個市場
[25:49] 變得比本來更大
[25:50] 所以去做未來TAM的一個投射
[25:53] 就有可能會掉入像他們那時候
[25:55] 認為自己有一點錯判Uber
[25:57] 那樣的一個情境是一樣的
[25:59] 就認為他只是去取代既有的服務
[26:01] 但是一般新的服務
[26:02] 如果夠好夠強的話
[26:03] 他是會取代
[26:04] 然後再加上可能會去創造出
[26:06] 一個新的市場
[26:07] 類似這樣的一個概念
[26:08] 所以有可能我們現在估的數字
[26:10] 都是偏低
[26:11] 至於要怎麼去反映
[26:13] 這我就不知道
[26:14] 我只是說我在市場上
[26:15] 已經看到說相關的題材都在動
[26:17] 那理論上按照我們自己的感覺
[26:19] 這是蠻體感的東西
[26:20] 就是一般你看到那種全面都動起來
[26:22] 然後搭配說美國有一個大巫
[26:24] 在後面IPO的話
[26:25] 那有可能就從現在到他IPO那一刻
[26:28] 就是群魔亂舞
[26:29] 就是這些相關的東西
[26:30] 都是有機會會走起來
[26:32] 然後再估值乘數可能就會直接先拉滿
[26:35] 可能先拉到什麼30倍
[26:36] 然後最誇張的
[26:37] 然後接著再慢慢去下修
[26:38] 看它EPS是不是真的可以開出來
[26:40] 所以在未來一陣子
[26:42] 就是市場要再多一個低軌衛星題材
[26:44] 雖然它一直都在
[26:45] 因為我們在兩年前還多久
[26:46] 甚至更久以前就跟大家分享過這個
[26:48] 其實有時候市場也是很看情緒跟氣氛的
[26:51] 像前陣子臺股是很紅軍工股
[26:53] 然後現在就變成很多人在問
[26:55] 軍工股是怎樣
[26:56] 為什麼都不會漲
[26:57] 或者說開始在那邊算EPS
[26:58] 於是就是像我跟大家分享
[26:59] 真的都超懂一家公司
[27:01] 或者說超熟他EPS的時候
[27:03] 就是你套很深的時候
[27:04] 但沒有辦法
[27:05] 如果你今天是要做動能的話
[27:06] 那你勢必是會
[27:08] 就是你要去接受這個市場的輪動
[27:10] 所以即便那個東西很好
[27:11] 你不一定會在裡面跟他耗
[27:13] 因為等到他下一次輪到的時候
[27:15] 搞不好是不知道幾個月
[27:16] 或是一兩年之後
[27:16] 你不知道是什麼時候
[27:17] 所以就不會去做這樣子的一個交易
[27:20] 所以其實交易跟投資
[27:22] 有時候還是要分開來
[27:23] 投資呢
[27:23] 你就儘量不要去做這種追高的事情
[27:25] 你去追高
[27:26] 然後你要說自己投資
[27:27] 很多時候是自欺欺人
[27:28] 那如果你要去做交易的話
[27:30] 可是你套在那邊算基本面的話
[27:32] 那你也是在自欺欺人
[27:33] 所以這個就是比較偏向交易的環節
[27:36] 就是我們已經注意到說
[27:37] 相關的題材是有在作動的
[27:39] 所以如果搭配
[27:40] 就是覺得說SpaceX
[27:42] 它真的要上去
[27:43] 然後拿一個很棒的估值
[27:44] 然後又推很高的話
[27:45] 那其他相關的一定都一起推很高
[27:47] 然後再來是
[27:48] 它有機會變成一種那種全民運動
[27:49] 就如果它很好的話
[27:50] 那會不會其他人也想要跟著上
[27:52] 會不會那光頭王的太空公司
[27:54] 也想要跟著去搞一發之類的
[27:56] 那就有機會會形成一個
[27:57] 拉蠻久的題材
[27:58] 所以就是說在大家的工具箱裡面
[28:00] 現在多一個新的東西
[28:01] 我這邊簡單跟大家分享一下
[28:02] 好那這些就在
[28:03] 再稍微補充一個
[28:04] 因為像我們在過去幾年
[28:07] 跟大家分享這個
[28:08] 地軌微信相關的時候
[28:09] 那時候都會提到說
[28:10] 有一個公司做router
[28:11] 那我們就不要去點名人家
[28:13] 可是我要跟大家分享一件事
[28:15] 就是說在市場裡面
[28:16] 很多東西是會改變的
[28:18] 就是那時候大家會講說
[28:19] 他做這個router做很大隻
[28:21] 可是新一代的設計
[28:23] 不一定會是他
[28:23] 所以大家還是要小心
[28:25] 這些潛在可能的一些小陷阱
[28:27] 就是大家前面都以為說
[28:29] 是怎麼樣他出什麼東西
[28:30] 可是後來發現
[28:31] 他其實已經沒有在出這個
[28:32] 所以你還是要去盯著
[28:34] 各家公司的法說會
[28:35] 或是要去做一些那種call memo
[28:37] 要去了解一下
[28:38] 因為兩年前跟現在
[28:39] 其實有很多的變化
[28:41] 只是當然大致上的方向
[28:42] 是不會改變
[28:42] 或甚至你就單純一點
[28:43] 就看資金在哪些地方
[28:45] 那一般資金
[28:46] 大家堆進去的地方
[28:47] 他要為假的機率
[28:49] 會比較低一點
[28:49] 除非他那種就急拉個幾個
[28:51] 那可能說單一幾個主力
[28:52] 又可以做到
[28:53] 可是如果他可以
[28:53] 持續的維持很大的一個量能
[28:56] 然後撐在那邊的話
[28:56] 一般來講
[28:57] 他微真的機率
[28:58] 會比較高一點
[28:59] 所以我們用這個
[29:00] 去做一個交叉的評量
[29:01] 好那這一位
[29:02] 我們就來進入QA部分
[29:02] 第一位
[29:03] 氣撲撲維尼
[29:04] 我是氣氛仔
[29:05] 孟公好
[29:06] 我是有兩個小孩的二寶爸
[29:08] 一個兩歲
[29:08] 一個九個月
[29:09] 前一陣子我女兒很好奇
[29:11] 為什麼弟弟有小雞雞
[29:12] 她沒有
[29:12] 我因為好玩就騙她說
[29:14] 如果她想要的話
[29:15] 可以幫她安排裝小雞雞
[29:17] 結果她最近每天都會問我
[29:18] 什麼時候可以幫她裝
[29:19] 還說不要裝弟弟的那一種
[29:21] 因為弟弟的有低位
[29:23] 她不喜歡
[29:24] 那請問該怎麼收藏
[29:25] 那最後希望孟公
[29:26] 可以用霸氣總裁的語音包住
[29:28] 我1月11號的太太
[29:30] 喬比生日快樂
[29:31] 怎麼聽起來跟雞肉猛男一樣
[29:33] 不知道
[29:33] 但我想像霸氣總裁
[29:35] 就講話就是要
[29:35] 很昂西啊
[29:36] 對是這樣
[29:37] 對所以儘量不要對小朋友
[29:40] 去講一些無私善的東西
[29:41] 那當然這個其實很難抓
[29:43] 據來說
[29:44] 你到底要跟小朋友
[29:45] 講真話到什麼程度
[29:47] 因為你講真話
[29:49] 好就要說
[29:49] 沒有聖誕老公公嘛
[29:50] 這就是真話
[29:51] 雖然我還是拒絕
[29:52] 相信這件事情
[29:53] 我現在是很喜歡
[29:54] 聖誕節的氛圍
[29:55] 所以我自己的腦中
[29:56] 是想要說服我自己
[29:57] 就是有聖誕老公公
[29:58] 只是我自己
[29:59] 沒有緣遇到而已
[30:00] 我希望有一天
[30:01] 不知道就在我臨終之際
[30:02] 可以看到聖誕老公公
[30:03] 來送幸福之類的
[30:04] 這樣越講越可怕
[30:05] 那種聖誕老公公的媽
[30:07] 反正就是我希望他是真的
[30:09] 你可以跟小孩說
[30:11] 山老公公不是真的
[30:12] 當然可以
[30:12] 就是說你把那個mixture
[30:14] 開到最滿
[30:15] 就是你完全都是為他吃truth peel
[30:18] 所以你所有東西都只講
[30:20] 就是很現實的reality check
[30:22] 告訴他說沒有山老公公
[30:23] 這個叫做陰晶
[30:24] 這個叫高丸
[30:25] 我都跟他講得很清楚
[30:27] 或者是像你這種
[30:28] 就是有一點類似半開玩笑
[30:30] 然後有點dreamy的角度在跟他分享
[30:32] 我自己也是站在可能比較偏向
[30:34] 有些東西我認為說要跟他講
[30:37] 講Truth Peel的東西
[30:38] 有些東西呢
[30:39] 可能可以跟他講
[30:40] 一些比較夢幻的
[30:41] 那可是像相關的這一點呢
[30:43] 我之前就有一次
[30:44] 我也發現是很難跟他解釋
[30:46] 因為我兒子就跟我講說
[30:47] 為什麼有些女生肚子很大
[30:49] 為什麼豬媽媽肚子很大
[30:51] 那我就跟他講說
[30:52] 因為他裡面有小baby嘛
[30:54] 好像媽媽的肚子裡面
[30:55] 之前就有Killian嘛
[30:56] 有小baby嘛
[30:57] 然後他就開始問我說
[30:58] 為什麼會有小baby
[30:59] 所以這時候
[31:00] 你要怎麼樣去跟他解釋
[31:02] 你可以去掰一個
[31:03] 不知道就是像一些那種童話
[31:05] 那種對於比較小的小朋友的
[31:06] 性教育可能會講說
[31:08] 反正就是兩個有感情的人在一起
[31:09] 一些那種魔幻的事情就會發生
[31:11] 你也可以跟他講說
[31:12] 就是罵幾個男教
[31:13] 跟幾個吉白放在一起
[31:14] 你有兩個選項
[31:16] 到底你要做到什麼樣的一個程度
[31:18] 我那時候是
[31:19] 我儘量去抓一個比較中間
[31:22] 我就是跟他講說
[31:23] 反正就是說
[31:24] 一個男生可以跟女生談戀愛
[31:26] 然後他們如果互相喜歡的時候
[31:28] 然後他們經歷一些神奇的過程
[31:30] 我就不去講細節
[31:31] 他們可能就會有小baby
[31:32] 小baby就會誕生
[31:33] 我是這樣跟他講
[31:35] 只是後來我老婆的意思
[31:36] 講說我這樣是錯的
[31:37] 就是你就不要跟他講就好
[31:39] 你就跟他說反正是某種magic
[31:40] 然後這個小孩子又出來
[31:41] 不要跟他解釋太多
[31:42] 不然他會開始問嘛
[31:44] 像洗澡的時候
[31:44] 像我老婆最近就講說
[31:46] 可能不知道後面一段時間
[31:48] 就是那種女性的長輩
[31:49] 包含她自己
[31:50] 或是說什麼
[31:50] 這個Nora的姑姑啊
[31:53] 還是誰
[31:53] 就是不可以跟她一起洗澡了
[31:55] 因為她已經開始會進入
[31:56] 會問問題的時候
[31:57] 所以我老婆是比較那種
[31:58] 就是保守性的人
[32:00] 然後就跟我講說
[32:01] 反正就盡量避免
[32:02] 就也不要讓她產生
[32:03] 那種太多疑問
[32:04] 可是其實我的想法
[32:05] 就會覺得說
[32:05] 為什麼他不可以問
[32:06] 他可以問
[32:07] 你就跟他解釋
[32:08] 只是說我們可以
[32:09] 統一一下說法
[32:10] 怎麼樣講
[32:10] 讓他比較好理解
[32:11] 但這是一個
[32:12] 很難的題目
[32:13] 那我覺得也沒有人
[32:14] 有資格可以跟每個家長說
[32:16] 你到底該做到
[32:17] 什麼樣的程度
[32:17] 你今天如果是看
[32:18] 一些比較開放的地方
[32:20] 或者一些比較
[32:21] 封閉的地方
[32:22] 可能大家的說法
[32:23] 也都不一樣
[32:24] 像你這種去開玩笑
[32:25] 說我們機器可以裝上去
[32:26] 我覺得也是有機會
[32:27] 我會講的東西
[32:28] 可是你看
[32:28] 很麻煩點就是
[32:29] 如果他追問的話
[32:30] 你要繼續唬爛東西嗎
[32:32] 可是你不覺得
[32:33] 你一直唬爛下去的話
[32:34] 好像說你把孩子的腦袋弄壞
[32:36] 可是如果你跟他講太多
[32:37] 就是理論上
[32:38] 他這個年紀不用知道的東西
[32:40] 那會不會也不好
[32:40] 所以我認為很難
[32:43] 到最後你知道我怎麼做嗎
[32:43] 我跟你講
[32:44] 我就盡量去避談這些東西
[32:45] 我會盡量去避談
[32:46] 就是不要去跟他講太多
[32:48] 之類的東西
[32:48] 我就期待說
[32:49] 反正學校會教
[32:50] 然後稍微去做一點
[32:50] 輔導把他導正之類的
[32:52] 所以你稍微參考一下
[32:53] 下面一位
[32:54] 因今種種求神拜佛
[32:56] 不如拜孟公大帝
[32:58] 嗨嗨挨大蛋蛋大
[32:59] 小弟是親婆二寶爸
[33:00] 二女兒三歲
[33:01] 因為語言遲緩的問題
[33:02] 讓我們最近尋求各種偏方求助
[33:04] 上了一年多的語言治療
[33:06] 還是沒有明顯的進步
[33:08] 古威吉iPhone
[33:08] 希望在這邊可以吸到一點靈氣
[33:10] 讓我們家的妹妹可以平安長大
[33:12] 那趕快可以像姐姐一樣
[33:13] 唧哩呱啦的朝我們
[33:14] 那也祝福孟公一家平安
[33:16] 阿姨大有機會可以跟雨琪相遇
[33:18] 這個不好啦
[33:19] 這個跟雨琪相遇的話
[33:21] 我這個眼神中
[33:22] 只要透露出一點點訊息
[33:23] 就直接被我老婆給屠宰掉
[33:25] 那我們
[33:25] 先希望這個親婆寶寶
[33:28] 他的二女兒
[33:29] 可以儘快的去改善這種問題
[33:31] 雖然我很多時候都不知道
[33:32] 大家為什麼不要去廟裡面
[33:34] 要跑來我這裡問
[33:35] 可能不知道
[33:35] 已經是一種那種集體的信念
[33:37] 就覺得說好像真的可以幹嘛
[33:38] 那我們也沒有要自己生個話
[33:39] 也是我最怕這種事情
[33:40] 我整個時候就是
[33:41] 我會幫你跟我後面那個觀音大爺
[33:43] 因為我後面有一個觀音相
[33:45] 觀音大爺就協助一下
[33:47] 我們幫忙一下這個小朋友
[33:48] 這麼可愛的小朋友
[33:49] 一定要讓他可以記憶寡
[33:50] 希望他會好好的幫助
[33:52] 希望家長們都要持續的維持樂觀
[33:55] 好事會發生
[33:56] 下面一位
[33:57] 男女平權
[33:58] 這社會正在教我們
[33:59] 當一個冷漠的人
[34:00] 拍肩也可以告性騷擾
[34:02] 男生真的要好好保護自己
[34:03] 瞎等女權
[34:04] 認為自己追求的是女權
[34:05] 有夠可憐
[34:06] 以後有女的需要幫忙
[34:07] 也沒必要救了
[34:08] 不然怎麼被告的都不知道
[34:10] 那另外
[34:10] 一律支援女性義務役
[34:12] 最討厭聽到男生
[34:13] 就是要當兵的快樂寶貝了
[34:15] 這位兄弟應該是被傷得不淺
[34:18] 所以就有很多這種
[34:19] 比較厭世的想法
[34:20] 我自己本身
[34:22] 還是比較屬於那一種
[34:23] 就我也很大方跟大家承認
[34:25] 就是可能像我老婆講
[34:26] 有點那種大男人
[34:28] 就覺得說男生多做是合理的
[34:29] 我是屬於這種
[34:30] 但我不是舔狗
[34:31] 我自己也很討厭舔狗
[34:32] 就是那一種歧視團
[34:34] 那種各種很急歪的女生
[34:36] 在網路上發表一些那種
[34:37] 礦事害俗的奇怪言論
[34:40] 然後還在下面瞎挺的那種
[34:41] 就以為說他媽什麼都挺
[34:43] 他就會增加到一些交配機會
[34:45] 那種歧視團
[34:45] 我們不是這種歧視團
[34:46] 那只是我的個性
[34:48] 就是我會覺得說
[34:48] 男生多做一點不要計較
[34:50] 比較平常這樣子
[34:51] 那只是我也可以理解
[34:52] 這位兄弟所講的一些東西
[34:54] 其實這個不只是在講說
[34:55] 在女性相關的一些話題討論上
[34:58] 就像是說
[34:59] 你現在在一些觀光區
[35:00] 有些人他可能是真的需要你幫忙
[35:02] 他真的要問路
[35:03] 只是現在人家問路
[35:04] 或說人家需要你幫忙
[35:05] 你敢停下來嗎
[35:06] 你不知道人家是要騙你錢嗎
[35:07] 就是說世界上有很多的熱色
[35:10] 然後讓大家的
[35:11] 就是那種互相提防的心情
[35:13] 會拉到很高
[35:14] 他們在用自己的一己之力
[35:17] 就是他可能是想要這樣去騙錢
[35:18] 去獲得一些利益
[35:19] 然後來毀壞這個世界的
[35:22] 一個那種共同信任的一個感覺
[35:24] 所以真的很多人在做這樣的事情
[35:26] 所以當然一定有人是那一種
[35:27] 他可能不知道
[35:28] 就稍微被摸一下
[35:29] 之前不是就有看到
[35:30] 那種國際新聞有一個寫到說
[35:31] 好像是說有一個女的
[35:33] 她昏倒還怎樣嘛
[35:35] 在地上
[35:35] 然後那個幫她CPR的就被她告啊
[35:37] 就說什麼性騷摸她奶之類的
[35:39] 我有看過這樣
[35:40] 我就覺得說
[35:40] 幹超扯
[35:41] 是他媽殺小
[35:43] 真的應該放你去死
[35:44] 所以你就想嘛
[35:44] 看到這種新聞的人
[35:46] 或者說像我也看到這個新聞的
[35:47] 會不會以後有女生在那邊
[35:48] 我就不敢去壓她
[35:49] 就是如果她真的需要CPR
[35:50] 但我是不會
[35:51] 意思是說如果我會的話
[35:52] 是不是我覺得三思嘛
[35:53] 因為以前都覺得說應該要做
[35:55] 所以我不知道
[35:55] 我感覺這些東西要除罪
[35:57] 就如果說是那種緊急為難
[35:58] 或者說真的一些狀況
[36:00] 像還有看到一個也很扯的
[36:02] 就是有一個那種
[36:03] 好像是那種路上的輕軌開過來
[36:05] 有一個女的
[36:05] 她已經要踩下去要被撞死
[36:07] 然後那個男的把她拉回來
[36:08] 後來那個男的也是被告
[36:09] 類似性騷之類
[36:10] 就是就到底那個界限在哪裡
[36:12] 那其實如果真的要搞的話
[36:14] 我覺得這會變成是草木皆兵
[36:17] 因為大家也會講
[36:18] 性騷其實不是隻會發生在女生上
[36:19] 男生也會
[36:20] 像我自己的朋友
[36:21] 有些男生都會分享
[36:23] 他們被性騷的經驗
[36:24] 被女生或是說被男童之類
[36:25] 反正就是男生也會遇到這樣的事情
[36:27] 那要不要以後大家都來算
[36:28] 以後大家都來回
[36:29] 媽的
[36:30] 沒一件事情
[36:30] 你摸到我手一下
[36:31] 媽我也去告你
[36:32] 就變爛數
[36:33] 所以這個界限很難抓
[36:35] 我覺得要有一個共識的
[36:37] 就是說如果今天在社會上
[36:38] 有這種奇怪的人跑出來發難
[36:40] 跑出來講一些那種
[36:42] 很詭異的言論
[36:43] 大家要立刻去制止他
[36:44] 因為那種社會的一個那種互相信任
[36:46] 其實是要靠大家有共識去做維持的
[36:49] 如果說今天
[36:50] 我們去允許這些人
[36:51] 可以很無賴的去按照自己的感受
[36:54] 大於一切
[36:55] 凌駕一切
[36:55] 反正我的感受就是最重要
[36:57] 或什麼的
[36:58] 那就會產生一些
[36:59] 額外的社會的成本
[37:01] 會有這樣的問題產生
[37:02] 但不知道
[37:03] 我覺得這題是超難去討論的東西
[37:05] 我只能夠說
