[00:00] 欢迎收听赵华与古惑仔第1051集
[24:31] 然后有这种风险的问题的时候
[24:34] 老三可能是比较安全
[24:36] 所以我那时候想
[24:37] 你可能红杰克
[24:38] 相对就比较安全一点
[24:40] 确实今天表现出来就这样
[24:41] 因为红杰克今天可能还收小红
[24:44] 等于是一个开低
[24:46] 然后收一个平盘以上
[24:48] 对比来讲就是说
[24:50] 跟其他两只跌停来讲
[24:52] 如果你在这样的一个落点的情况下
[24:56] 你去追这个东西
[24:57] 你等于是追到一个等于是跌停板
[25:01] 跟一个等于是今天进场
[25:03] 赚了一个涨停板的意思
[25:05] 那相对差异就很大
[25:07] 所以我现在来讲
[25:08] 我还是会比较针对说
[25:10] 找到对的族群很重要
[25:12] 可是对的族群里面
[25:13] 你还是相对
[25:14] 在这样的一个
[25:16] 比较震荡的一个盘式
[25:17] 比较诡异的局势里面
[25:19] 去找相对安全的位阶
[25:21] 我觉得还是比较好一点
[25:23] 那我刚刚对那些热门族群的comment
[25:25] 除了你今天还不是你想要进场
[25:27] 因为这个流通性太差
[25:29] 对那你自己会
[25:31] 在热门族群里面
[25:32] 会比较优先关注哪一个族群
[25:34] 也是低轨卫星
[25:35] 对我觉得低轨卫星
[25:36] 也是低轨卫星
[25:36] 低微星这个还是得要关注一下
[25:40] 好
[25:41] 那这个今天我们都剪一点台积电
[25:44] 我也讲一下想法好了
[25:46] 因为之前我跟大家讲
[25:47] 破月线我可能就会先建立一点持股了
[25:50] 破季线再建立
[25:51] 破半年线再建立
[25:53] 然后怎么可以再建立
[25:55] 反过来说
[25:56] 今天有一个人留言给我
[25:57] 我觉得那个人留言就很好玩的
[26:00] 证实了一个事情
[26:01] 因为之前有没有教大家
[26:02] 做一些停利的想法
[26:03] 有吧
[26:04] 对吧
[26:04] 但是也有讲到
[26:06] 当股票一直涨
[26:07] 你停利就会有个感觉
[26:08] 我把东西卖飞了
[26:09] 对不对
[26:10] 那停利当然有很多种原则
[26:12] 例如说
[26:13] 有人是从技术现行来看的话
[26:15] 也许破短均线
[26:16] 因为乖离大嘛
[26:17] 破短均线就先停利了
[26:19] 那最难克服的是
[26:20] 停利后要再进场嘛
[26:21] 对不对
[26:21] 有人觉得我已经高档停利了
[26:23] 就算后面
[26:24] 就是明明应该要回货买上涨啦
[26:26] 或是重新恢复上涨
[26:27] 我要再介入
[26:28] 可是就是没有办法接受
[26:29] 成本已经又垫高了这件事情
[26:31] 但无论如何
[26:32] 是不是有做停利
[26:33] 有
[26:33] 那我自己有讲过一个
[26:35] 很简单的停利法
[26:36] 又跟大家说
[26:37] 那个完全是看个人
[26:39] 就是我买的
[26:40] 比较是科技型的
[26:41] 废尘半导体型的
[26:42] 这一类的
[26:43] 波动比较大的基金
[26:46] 或是ETF
[26:47] 我会考虑在20%获利的时候
[26:50] 把20%拿回来
[26:51] 简单来说就是
[26:52] 100块变成120块
[26:54] 我会拿回那个20块
[26:56] 可是如果我有做所谓的
[26:58] 定期不定额
[26:59] 或不定期不定额
[27:00] 的加码的时候
[27:03] 我还是会如往常一样的
[27:05] 持续做家嘛
[27:06] 当然这一套
[27:07] 在台股疯狂往上涨的时候
[27:09] 你会不断的产生
[27:11] 我卖飞了
[27:12] 我也跟大家分享啊
[27:13] 我卖飞了光盛
[27:15] 我卖飞了金元店
[27:17] 可是现在这些卖飞的东西
[27:19] 回来了
[27:20] 所以呢
[27:21] 之前你在很扼腕
[27:23] 说别人有赚
[27:24] 我都卖飞的时候
[27:25] 但你有做这样一个纪律的话
[27:27] 你就有停利在手
[27:29] 所以今天有人留言说
[27:31] 也谢谢赵华之前有教我们停利
[27:32] 所以我是有停利在手的
[27:35] 所以呢
[27:35] 没有对错
[27:37] 因为你可能是少赚了
[27:39] 假设50%都有可能
[27:40] 但现在的你可能就没有赔钱
[27:43] 反而手上有现金
[27:44] 但是你有可能前面像云翔哥猛赚
[27:47] 今年其实他还是赚了
[27:49] 但是短线上就可能有大幅的获利回吐
[27:52] 我觉得这个真的没有叫对错
[27:54] 可是重点来了
[27:55] 重点在不管你用哪一种方法
[27:57] 现在是不是你觉得要买的
[27:59] 我们一样有自己的想法
[28:00] 例如说我跟云翔哥今天的共识
[28:02] 就是我们都捡了台积电
[28:04] 因为台积电
[28:05] 它有非常明确的财报指引
[28:08] 对
[28:08] 它有明确的财报指引
[28:10] 它就有机会
[28:11] 让你去评价
[28:12] 它现在到底
[28:13] 是不是进入到合理的区间
[28:15] 对
[28:15] 那当然你说台积电
[28:17] 会不会又继续往下
[28:18] 不排除啊
[28:19] 可是如果你今天是
[28:20] 接在这个1700多块好了
[28:22] 我今天有个朋友
[28:24] 讲得很传神啦
[28:25] 因为他今天就是
[28:26] 接在1740
[28:27] 真的很厉害
[28:28] 他讲了一句话说
[28:30] 2000块以上
[28:31] 叫你们不要一直追
[28:32] 就大家都想追
[28:34] 1700多
[28:36] 为什么现在大家都不敢买
[28:38] 当然这个就是交易的人性
[28:41] 我们不敢说1700多
[28:43] 会不会再回到1600多
[28:44] 可是台积电有个惯性
[28:46] 我想这不是第一次
[28:47] 应该已经十几二十次了
[28:49] 它就是越往下
[28:50] 20的台积电
[28:51] 有2000台积电
[28:52] 你可能觉得买不下
[28:53] 那现在变成18
[28:54] 现在变17
[28:56] 现在如果再变16
[28:58] 就打八折
[28:59] 再变15
[29:00] 可能性高吗
[29:01] 他如果今年的EPS假设90块好了
[29:04] 可能性高吗
[29:05] 系统性风险下不能说没可能
[29:08] 可是你会很明确的知道
[29:10] 他就是相对很便宜的东西
[29:13] 好那今天我们有减0052呢
[29:16] 0052当然因为他台电占比多
[29:18] 也可以的
[29:18] 那今天有没有减00981A
[29:20] 或者00993A
[29:22] 或者00850A
[29:24] 对
[29:24] 大家有发现今天991A跟981A
[29:29] 跌得非常多
[29:30] 因为他们手上有太多
[29:32] 刚刚我们点名的
[29:33] 不管他是载板
[29:34] 他是CPU
[29:35] 他是这个记忆体
[29:37] 这两档很积极的ETF
[29:39] 他们今天跌到
[29:40] 可以跌个八个百分点
[29:42] ETF跌八个百分点
[29:43] 还不是杠杆型的
[29:45] 就代表说
[29:46] 他们就是属于高报酬高风险
[29:48] 所以大家可以去评估看看
[29:50] 但是在多头市场
[29:51] 这两档帅不帅
[29:52] 一堆人觉得超级帅
[29:53] 那可以看到像这个850
[29:56] 或者是说像953
[29:57] 他们可能配置的
[29:58] 就没有这么积极
[29:59] 所以涨的时候
[30:00] 有点没有涨赢人
[30:01] 可是今天叠就没有
[30:02] 相对之下就没有叠赢人
[30:05] 所以在这一波
[30:07] 我也是有捡一些主动式的ETF
[30:10] 可是我也会去观察
[30:11] 他们到底缴出来的成绩
[30:13] 但如何
[30:13] 必须讲
[30:14] 你买ETF
[30:15] 你就要给他有点像是跑马拉松
[30:17] 不要看一天两天的表现
[30:19] 给他半年一年
[30:21] 我觉得是至少的
[30:22] 看一下他的状况
[30:23] 但是为什么我们两个都会去赶
[30:25] 捡台积电
[30:26] 就是因为他在这个时间点
[30:27] 他的评价
[30:28] 反而是相对简单的
[30:30] 我觉得这个是很重要的事情
[30:32] 当然我不知道会不会明天谈起来
[30:34] 云翔哥就落跑了
[30:36] 正好知道今天最大的梗是什么
[30:39] 开盘
[30:40] 开盘最大的梗是什么
[30:41] 就是昨天我们赢韩国
[30:43] 所以今天全台股市打九折
[30:45] 因为今天有一些操商优惠
[30:49] 大家如果要吃爱真实
[30:52] 或者是什么的话
[30:55] 所以确实我今天有认真在
[30:57] 在找股票啦
[30:58] 就是一開盤當然
[30:59] 沒有那麼漂亮找到台積電的點
[31:02] 當然開盤還是會怕啦
[31:04] 不想說這個盤會不會
[31:05] 真的是直接就變成系統性
[31:09] 台股的系統性風險
[31:11] 那如果台積電在這個點穩住了
[31:14] 那當然我沒有買那麼漂亮的朋友厲害啦就一開盤買1740我大概再買在1780左右1740是期貨大家要理解現貨應該是今天沒有到1740
[31:25] 對那個朋友是期貨一開盤
[31:26] 他就非常明確做決定
[31:28] 我就輸啦
[31:29] 我就是看到好像快50分了
[31:31] 我說那我買一個小台積
[31:32] 那時候已經1760了
[31:34] 對
[31:35] 然後後來是
[31:36] 我沒有跟云翔哥對答案
[31:37] 是後來我只是內心一直想
[31:39] 就怪這個人就是沒有買put
[31:41] 然後結果他自己跟我說
[31:43] 今天就是選擇也是台積電這樣子
[31:45] 所以我稍微調整一些持股的方式
[31:48] 就因為確實台積電
[31:51] 要突然間回檔格
[31:54] 這個十幾%也不容易
[31:56] 對
[31:56] 我覺得趁這個機會當然捐助
[31:59] 那剛剛也講到一個重點
[32:00] 會不會再跌
[32:02] 其實不會知道
[32:03] 對
[32:03] 只是說再跌
[32:04] 當然它的這個
[32:06] 這個P來講
[32:08] 就相對又更低
[32:09] 對
[32:10] 那相對更低
[32:11] 基本上這種台積電
[32:12] 就是持续
[32:13] 我觉得就有低减
[32:14] 有低减的方式
[32:15] 如果他的财报的预估
[32:17] 没有变的情况下
[32:18] 那应该是按这样的方式来看
[32:20] 好
[32:21] 就是我们都没有办法说
[32:23] 百分之百的预测市场
[32:25] 有多准确
[32:26] 准确是说
[32:27] 一定会再跌
[32:29] 明天一定会怎样
[32:30] 这个是不可能的
[32:31] 可是我们各自有自己
[32:33] 遵循的一个法则
[32:34] 对不对
[32:35] 然后上涨的时候
[32:36] 会恨自己没有all in
[32:38] 没有买满
[32:38] 下跌的时候就会知道
[32:40] 手上有现金
[32:41] 是一种幸福的事情
[32:43] 对
[32:44] 那当然今天我看到
[32:45] 有很多的朋友
[32:46] 也有留言说
[32:47] 再观望一下
[32:48] 因为他们认为会到季线
[32:49] 其实也没有错
[32:50] 如果本来你的想法
[32:52] 就是这一波上涨
[32:53] 竟然没追到
[32:54] 那就跌比较深
[32:55] 再做进场
[32:56] 如果能够用这样的思维
[32:58] 而且自己的心情是OK的
[32:59] 那当然没有错
[33:00] 其实我今天看蛮多
[33:01] 蛮多股票回到季线
[33:03] 个股其实回到季线
[33:05] 那大盘是还没有
[33:06] 是在月季线的中间
[33:08] 所以个股不但有人是到季线
[33:10] 搞不好有人到半年线了
[33:12] 对
[33:12] 或是有一些
[33:13] 破线的也很多
[33:14] 破线的超级多
[33:15] 对
[33:15] 所以这个确实
[33:16] 所谓的一个破季线
[33:18] 它只是一个大盘的统称
[33:19] 大家还是要看
[33:20] 自己手上的股票
[33:21] 对
[33:22] 那如果你手上的股票是
[33:24] 因为个股的判断
[33:25] 1700 800档
[33:27] 每一档都不太一样
[33:28] 对
[33:29] 所以为什么我说
[33:30] 个股我只敢po台积电
[33:32] 像今天有一个人就留言说
[33:33] 之前达人秀
[33:35] 推荐的很多股票都涨翻了
[33:36] 他偏偏他买到一档
[33:37] 生养半
[33:38] 然后我也必须跟这位朋友说
[33:40] 生涯班股心真的烂
[33:41] 这个实在是我在podcast
[33:43] 或是我在电视台上面讲
[33:45] 我个人为什么
[33:46] 因为我买过生涯班
[33:47] 那我买生涯班
[33:48] 有没有赚钱出场
[33:49] 我有赚钱出场
[33:50] 原因是第一
[33:51] 后来生涯班还是有涨
[33:53] 这是之前的事情了
[33:54] 我还是买在一个生涯班
[33:56] 相对比较低的位置
[33:57] 但是我被来回
[33:59] 就是获利可能15 20%
[34:01] 正觉得可以停利
[34:03] 还是怎么样
[34:03] 正在想
[34:04] 他就打回原点
[34:06] 再上去
[34:07] 再打回原点
[34:08] 再上去
[34:08] 所以后来我就在
[34:10] 获利应该十几趴的时候
[34:11] 我就觉得我不玩了
[34:13] 再见这样
[34:14] 然后所以后来就
[34:15] 有一些朋友也会来聊
[34:17] 因为其实再生晶圆
[34:18] 或是有切到二奈米
[34:19] 这件事情
[34:20] 确确实实
[34:21] 是在半导体的设备商里面
[34:22] 我们很重视的事情
[34:23] 要不然智盛不会涨那么多
[34:25] 中沙也不会那么强
[34:26] 但是因为它的骨性就是
[34:28] 我觉得那个Boss也在控盘
[34:30] 实在太猛了
[34:31] 所以当我们在电视上聊的时候
[34:33] 我就会去特别讲一句说
[34:34] 可是生养伴的骨性很差
[34:36] 然后还有一个
[34:36] 帮他取一个名字
[34:37] 生养半
[34:38] 长一半
[34:39] 叠一半
[34:40] 长上去以后就要先叠一半
[34:42] 所以这位朋友
[34:44] 我可以理解说
[34:45] 你一定也觉得生养半很好
[34:47] 然后你有说
[34:47] 我一读买这档就套牢
[34:49] 那就是他的股性
[34:50] 或是你到底进出的依据是什么
[34:52] 因为其实去年年底的时候
[34:54] 生养半也到200块以上
[34:56] 就某种程度来说
[34:57] 你也不能怪他都是很烂
[34:59] 他也创过一个历史新高
[35:01] 那如果您是守技术形态的话
[35:03] 那个时间点
[35:04] 也许他破了短军
[35:05] 就是要出场
[35:06] 那如果你是要低减便宜的话
[35:08] 那反而是他回到了月季线
[35:10] 在那边盘整的时候
[35:12] 是一个比较好的进场点
[35:13] 这个事情是要告诉大家
[35:15] 因为就是所有的股票
[35:17] 有各自他的一些股性
[35:18] 我们可以跟大家分享说
[35:20] 这些产业像刚刚讲的
[35:21] 第一国卫星很好
[35:22] 可是我没有办法控制
[35:24] 生达克要从快2000变成1000
[35:25] 对那快2000到1000是不是很便宜
[35:29] 事实上以评价来说
[35:30] 可能相对便宜
[35:31] 可是因为他被分盘交易
[35:32] 所以即使我觉得便宜
[35:34] 可能也没有办法
[35:35] 在这个时间点勇敢进场
[35:36] 这个就完全是各股有每一档
[35:39] 我们自己在评估风险上面的想法
[35:42] 对
[35:42] 那像我多数啦
[35:43] 我今天是买小台积旗嘛
[35:45] 也有人问说什么是小台积旗
[35:47] 如果你会这样问
[35:48] 千万就不要碰哦
[35:49] 因为它是起货
[35:49] 小台积旗就是成本低
[35:52] 就是两万多块
[35:53] 就可以买一口
[35:54] 一口是表彰一百股台积店而已
[35:57] 所以呢
[35:58] 如果你买五口
[35:59] 你就有半张台积店
[36:01] 可是你可能只花十万块钱
[36:03] 就可能对小资来说
[36:04] 就是一种
[36:05] 胆小如鼠的一种做法
[36:09] 我没有办法像云翔哥
[36:10] 买几十口
[36:11] 或是我那个好朋友
[36:12] 买几十口这么猛
[36:13] 所以大家去评估一下
[36:17] 你的想法是什么
[36:18] 那今天也有人说
[36:19] 我还是继续勇敢去捡0050
[36:21] 0052
[36:22] 我觉得都问题不大
[36:23] 都问题不大
[36:24] 因为如果以市值来说
[36:26] 必须讲
[36:27] 长期来看
[36:28] 它回档后
[36:29] 终究会回到右上角
[36:30] 只是时间的问题
[36:32] 所以能不能分批打
[36:33] 我个人觉得分批
[36:35] 对我来说是重要的事情
[36:36] 有人是all in派
[36:38] 有人说all in就对了
[36:39] 但是对我来说
[36:40] 分批真的是重要的事情
[36:42] 我觉得应该是要分批
[36:43] 对
[36:44] 买基金用all in很奇怪
[36:46] 好
[36:47] 所以像今天
[36:50] 我们也不确定会不会回季线
[36:51] 可是破约线了
[36:52] 然后是台电
[36:53] 你觉得一期多便宜了
[36:55] 就买一些
[36:56] 留一点子弹
[36:58] 有下去的话
[36:59] 你还有办法再接一些
[37:01] 对不对
[37:01] 所以还有一些工具
[37:03] 是他的钱比较少的
[37:04] 例如基金
[37:05] 基金可能你三千块
[37:07] 就可以直接进去扣款了
[37:08] 有很多的方式
[37:10] 小资也可以来做
[37:11] 这样子的一个想法
[37:12] 那你觉得你非要等到一个
[37:14] 很大的跌幅
[37:15] 没有问题啊
[37:15] 那就是资金效率的问题而已
[37:17] 所以我觉得没有对错
[37:19] 只要你觉得在这一波里面
[37:20] 是用你最安心的方法
[37:22] 来做决策就好了
[37:24] 不好意思
[37:25] 今天好像也没有办法
[37:26] 讲到两小时的心灵鸡汤啊
[37:29] 但也必须讲
[37:30] 三万
[37:31] 就是今年一月以后
[37:33] 才上三万的
[37:34] 那现在才三月
[37:35] 对
[37:36] 那还没回三万呢
[37:37] 今天还收一个三万二
[37:39] 对
[37:39] 在高档一个三四千点的回跌
[37:42] 不能算是很严重
[37:44] 对
[37:45] 但我会关注的
[37:46] 第一个当然是油价
[37:47] 因为油价真的跟通膨相关
[37:49] 但我个人觉得油价长期在高档
[37:52] 它比较不会是地缘政治因素造成的
[37:55] 因为油价长期在高档
[37:56] 以前看过是经济真的热爆了
[37:59] 然后需求非常的高
[38:01] 我觉得那个时候在高档是有可能的
[38:03] 然后还有就是时间比较久
[38:05] 维持比较久
[38:06] 以及那个时候的塑化股涨
[38:08] 是比较有道理的
[38:09] 因为是源自于需求
[38:11] 可是如果是因为
[38:11] 地缘增值风险突然拉高
[38:13] 搞不好这些塑化股的成本
[38:15] 库存成本还拉高
[38:16] 因为其实我觉得说
[38:17] 虽然说
[38:19] 我们这海峡
[38:23] 20%的原油
[38:25] 真的没有办法
[38:27] 当然有
[38:28] 就是你愿不愿意增产的问题
[38:31] 愿不愿意释放战败储有问题
[38:33] 所以這個東西我倒覺得說
[38:35] 它的變數也比較大
[38:37] 就是他
[38:38] 照我剛剛講說維持高油價
[38:41] 我覺得當然這個機會點
[38:43] 大概比較不大
[38:44] 為什麼因為勢必他一定要想辦法
[38:47] 因為如果照川普的這個想法
[38:49] 他要整個市場
[38:52] 這個穩定度
[38:54] 要夠的情況下
[38:55] 他應該也不會讓這個事情發生
[38:57] 對
[38:58] 因為這個處在一個高油價
[39:00] 大家都會怪他說
[39:01] 就是你這個戰爭的問題
[39:03] 造成这个什么样的状况
[39:04] 所以我倒觉得说
[39:06] 虽然油价现在是这样子
[39:08] 那我觉得说
[39:09] 稍微避险是必要的
[39:11] 可是如果说你
[39:13] 你强力要把油价是看成
[39:15] 它是一个
[39:16] 这个持续涨的商品
[39:18] 我倒觉得是
[39:18] 是比较不适合
[39:20] 对就是我跟云翔哥
[39:21] 想法一样
[39:22] 就是油价目前
[39:23] 看起来比较像是短期因素
[39:25] 因为并不是
[39:26] 经济的热
[39:28] 然后把它拉上去的
[39:29] 再来这是川普
[39:30] 有可能讲几句话
[39:31] 可以解决的事
[39:32] 我常讲说上礼拜五
[39:34] 应该是上礼拜四
[39:35] 川普讲了一个
[39:36] 油价涨就让它涨吧
[39:37] 是一个很诡异的说法
[39:39] 对
[39:39] 就是这个人
[39:40] 有他厉害之处
[39:43] 就是他这样讲完之后
[39:44] 后来油价喷
[39:45] 那他也没讲错
[39:46] 油价飙就让它飙吧
[39:47] 所以市场会有点恐惧
[39:49] 不知道他在卖什么药
[39:51] 但另外一个事情
[39:52] 我会比较继续关注
[39:54] 就是刚刚讲到的
[39:56] 就业的市场
[39:57] 如果一直都很不好
[39:58] 失业率一直往上跑
[40:00] 或者说像AI之间的投资
[40:01] 他们出现了缩首
[40:03] 以及要面临到
[40:04] 下一季的财报出来
[40:06] 虽然目前
[40:06] 结出来的财报
[40:07] 每一家
[40:08] 都对下一季的展望
[40:10] 非常乐观
[40:11] 所以我才会跟大家分享说
[40:12] 目前没有听到
[40:13] 景气上面的大乱子
[40:16] 可是如果说
[40:17] 今天是出现了景气上面
[40:19] 例如说对未来的展望
[40:20] 开始有下修
[40:21] 资本支出
[40:22] 觉得有点疑虑等等的
[40:24] 是由这些大厂
[40:25] 发出来的讯息的时候
[40:26] 我个人就会比较谨慎
[40:27] 因为它会源自于
[40:29] 是景气上面的一个回落
[40:31] 景气上的回落
[40:32] 然后乖离过大的股市
[40:33] 就很有可能会伴随一个
[40:35] 比较明确甚至进入到熊市的回档
[40:38] 这是有可能的
[40:39] 但因为目前就是一个油价在乱
[40:42] 以及有一些题材面上的
[40:44] 凌乱跟分歧
[40:45] 或是有些大户资金的撤退
[40:47] 所以现在我们短线上
[40:49] 还是以短线修正市值
[40:50] 你赶快去买put
[40:53] 你不要讲完对对对
[40:55] 然后你就在那边不避险
[40:57] 如果枪谈我一定会买put
[40:58] 因为现在这个时机
[41:00] 确实不适合了
[41:02] 所以云翔哥有云翔哥的忍气
[41:03] 已经喷远了
[41:04] 所以现在去做这个事情
[41:07] 反倒搞不好是一个错误的
[41:09] 一个决定
[41:11] 我们就继续看下去
[41:12] 那今天谢谢云翔哥
[41:16] 也希望各位朋友
[41:17] 如果你们有心情要抒发
[41:19] 也可以到我的脸书留言
[41:21] 当然因为私讯
[41:22] 我就不一定会通通打开
[41:24] 因为私讯真的比较多一些些
[41:26] 但留言的话
[41:27] 我会尽量看情况
[41:28] 那大家也可以分享你的想法
[41:30] 你这段时间你是怎么做的
[41:32] 我觉得可以彼此教学相长一下
[41:35] 那今天很谢谢银香哥
[41:36] 也跟各位谷后仔说
[41:38] 谷海要平安哦
[41:39] 拜拜
